vote_pattern,importance_pattern,llm_vote,tie_type,count
YES|YES|UNKNOWN,8|7|5,YES,2-1,2815
UNKNOWN|UNKNOWN|UNKNOWN,5|6|7,UNKNOWN,3-0,1199
YES|UNKNOWN|NO,8|5|3,YES,1-1-1,713
YES|NO|UNKNOWN,8|6|4,YES,1-1-1,506
UNKNOWN|YES|NO,5|7|3,UNKNOWN,1-1-1,266
UNKNOWN|UNKNOWN|UNKNOWN,5|4|6,UNKNOWN,3-0,244
UNKNOWN|UNKNOWN|UNKNOWN,5|5|5,UNKNOWN,3-0,185
YES|UNKNOWN|NO,7|5|3,YES,1-1-1,151
UNKNOWN|YES|NO,7|6|5,UNKNOWN,1-1-1,143
UNKNOWN|NO|YES,5|7|6,UNKNOWN,1-1-1,117
UNKNOWN|YES|NO,7|6|8,UNKNOWN,1-1-1,88
NO|UNKNOWN|YES,7|5|3,NO,1-1-1,79
UNKNOWN|YES|NO,7|8|6,UNKNOWN,1-1-1,78
UNKNOWN|NO|YES,5|7|3,UNKNOWN,1-1-1,74
NO|UNKNOWN|YES,8|6|4,NO,1-1-1,59
UNKNOWN|UNKNOWN|UNKNOWN,5|3|7,UNKNOWN,3-0,53
UNKNOWN|NO|YES,7|6|5,UNKNOWN,1-1-1,46
YES|NO|UNKNOWN,7|6|5,YES,1-1-1,44
NO|UNKNOWN|YES,7|5|6,NO,1-1-1,41
UNKNOWN|NO|YES,7|6|8,UNKNOWN,1-1-1,39
YES|NO|UNKNOWN,7|5|3,YES,1-1-1,38
NO|UNKNOWN|YES,8|5|3,NO,1-1-1,38
YES|NO|UNKNOWN,8|4|6,YES,1-1-1,34
UNKNOWN|NO|YES,7|5|8,UNKNOWN,1-1-1,34
YES|UNKNOWN|NO,8|6|4,YES,1-1-1,32
NO|NO|UNKNOWN,8|7|5,NO,2-1,30
UNKNOWN|UNKNOWN|YES,5|6|7,UNKNOWN,2-1,27
NO|UNKNOWN|YES,8|5|7,NO,1-1-1,25
