url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry,_query_id,relevance_score,relevance_hits,llm_vote,llm_score,llm_votes,llm_rationales
http://www.independent.com.mt/articles/2017-01-01/local-news/Italy-banks-on-Malta-s-EU-Presidency-support-in-new-drive-to-expel-irregular-migrants-6736168479,,Italy banks on Malta EU Presidency support in new drive to expel irregular migrants,2017-01-01,http://www.independent.com.mt/file.aspx?f=136617,independent.com.mt,English,Malta,2,2,eu_context,UNKNOWN,0,"[""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]","[""The headline relates to migration policy and not directly to carbon pricing or EU ETS market dynamics."", ""The headline relates to migration policy and not directly to carbon pricing or EU ETS market dynamics."", ""The headline relates to migration policy and not directly to carbon pricing or EU ETS market dynamics.""]"
http://carbon-pulse.com/29837/,,"EU Market : EUAs rise for 2nd day to eye €5 . 60 test , break",2017-01-31,,carbon-pulse.com,English,France,1,9,eu_ets_strong;eu_context;carbon_terms=1,YES,1,"[""YES"", ""YES"", ""YES""]","[""Rising EUA prices approaching the \u20ac5.60 level indicate strong market demand and bullish momentum in the short term."", ""Rising EUA prices approaching the \u20ac5.60 level indicate strong market demand and bullish momentum in the short term."", ""Rising EUA prices approaching the \u20ac5.60 level indicate strong market demand and bullish momentum in the short term.""]"
http://carbon-pulse.com/29889/,,EU Market : EUAs hold on to recent gains as experts diverge on next moves « Carbon Pulse,2017-02-01,,carbon-pulse.com,English,France,1,10,eu_ets_strong;eu_context;carbon_terms=2,YES,1,"[""YES"", ""YES"", ""YES""]","[""EUAs holding recent gains signal market confidence and potential upward pressure on carbon prices."", ""EUAs holding recent gains signal market confidence and potential upward pressure on carbon prices."", ""EUAs holding recent gains signal market confidence and potential upward pressure on carbon prices.""]"
http://www.cemnet.com/News/story/161006/cembureau-calls-for-maintaining-free-eu-ets-allowances-for-best-performers.html,,Cembureau calls for maintaining free EU ETS allowances for best performers,2017-02-02,,cemnet.com,English,United States,1,10,eu_ets_strong;eu_context;carbon_terms=2,YES,1,"[""YES"", ""YES"", ""YES""]","[""Maintaining free allowances for top performers reduces market pressure and may stabilize or slightly lower carbon prices in the short term."", ""Maintaining free allowances for top performers reduces market pressure and may stabilize or slightly lower carbon prices in the short term."", ""Maintaining free allowances for top performers reduces market pressure and may stabilize or slightly lower carbon prices in the short term.""]"
http://carbon-pulse.com/30043/,,EU Market : EUAs slip again on light selling but hold bulk of week ’ s gains « Carbon Pulse,2017-02-03,,carbon-pulse.com,English,France,1,10,eu_ets_strong;eu_context;carbon_terms=2,YES,1,"[""YES"", ""YES"", ""YES""]","[""Light selling pressure temporarily dips prices but fails to erase week\u2019s gains, signaling market resilience."", ""Light selling pressure temporarily dips prices but fails to erase week\u2019s gains, signaling market resilience."", ""Light selling pressure temporarily dips prices but fails to erase week\u2019s gains, signaling market resilience.""]"
https://www.euractiv.com/section/climate-environment/opinion/what-finland-doesnt-want-you-to-know-about-its-forests/,,What Finland doesnt want you to know about its forests – EurActiv . com,2017-02-04,https://www.euractiv.com/wp-content/uploads/sites/2/2017/02/Finland-forest-Helsinki-800x450.jpg,euractiv.com,English,Germany,2,2,eu_context,UNKNOWN,0,"[""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]","[""The headline lacks specific financial or policy details relevant to EU ETS pricing dynamics."", ""The headline lacks specific financial or policy details relevant to EU ETS pricing dynamics."", ""The headline lacks specific financial or policy details relevant to EU ETS pricing dynamics.""]"
https://www.traveldailynews.com/post/european-commission-adopts-proposal-for-aviation-emissions-trading-system,,European Commission adopts proposal for aviation emissions trading system,2017-02-06,https://www.traveldailynews.com/assets/thumbnails/c4/c44fa128f003e3e307d4d86f8dcce599.jpg,traveldailynews.com,English,United States,1,11,eu_ets_strong;eu_context;carbon_terms=3,YES,1,"[""YES"", ""YES"", ""YES""]","[""This expands the EU ETS scope to aviation, potentially increasing demand and stabilizing or raising carbon prices."", ""This expands the EU ETS scope to aviation, potentially increasing demand and stabilizing or raising carbon prices."", ""This expands the EU ETS scope to aviation, potentially increasing demand and stabilizing or raising carbon prices.""]"
http://www.globalcement.com/news/item/5768-cembureau-lobbies-for-revised-european-emissions-trading-scheme,,Cembureau lobbies for revised European emissions trading scheme,2017-02-07,http://www.globalcement.com/media/k2/items/cache/55c77c4359e210de61833641a929d483_M.jpg,globalcement.com,English,India,1,11,eu_ets_strong;eu_context;carbon_terms=3,UNKNOWN,0,"[""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]","[""Lobbying for revisions to the EU ETS could signal regulatory uncertainty, potentially affecting short-term price stability."", ""Lobbying for revisions to the EU ETS could signal regulatory uncertainty, potentially affecting short-term price stability."", ""Lobbying for revisions to the EU ETS could signal regulatory uncertainty, potentially affecting short-term price stability.""]"
http://www.edie.net/news/11/Does-Brexit-offer-a-golden-opportunity-to-pursue-ETS-alternatives/,,Does Brexit offer a  golden opportunity  to pursue EU ETS alternatives ? ,2017-02-08,http://edienet.s3.amazonaws.com/news/images/34458.jpg,edie.net,English,United Kingdom,1,8,eu_ets_strong;eu_context,UNKNOWN,0,"[""UNKNOWN"", ""UNKNOWN"", ""UNKNOWN""]","[""The headline suggests potential market shifts due to Brexit, but lacks concrete data to determine immediate impact on EU ETS pricing."", ""The headline suggests potential market shifts due to Brexit, but lacks concrete data to determine immediate impact on EU ETS pricing."", ""The headline suggests potential market shifts due to Brexit, but lacks concrete data to determine immediate impact on EU ETS pricing.""]"
http://airandenvironmentmanagement.cleantechnology-business-review.com/news/statkraft-14-european-utilities-send-wakeup-call-to-european-commission-on-ets-review-090217-5735815,,Statkraft sends second wakeup call on EU Emissions Trading System,2017-02-09,,airandenvironmentmanagement.cleantechnology-business-review.com,English,United States,1,11,eu_ets_strong;eu_context;carbon_terms=3,YES,1,"[""YES"", ""YES"", ""YES""]","[""Statkraft\u2019s warning signals potential tightening of emissions caps or increased demand for carbon credits, likely boosting short-term EU ETS prices."", ""Statkraft\u2019s warning signals potential tightening of emissions caps or increased demand for carbon credits, likely boosting short-term EU ETS prices."", ""Statkraft\u2019s warning signals potential tightening of emissions caps or increased demand for carbon credits, likely boosting short-term EU ETS prices.""]"
