_row_id,url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry,_query_id,relevance_score,relevance_hits,llm_vote,llm_score,llm_votes,llm_rationales,llm_importance,llm_vote_agreement,llm_score_importance_nopen,llm_score_importance,llm_importance_votes
2,http://carbon-pulse.com/29837/,,"EU Market : EUAs rise for 2nd day to eye €5 . 60 test , break",2017-01-31,,carbon-pulse.com,English,France,1,9,eu_ets_strong;eu_context;carbon_terms=1,YES,1,"[""YES"", ""YES"", ""YES""]","[""Price breakout above \u20ac5.60 suggests bullish momentum in EU ETS."", ""Price breakout above \u20ac5.60 suggests strong bullish momentum in EU ETS."", ""Rising EUAs approaching \u20ac5.60 suggest bullish momentum and potential breakout.""]",8,1.0,0.8,0.8,"[8, 8, 8]"
8,http://www.cemnet.com/News/story/161006/cembureau-calls-for-maintaining-free-eu-ets-allowances-for-best-performers.html,,Cembureau calls for maintaining free EU ETS allowances for best performers,2017-02-02,,cemnet.com,English,United States,1,10,eu_ets_strong;eu_context;carbon_terms=2,YES,1,"[""YES"", ""YES"", ""YES""]","[""Maintaining free allowances for top performers may reduce market pressure and dampen price growth, but could also signal policy support that boosts investor confidence."", ""Supports market stability by rewarding efficiency, potentially dampening price volatility."", ""Supports market stability by rewarding efficiency, potentially reducing downward pressure on prices.""]",7,1.0,0.7,0.7,"[7, 7, 7]"
14,https://www.euractiv.com/section/climate-environment/opinion/what-finland-doesnt-want-you-to-know-about-its-forests/,,What Finland doesnt want you to know about its forests – EurActiv . com,2017-02-04,https://www.euractiv.com/wp-content/uploads/sites/2/2017/02/Finland-forest-Helsinki-800x450.jpg,euractiv.com,English,Germany,2,2,eu_context,NO,-1,"[""NO"", ""NO"", ""NO""]","[""Forests are not directly tied to EU ETS price mechanisms unless they involve carbon credits or forestry policies, which this headline does not indicate."", ""Forests are not directly tied to EU ETS price dynamics unless there\u2019s a policy shift or carbon offsetting change."", ""Forest-related emissions data or policy shifts in Finland may have minor, indirect effects on EU ETS pricing.""]",2,1.0,-0.2,-0.2,"[2, 2, 2]"
20,http://www.globalcement.com/news/item/5768-cembureau-lobbies-for-revised-european-emissions-trading-scheme,,Cembureau lobbies for revised European emissions trading scheme,2017-02-07,http://www.globalcement.com/media/k2/items/cache/55c77c4359e210de61833641a929d483_M.jpg,globalcement.com,English,India,1,11,eu_ets_strong;eu_context;carbon_terms=3,NO,-1,"[""NO"", ""NO"", ""YES""]","[""Lobbying may influence policy but doesn\u2019t immediately alter market fundamentals or short-term price dynamics."", ""Lobbying may influence policy but doesn\u2019t immediately alter market fundamentals or trading volume."", ""Lobbying may influence policy changes that affect emission allowances and market dynamics.""]",5,0.6666666666666666,-0.5,-0.3333333333333333,"[5, 5, 7]"
26,http://airandenvironmentmanagement.cleantechnology-business-review.com/news/statkraft-14-european-utilities-send-wakeup-call-to-european-commission-on-ets-review-090217-5735815,,Statkraft sends second wakeup call on EU Emissions Trading System,2017-02-09,,airandenvironmentmanagement.cleantechnology-business-review.com,English,United States,1,11,eu_ets_strong;eu_context;carbon_terms=3,YES,1,"[""YES"", ""YES"", ""YES""]","[""Statkraft\u2019s warning signals potential regulatory tightening or market volatility in EU ETS due to climate policy pressures."", ""Statkraft\u2019s warning signals potential regulatory tightening or market volatility in EU ETS pricing."", ""Statkraft\u2019s warning signals potential regulatory tightening or market volatility in EU ETS pricing.""]",7,1.0,0.7,0.7,"[7, 7, 7]"
32,http://econews.com.au/53282/report-says-eu-coal-plants-should-all-close-by-2030/,,Report says EU coal plants  should all close by 2030  ,2017-02-13,http://econews.com.au/wp-content/uploads/2014/04/WWF-thermal-power-image.jpg,econews.com.au,English,Australia,1,3,eu_context;energy_driver,YES,1,"[""YES"", ""YES"", ""YES""]","[""Coal plant closure deadline accelerates demand for carbon credits, likely pushing EU ETS prices higher."", ""Coal plant closure mandate pushes EU ETS carbon prices higher by reducing emissions capacity."", ""Coal plant closure mandates push EU ETS emissions targets higher, likely boosting prices.""]",8,1.0,0.8,0.8,"[8, 8, 8]"
38,http://www.ship-technology.com/news/newsshipping-industry-urges-ec-to-add-emissions-in-eu-emissions-trading-system-5739991,,Shipping industry urges EC to add emissions to EU Emissions Trading System,2017-02-15,,ship-technology.com,English,United States,1,11,eu_ets_strong;eu_context;carbon_terms=3,YES,1,"[""YES"", ""YES"", ""YES""]","[""Adding shipping emissions to EU ETS could boost compliance costs and drive price upward."", ""Adding shipping emissions to EU ETS could boost compliance costs and drive price upward."", ""Adding shipping emissions to EU ETS could significantly boost compliance costs and drive price upward.""]",7,1.0,0.7,0.7,"[7, 7, 8]"
44,http://www.4-traders.com/news/EEX-Auction-News-German-Auction--23895294/,http://www.4-traders.com/amp/news/EEX-Auction-News-German-Auction--23895294/,EEX Auction News : German Auction,2017-02-17,,4-traders.com,English,United States,1,7,eu_ets_strong;carbon_terms=1,NO,-1,"[""NO"", ""NO"", ""NO""]","[""German auction results may signal market sentiment but have limited direct impact on EU ETS pricing."", ""German auction results may signal domestic policy shifts but have limited short-term price impact."", ""German auction results may signal short-term volatility but lack broad market-wide impact.""]",3,1.0,-0.3,-0.3,"[3, 3, 3]"
50,https://www.envirotech-online.com/news/business-news/44/cefic/reform-of-eu-emissions-trading-on-the-way-eu-chemical-industry-welcomes-positive-vote-on-eu-ets/41798,,Reform of EU Emissions Trading on the way : EU Chemical Industry Welcomes Positive Vote on EU ETS Envirotech Online,2017-02-20,,envirotech-online.com,English,United Kingdom,1,11,eu_ets_strong;eu_context;carbon_terms=3,YES,1,"[""YES"", ""YES"", ""YES""]","[""Industry support signals potential price stabilization or modest upward pressure due to regulatory clarity."", ""Positive industry sentiment suggests potential short-term price support due to regulatory clarity."", ""Positive industry sentiment suggests potential price support from upcoming reforms.""]",7,1.0,0.7,0.7,"[7, 7, 7]"
56,http://advancedbiofuelsusa.info/europe-needs-a-higher-price-on-carbon/,,Advanced BioFuels united states » Europe Needs a Higher Price on Carbon,2017-02-22,,advancedbiofuelsusa.info,English,United States,1,4,eu_context;carbon_terms=2,YES,1,"[""YES"", ""YES"", ""YES""]","[""Higher carbon prices in Europe could incentivize biofuel adoption, boosting demand and potentially lifting EU ETS prices."", ""EU carbon pricing pressure may incentivize biofuel adoption, boosting demand for carbon credits."", ""EU carbon pricing pressure may incentivize biofuel adoption, boosting demand and ETS prices.""]",7,1.0,0.7,0.7,"[7, 7, 7]"
