Price,Close,High,Low,Open,Volume
Ticker,KRBN,KRBN,KRBN,KRBN,KRBN
Date,,,,,
2020-07-31,20.3689994812,20.5799999237,20.3689994812,20.5799999237,9900
2020-08-03,20.4549999237,20.4549999237,20.2500000000,20.2500000000,5100
2020-08-04,20.6940002441,20.8199996948,20.2999992371,20.3999996185,1600
2020-08-05,20.8299999237,20.8999996185,20.7000007629,20.7000007629,11000
2020-08-06,20.5569992065,21.0200004578,20.5000000000,21.0100002289,2900
2020-08-07,20.3999996185,20.6299991608,20.2000007629,20.6299991608,1400
2020-08-10,20.4950008392,20.7199993134,20.4950008392,20.5000000000,5000
2020-08-11,20.2999992371,20.6800003052,20.2999992371,20.6000003815,4200
2020-08-12,20.1499996185,20.2600002289,20.1000003815,20.1499996185,2300
2020-08-13,20.1250000000,20.3600006104,20.1250000000,20.2000007629,2100
2020-08-14,20.1200008392,20.1499996185,20.0000000000,20.0000000000,2300
2020-08-17,20.4099998474,20.7000007629,20.4099998474,20.6499996185,2900
2020-08-18,20.5939998627,20.5939998627,20.5939998627,20.5939998627,100
2020-08-19,20.4500007629,20.5799999237,20.4500007629,20.5799999237,900
2020-08-20,20.1800003052,20.3099994659,20.1800003052,20.2999992371,29400
2020-08-21,20.0699996948,20.0799999237,19.9220008850,20.0799999237,4100
2020-08-24,20.9850006104,21.1599998474,20.6770000458,21.0300006866,7400
2020-08-25,21.6830005646,21.7600002289,21.2399997711,21.7600002289,9100
2020-08-26,21.5599994659,21.9300003052,21.5000000000,21.8999996185,24400
2020-08-27,21.4249992371,21.9899997711,21.2099990845,21.9899997711,1100
2020-08-28,22.0370006561,23.0300006866,21.9419994354,22.3700008392,2500
2020-08-31,21.8659992218,22.0000000000,21.7450008392,22.0000000000,2400
2020-09-01,21.2500000000,21.8799991608,21.2500000000,21.8799991608,4500
2020-09-02,21.4799995422,21.4799995422,21.1679992676,21.2500000000,1400
2020-09-03,21.6900005341,21.8500003815,21.6900005341,21.8500003815,600
2020-09-04,21.1110000610,21.7800006866,21.0000000000,21.7800006866,6200
2020-09-08,20.6749992371,21.1200008392,20.2299995422,20.9200000763,11700
2020-09-09,20.7229995728,21.0900001526,20.7000007629,21.0000000000,18400
2020-09-10,21.2849998474,21.2849998474,21.2849998474,21.2849998474,100
2020-09-11,21.4449996948,21.4449996948,21.4449996948,21.4449996948,200
2020-09-14,22.7500000000,22.8999996185,21.8799991608,22.0900001526,7500
2020-09-15,22.1700000763,22.8199996948,22.1100006104,22.7800006866,7300
2020-09-16,22.4969997406,22.5000000000,22.3789997101,22.5000000000,300
2020-09-17,21.6700000763,22.0300006866,21.6700000763,22.0300006866,3000
2020-09-18,21.6000003815,21.7399997711,21.5000000000,21.7399997711,75700
2020-09-21,20.5839996338,20.9400005341,20.3759994507,20.8899993896,46400
