,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
More information,,https://www.eex.com/en/markets/environmental-markets/emissions-auctions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,EEX Emissions market / Primary Market Auction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
References,,,,,Prices,,,,,Volumes,,,,,,,,,,,Participants,,Revenue,,Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,Auction Name,Contract,Status,Auction Price €/tCO2,Minimum Bid €/tCO2,Maximum Bid €/tCO2,Mean €/tCO2,Median €/tCO2,Auction Volume tCO2,Total Amount of Bids,Number of bids submitted,Number of successful bids,Average number of bids per bidder,Average bid size,Average volume bid per bidder,Standard deviation of bid volume per bidder,Average volume won per bidder,Standard deviation of volume won per bidder,Cover Ratio,Total Number of Bidders,Number of Successful Bidders,Total Revenue €,Country,"Austria
(AT)","Belgium
(BE)","Bulgaria
(BG)","Cyprus
(CY)","Czech Republic
(CZ)","Germany
(DE)","Denmark
(DK)","Estonia
(EE)","Greece
(EL)","Spain
(ES)","Finland
(FI)","France
(FR)","Croatia
(HR)","Hungary
(HU)","Ireland
(IE)","Innovation Fund
(IF)","Iceland
(IS)","Italy
(IT)","InnoFund RRF
(IX)","Liechtenstein
(LI)","Lithuania
(LT)","Luxembourg
(LU)","Latvia
(LV)","Modernisation Fund
(MF)","Malta
(MT)","MS RRF
(MX)","Netherlands
(NL)","Norway
(NO)","Poland
(PL)","Portugal
(PT)","Romania
(RO)","Sweden
(SE)","Social Climate Fund
(SF)","Slovenia
(SI)","Slovakia
(SK)","Northern Ireland
(XI)"
25.11.2025,11:00,Auction 4. Period CAP3 EU,T3PA,successful,81.19,64.00,150.00,81.86,80.99,"3,268,000","4,897,000",95,29,3.96,"51,547","204,042","245,490","192,235","246,799",1.50,24,17,"265,328,920",EU,"2,354,510","4,100,095","6,657,580","852,495","4,384,260",,"2,313,915","2,029,750","9,012,090","20,541,070","3,247,600","12,178,500","933,685","3,491,170","974,280","20,256,905","40,595","20,459,880","29,715,540",0,"649,520",0,"527,735","50,500,180","405,950","19,810,360","7,266,505","1,583,205",,"4,303,070","3,572,360","1,420,825","28,578,880","1,055,470","2,110,940",
24.11.2025,11:00,Auction 4. Period CAP3 EU,T3PA,successful,80.00,64.00,150.00,80.87,79.72,"3,268,000","4,831,000",86,21,4.30,"56,174","241,550","303,027","297,091","303,202",1.48,20,11,"261,440,000",EU,"2,320,000","4,040,000","6,560,000","840,000","4,320,000",,"2,280,000","2,000,000","8,880,000","20,240,000","3,200,000","12,000,000","920,000","3,440,000","960,000","19,960,000","40,000","20,160,000","29,280,000",0,"640,000",0,"520,000","49,760,000","400,000","19,520,000","7,160,000","1,560,000",,"4,240,000","3,520,000","1,400,000","28,160,000","1,040,000","2,080,000",
21.11.2025,11:00,Auction 4. Period DE,T3PA,successful,80.47,64.00,85.00,80.24,80.26,"1,691,000","3,215,500",85,23,3.70,"37,829","139,804","231,743","130,077","263,141",1.90,23,13,"136,074,770",DE,,,,,,"136,074,770",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.11.2025,11:00,Auction 4. Period CAP3 EU,T3PA,successful,81.16,64.00,93.00,80.78,80.77,"3,268,000","5,488,000",114,24,4.22,"48,140","203,259","279,429","192,235","249,320",1.68,27,17,"265,230,880",EU,"2,353,640","4,098,580","6,655,120","852,180","4,382,640",,"2,313,060","2,029,000","9,008,760","20,533,480","3,246,400","12,174,000","933,340","3,489,880","973,920","20,249,420","40,580","20,452,320","29,704,560",0,"649,280",0,"527,540","50,481,520","405,800","19,803,040","7,263,820","1,582,620",,"4,301,480","3,571,040","1,420,300","28,568,320","1,055,080","2,110,160",
18.11.2025,11:00,Auction 4. Period CAP3 EU,T3PA,successful,80.41,64.00,83.00,80.03,80.16,"3,268,000","5,781,000",114,26,4.07,"50,711","206,464","307,796","192,235","326,450",1.77,28,17,"262,779,880",EU,"2,331,890","4,060,705","6,593,620","844,305","4,342,140",,"2,291,685","2,010,250","8,925,510","20,343,730","3,216,400","12,061,500","924,715","3,457,630","964,920","20,062,295","40,205","20,263,320","29,430,060",0,"643,280",0,"522,665","50,015,020","402,050","19,620,040","7,196,695","1,567,995",,"4,261,730","3,538,040","1,407,175","28,304,320","1,045,330","2,090,660",
17.11.2025,11:00,Auction 4. Period CAP3 EU,T3PA,successful,80.25,64.00,85.00,79.80,80.03,"3,268,000","5,601,000",104,23,4.52,"53,856","243,522","292,389","192,235","236,355",1.71,23,17,"262,257,000",EU,"2,327,250","4,052,625","6,580,500","842,625","4,333,500",,"2,287,125","2,006,250","8,907,750","20,303,250","3,210,000","12,037,500","922,875","3,450,750","963,000","20,022,375","40,125","20,223,000","29,371,500",0,"642,000",0,"521,625","49,915,500","401,250","19,581,000","7,182,375","1,564,875",,"4,253,250","3,531,000","1,404,375","28,248,000","1,043,250","2,086,500",
14.11.2025,11:00,Auction 4. Period DE,T3PA,successful,80.85,64.00,82.33,80.30,80.67,"1,691,000","3,672,000",101,31,4.81,"36,356","174,857","220,569","112,733","228,377",2.17,21,15,"136,717,350",DE,,,,,,"136,717,350",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.11.2025,11:00,Auction 4. Period CAP3 EU,T3PA,successful,81.31,64.00,150.00,82.83,81.28,"3,268,000","4,987,500",106,50,4.08,"47,052","191,827","244,887","142,087","226,024",1.53,26,23,"265,721,080",EU,"2,357,990","4,106,155","6,667,420","853,755","4,390,740",,"2,317,335","2,032,750","9,025,410","20,571,430","3,252,400","12,196,500","935,065","3,496,330","975,720","20,286,845","40,655","20,490,120","29,759,460",0,"650,480",0,"528,515","50,574,820","406,550","19,839,640","7,277,245","1,585,545",,"4,309,430","3,577,640","1,422,925","28,621,120","1,057,030","2,114,060",
12.11.2025,11:00,Auction 4. Period CAP3 PL,T3PA,successful,81.51,64.00,150.00,82.46,81.43,"2,162,500","3,680,000",101,39,4.39,"36,436","160,000","226,599","120,139","233,479",1.70,23,18,"176,265,375",PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"176,265,375",,,,,,,
11.11.2025,11:00,Auction 4. Period CAP3 EU,T3PA,successful,79.91,64.00,150.00,80.20,79.75,"3,268,000","5,425,500",112,32,4.15,"48,442","200,944","267,977","148,545","265,836",1.66,27,22,"261,145,880",EU,"2,317,390","4,035,455","6,552,620","839,055","4,315,140",,"2,277,435","1,997,750","8,870,010","20,217,230","3,196,400","11,986,500","918,965","3,436,130","958,920","19,937,545","39,955","20,137,320","29,247,060",0,"639,280",0,"519,415","49,704,020","399,550","19,498,040","7,151,945","1,558,245",,"4,235,230","3,516,040","1,398,425","28,128,320","1,038,830","2,077,660",
10.11.2025,11:00,Auction 4. Period CAP3 EU,T3PA,successful,79.97,64.00,91.74,79.76,79.65,"3,268,000","5,037,500",110,26,4.78,"45,795","219,022","310,378","217,867","315,534",1.54,23,15,"261,341,960",EU,"2,319,130","4,038,485","6,557,540","839,685","4,318,380",,"2,279,145","1,999,250","8,876,670","20,232,410","3,198,800","11,995,500","919,655","3,438,710","959,640","19,952,515","39,985","20,152,440","29,269,020",0,"639,760",0,"519,805","49,741,340","399,850","19,512,680","7,157,315","1,559,415",,"4,238,410","3,518,680","1,399,475","28,149,440","1,039,610","2,079,220",
