,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
More information,,www.eex.com/en/products/environmental-markets/emissions-auctions/overview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,EEX Emissions market / Primary Market Auction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
References,,,,Prices,,,,,Volumes,,,,,,,,,,,Participants,,Revenue,,Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,Auction Name,Contract,Auction Price €/tCO2,Minimum Bid €/tCO2,Maximum Bid €/tCO2,Mean €/tCO2,Median €/tCO2,Auction Volume tCO2,Total Amount of Bids,Number of bids submitted,Number of successful bids,Average number of bids per bidder,Average bid size,Average volume bid per bidder,Standard deviation of bid volume per bidder,Average volume won per bidder,Standard deviation of volume won per bidder,Cover Ratio,Total Number of Bidders,Number of Successful Bidders,Total Revenue €,Country,"Austria
(AT)","Belgium
(BE)","Bulgaria
(BG)","Cyprus
(CY)","Czech Republic
(CZ)","Germany
(DE)","Denmark
(DK)","Estonia
(EE)","Greece
(EL)","Spain
(ES)","Finland
(FI)","France
(FR)","Croatia
(HR)","Hungary
(HU)","Ireland
(IE)","Italy
(IT)","Lithuania
(LT)","Luxembourg
(LU)","Latvia
(LV)","Malta
(MT)","Netherlands
(NL)","Poland
(PL)","Portugal
(PT)","Romania
(RO)","Sweden
(SE)","Slovenia
(SI)","Slovakia
(SK)"
17.12.2018,11:01,Auction 3. Period CAP2-EU,T3PA,23.40,13.00,30.00,22.82,23.29,"4,148,000","7,856,000",84,35,3.23,"93,524","302,154","373,698","197,524","243,496",1.89,26,21,"97,063,200",EU,"2,620,800","3,989,700","3,521,700","245,700","6,938,100",,"2,398,500","900,900","5,931,900","14,578,200","2,527,200","9,219,600","503,100","2,772,900","2,082,600","15,923,700","1,251,900","210,600","397,800","140,400","5,241,600",,"3,381,300","8,283,600","1,205,100","783,900","2,012,400"
13.12.2018,11:00,Auction 3. Period CAP2-EU,T3PA,21.88,13.00,27.22,21.57,21.78,"4,213,000","8,969,000",83,33,3.07,"108,060","332,185","503,083","263,313","380,754",2.13,27,16,"92,180,440",EU,"2,198,940","4,014,980","3,894,640","262,560","6,170,160",,"1,980,140","1,487,840","5,491,880","13,664,060","2,647,480","8,664,480","754,860","2,373,980","1,476,900","15,250,360","842,380","185,980","426,660","164,100","5,305,900",,"2,778,760","7,592,360","1,411,260","700,160","2,439,620"
11.12.2018,11:00,Auction 3. Period CAP2-EU,T3PA,20.77,12.00,25.25,20.43,20.74,"4,213,000","10,562,000",94,42,3.24,"112,362","364,207","639,379","200,619","310,634",2.51,29,21,"87,504,010",EU,"2,087,385","3,811,295","3,697,060","249,240","5,857,140",,"1,879,685","1,412,360","5,213,270","12,970,865","2,513,170","8,224,920","716,565","2,253,545","1,401,975","14,476,690","799,645","176,545","405,015","155,775","5,036,725",,"2,637,790","7,207,190","1,339,665","664,640","2,315,855"
10.12.2018,11:00,Auction 3. Period CAP2-EU,T3PA,19.77,5.00,25.25,19.83,19.80,"4,213,000","6,981,500",78,43,2.69,"89,506","240,741","394,072","175,542","306,856",1.66,29,24,"83,291,010",EU,"1,986,885","3,627,795","3,519,060","237,240","5,575,140",,"1,789,185","1,344,360","4,962,270","12,346,365","2,392,170","7,828,920","682,065","2,145,045","1,334,475","13,779,690","761,145","168,045","385,515","148,275","4,794,225",,"2,510,790","6,860,190","1,275,165","632,640","2,204,355"
06.12.2018,11:00,Auction 3. Period CAP2-EU,T3PA,18.55,13.00,25.25,18.40,18.42,"4,213,000","13,720,500",100,32,3.57,"137,205","490,018","906,857","210,650","348,285",3.26,28,20,"78,151,150",EU,"1,864,275","3,403,925","3,301,900","222,600","5,231,100",,"1,678,775","1,261,400","4,656,050","11,584,475","2,244,550","7,345,800","639,975","2,012,675","1,252,125","12,929,350","714,175","157,675","361,725","139,125","4,498,375",,"2,355,850","6,436,850","1,196,475","593,600","2,068,325"
05.12.2018,11:00,Auction 3. Period CAP2-PL,T3PA,20.21,5.00,25.25,19.72,20.12,"3,543,000","7,442,500",90,33,3.33,"82,694","275,648","362,318","196,833","353,152",2.10,27,18,"71,604,030",PL,,,,,,,,,,,,,,,,,,,,,,"71,604,030",,,,,
04.12.2018,11:00,Auction 3. Period CAP2-EU,T3PA,20.35,13.00,25.22,20.04,20.15,"4,213,000","10,877,000",108,29,3.38,"100,713","339,906","634,565","263,313","397,677",2.58,32,16,"85,734,550",EU,"2,045,175","3,734,225","3,622,300","244,200","5,738,700",,"1,841,675","1,383,800","5,107,850","12,708,575","2,462,350","8,058,600","702,075","2,207,975","1,373,625","14,183,950","783,475","172,975","396,825","152,625","4,934,875",,"2,584,450","7,061,450","1,312,575","651,200","2,269,025"
03.12.2018,11:00,Auction 3. Period CAP2-EU,T3PA,20.52,6.00,22.00,19.92,20.50,"4,213,000","10,568,000",86,39,3.31,"122,884","406,462","742,227","200,619","351,004",2.51,26,21,"86,450,760",EU,"2,062,260","3,765,420","3,652,560","246,240","5,786,640",,"1,857,060","1,395,360","5,150,520","12,814,740","2,482,920","8,125,920","707,940","2,226,420","1,385,100","14,302,440","790,020","174,420","400,140","153,900","4,976,100",,"2,606,040","7,120,440","1,323,540","656,640","2,287,980"
29.11.2018,11:00,Auction 3. Period CAP2-EU,T3PA,19.35,6.00,20.00,18.82,19.18,"4,213,000","13,420,000",95,33,3.96,"141,263","559,167","837,982","234,056","431,345",3.19,24,18,"81,521,550",EU,"1,944,675","3,550,725","3,444,300","232,200","5,456,700",,"1,751,175","1,315,800","4,856,850","12,084,075","2,341,350","7,662,600","667,575","2,099,475","1,306,125","13,486,950","744,975","164,475","377,325","145,125","4,692,375",,"2,457,450","6,714,450","1,248,075","619,200","2,157,525"
27.11.2018,11:00,Auction 3. Period CAP2-EU,T3PA,19.77,12.50,25.00,19.25,19.49,"4,213,000","10,697,000",94,20,3.48,"113,798","396,185","574,654","351,083","438,648",2.54,27,12,"83,291,010",EU,"1,986,885","3,627,795","3,519,060","237,240","5,575,140",,"1,789,185","1,344,360","4,962,270","12,346,365","2,392,170","7,828,920","682,065","2,145,045","1,334,475","13,779,690","761,145","168,045","385,515","148,275","4,794,225",,"2,510,790","6,860,190","1,275,165","632,640","2,204,355"
26.11.2018,11:00,Auction 3. Period CAP2-EU,T3PA,19.71,6.00,22.00,19.30,19.62,"4,213,000","8,860,500",106,37,3.79,"83,590","316,446","376,394","200,619","315,961",2.10,28,21,"83,038,230",EU,"1,980,855","3,616,785","3,508,380","236,520","5,558,220",,"1,783,755","1,340,280","4,947,210","12,308,895","2,384,910","7,805,160","679,995","2,138,535","1,330,425","13,737,870","758,835","167,535","384,345","147,825","4,779,675",,"2,503,170","6,839,370","1,271,295","630,720","2,197,665"
22.11.2018,11:00,Auction 3. Period CAP2-EU,T3PA,20.30,7.00,28.12,19.71,20.05,"4,213,000","11,880,500",90,26,3.46,"132,006","456,942","734,636","300,929","544,828",2.82,26,14,"85,523,900",EU,"2,040,150","3,725,050","3,613,400","243,600","5,724,600",,"1,837,150","1,380,400","5,095,300","12,677,350","2,456,300","8,038,800","700,350","2,202,550","1,370,250","14,149,100","781,550","172,550","395,850","152,250","4,922,750",,"2,578,100","7,044,100","1,309,350","649,600","2,263,450"
21.11.2018,15:00,EUAA Auction CAP2-EU,EAA3,20.10,19.48,20.45,19.96,19.98,"955,000","3,580,000",56,12,5.60,"63,929","358,000","302,491","136,429","135,677",3.75,10,7,"19,195,500",EU,"582,900","663,300","221,100","331,650","291,450",,"653,250","30,150","1,216,050","3,979,800","512,550","2,974,800","130,650","241,200","522,600","3,507,450","60,300","60,300","130,650","130,650","904,500",,"703,500","371,850","894,450","40,200","40,200"
21.11.2018,11:00,Auction 3. Period CAP2-PL,T3PA,19.84,1.00,25.25,19.21,19.67,"3,547,000","8,766,500",75,24,2.68,"116,887","313,089","525,111","221,688","419,332",2.47,28,16,"70,372,480",PL,,,,,,,,,,,,,,,,,,,,,,"70,372,480",,,,,
20.11.2018,11:00,Auction 3. Period CAP2-EU,T3PA,19.40,10.00,25.25,19.08,19.14,"4,213,000","8,191,500",77,19,3.21,"106,383","341,313","513,337","526,625","694,501",1.94,24,8,"81,732,200",EU,"1,949,700","3,559,900","3,453,200","232,800","5,470,800",,"1,755,700","1,319,200","4,869,400","12,115,300","2,347,400","7,682,400","669,300","2,104,900","1,309,500","13,521,800","746,900","164,900","378,300","145,500","4,704,500",,"2,463,800","6,731,800","1,251,300","620,800","2,163,100"
19.11.2018,11:01,Auction 3. Period CAP2-EU,T3PA,18.43,7.00,25.22,18.23,18.44,"4,213,000","6,756,000",84,43,3.36,"80,429","270,240","371,502","200,619","383,405",1.60,25,21,"77,645,590",EU,"1,852,215","3,381,905","3,280,540","221,160","5,197,260",,"1,667,915","1,253,240","4,625,930","11,509,535","2,230,030","7,298,280","635,835","1,999,655","1,244,025","12,845,710","709,555","156,655","359,385","138,225","4,469,275",,"2,340,610","6,395,210","1,188,735","589,760","2,054,945"
15.11.2018,11:00,Auction 3. Period CAP2-EU,T3PA,18.46,12.50,25.00,18.41,18.52,"4,213,000","6,411,500",79,49,2.82,"81,158","228,982","366,832","156,037","322,467",1.52,28,27,"77,771,980",EU,"1,855,230","3,387,410","3,285,880","221,520","5,205,720",,"1,670,630","1,255,280","4,633,460","11,528,270","2,233,660","7,310,160","636,870","2,002,910","1,246,050","12,866,620","710,710","156,910","359,970","138,450","4,476,550",,"2,344,420","6,405,620","1,190,670","590,720","2,058,290"
13.11.2018,11:00,Auction 3. Period CAP2-EU,T3PA,19.76,8.00,28.28,19.53,19.81,"4,213,000","6,410,500",73,46,3.04,"87,815","267,104","321,327","200,619","288,130",1.52,24,21,"83,248,880",EU,"1,985,880","3,625,960","3,517,280","237,120","5,572,320",,"1,788,280","1,343,680","4,959,760","12,340,120","2,390,960","7,824,960","681,720","2,143,960","1,333,800","13,772,720","760,760","167,960","385,320","148,200","4,791,800",,"2,509,520","6,856,720","1,274,520","632,320","2,203,240"
12.11.2018,11:00,Auction 3. Period CAP2-EU,T3PA,20.01,9.00,23.00,19.63,20.11,"4,213,000","6,121,000",73,54,2.81,"83,849","235,423","296,328","175,542","261,331",1.45,26,24,"84,302,130",EU,"2,011,005","3,671,835","3,561,780","240,120","5,642,820",,"1,810,905","1,360,680","5,022,510","12,496,245","2,421,210","7,923,960","690,345","2,171,085","1,350,675","13,946,970","770,385","170,085","390,195","150,075","4,852,425",,"2,541,270","6,943,470","1,290,645","640,320","2,231,115"
09.11.2018,11:00,Auction 3. Period DE,T3PA,19.25,12.50,22.22,19.15,19.36,"4,360,000","8,015,000",78,51,3.25,"102,756","333,958","458,431","218,000","292,946",1.84,24,20,"83,930,000",DE,,,,,,"83,930,000",,,,,,,,,,,,,,,,,,,,,
08.11.2018,11:00,Auction 3. Period CAP2-EU,T3PA,19.56,12.50,25.25,19.20,19.36,"4,213,000","7,625,500",82,33,3.04,"92,994","282,426","438,663","280,867","475,532",1.81,27,15,"82,406,280",EU,"1,965,780","3,589,260","3,481,680","234,720","5,515,920",,"1,770,180","1,330,080","4,909,560","12,215,220","2,366,760","7,745,760","674,820","2,122,260","1,320,300","13,633,320","753,060","166,260","381,420","146,700","4,743,300",,"2,484,120","6,787,320","1,261,620","625,920","2,180,940"
07.11.2018,11:00,Auction 3. Period CAP2-PL,T3PA,18.25,12.50,22.12,17.88,18.01,"3,547,000","7,528,500",84,19,2.80,"89,625","250,950","309,319","295,583","340,549",2.12,30,12,"64,732,750",PL,,,,,,,,,,,,,,,,,,,,,,"64,732,750",,,,,
06.11.2018,11:00,Auction 3. Period CAP2-EU,T3PA,16.99,12.50,22.22,16.90,16.79,"4,213,000","9,206,500",96,29,3.31,"95,901","317,466","516,269","280,867","426,159",2.19,29,15,"71,578,870",EU,"1,707,495","3,117,665","3,024,220","203,880","4,791,180",,"1,537,595","1,155,320","4,264,490","10,610,255","2,055,790","6,728,040","586,155","1,843,415","1,146,825","11,842,030","654,115","144,415","331,305","127,425","4,120,075",,"2,157,730","5,895,530","1,095,855","543,680","1,894,385"
05.11.2018,11:00,Auction 3. Period CAP2-EU,T3PA,16.40,12.50,25.01,16.85,16.69,"4,213,000","5,126,000",79,68,3.04,"64,886","197,154","323,039","162,038","297,435",1.22,26,26,"69,093,200",EU,"1,648,200","3,009,400","2,919,200","196,800","4,624,800",,"1,484,200","1,115,200","4,116,400","10,241,800","1,984,400","6,494,400","565,800","1,779,400","1,107,000","11,430,800","631,400","139,400","319,800","123,000","3,977,000",,"2,082,800","5,690,800","1,057,800","524,800","1,828,600"
02.11.2018,11:00,Auction 3. Period DE,T3PA,16.15,12.50,20.10,16.09,16.02,"4,360,000","14,662,500",92,37,3.83,"159,375","610,938","1,143,169","272,500","378,523",3.36,24,16,"70,414,000",DE,,,,,,"70,414,000",,,,,,,,,,,,,,,,,,,,,
01.11.2018,11:00,Auction 3. Period CAP2-EU,T3PA,15.85,10.00,20.40,15.70,15.80,"4,213,000","7,962,000",81,37,3.68,"98,296","361,909","422,901","263,313","404,639",1.89,22,16,"66,776,050",EU,"1,592,925","2,908,475","2,821,300","190,200","4,469,700",,"1,434,425","1,077,800","3,978,350","9,898,325","1,917,850","6,276,600","546,825","1,719,725","1,069,875","11,047,450","610,225","134,725","309,075","118,875","3,843,625",,"2,012,950","5,499,950","1,022,325","507,200","1,767,275"
30.10.2018,11:00,Auction 3. Period CAP2-EU,T3PA,16.87,7.00,20.00,16.68,16.83,"4,213,000","15,192,000",91,41,3.25,"166,945","542,571","1,195,007","200,619","456,085",3.61,28,21,"71,073,310",EU,"1,695,435","3,095,645","3,002,860","202,440","4,757,340",,"1,526,735","1,147,160","4,234,370","10,535,315","2,041,270","6,680,520","582,015","1,830,395","1,138,725","11,758,390","649,495","143,395","328,965","126,525","4,090,975",,"2,142,490","5,853,890","1,088,115","539,840","1,881,005"
29.10.2018,11:00,Auction 3. Period CAP2-EU,T3PA,17.91,10.00,25.00,17.78,17.95,"4,213,000","7,230,000",88,50,3.26,"82,159","267,778","422,504","183,174","396,487",1.72,27,23,"75,454,830",EU,"1,799,955","3,286,485","3,187,980","214,920","5,050,620",,"1,620,855","1,217,880","4,495,410","11,184,795","2,167,110","7,092,360","617,895","1,943,235","1,208,925","12,483,270","689,535","152,235","349,245","134,325","4,343,175",,"2,274,570","6,214,770","1,155,195","573,120","1,996,965"
26.10.2018,11:00,Auction 3. Period DE,T3PA,18.98,10.00,21.67,18.50,18.74,"4,360,000","17,296,000",102,29,4.25,"169,569","720,667","1,613,428","256,471","499,327",3.97,24,17,"82,752,800",DE,,,,,,"82,752,800",,,,,,,,,,,,,,,,,,,,,
25.10.2018,11:00,Auction 3. Period CAP2-EU,T3PA,18.72,10.00,22.00,18.23,18.47,"4,213,000","18,889,000",100,27,3.85,"188,890","726,500","1,786,589","263,313","491,657",4.48,26,16,"78,867,360",EU,"1,881,360","3,435,120","3,332,160","224,640","5,279,040",,"1,694,160","1,272,960","4,698,720","11,690,640","2,265,120","7,413,120","645,840","2,031,120","1,263,600","13,047,840","720,720","159,120","365,040","140,400","4,539,600",,"2,377,440","6,495,840","1,207,440","599,040","2,087,280"
24.10.2018,11:00,Auction 3. Period CAP2-PL,T3PA,19.10,10.00,25.00,18.69,18.97,"3,547,000","14,635,500",97,32,3.46,"150,881","522,696","1,466,393","186,684","373,597",4.13,28,19,"67,747,700",PL,,,,,,,,,,,,,,,,,,,,,,"67,747,700",,,,,
23.10.2018,11:00,Auction 3. Period CAP2-EU,T3PA,18.50,6.00,25.12,18.09,18.30,"4,213,000","17,999,500",111,33,3.58,"162,158","580,629","1,373,356","221,737","445,156",4.27,31,19,"77,940,500",EU,"1,859,250","3,394,750","3,293,000","222,000","5,217,000",,"1,674,250","1,258,000","4,643,500","11,553,250","2,238,500","7,326,000","638,250","2,007,250","1,248,750","12,894,500","712,250","157,250","360,750","138,750","4,486,250",,"2,349,500","6,419,500","1,193,250","592,000","2,062,750"
22.10.2018,11:00,Auction 3. Period CAP2-EU,T3PA,19.10,10.00,25.00,18.60,18.90,"4,213,000","16,320,000",93,30,3.58,"175,484","627,692","1,387,831","247,824","379,010",3.87,26,17,"80,468,300",EU,"1,919,550","3,504,850","3,399,800","229,200","5,386,200",,"1,728,550","1,298,800","4,794,100","11,927,950","2,311,100","7,563,600","658,950","2,072,350","1,289,250","13,312,700","735,350","162,350","372,450","143,250","4,631,750",,"2,425,700","6,627,700","1,231,950","611,200","2,129,650"
19.10.2018,11:00,Auction 3. Period DE,T3PA,19.17,10.00,25.00,18.47,19.18,"5,450,000","10,025,000",75,39,3.13,"133,667","417,708","655,108","286,842","524,014",1.84,24,19,"104,476,500",DE,,,,,,"104,476,500",,,,,,,,,,,,,,,,,,,,,
18.10.2018,11:00,Auction 3. Period CAP2-EU,T3PA,18.53,17.99,25.00,18.82,18.60,"4,213,000","14,589,000",82,51,2.73,"177,915","486,300","1,618,973","168,520","359,302",3.46,30,25,"78,066,890",EU,"1,862,265","3,400,255","3,298,340","222,360","5,225,460",,"1,676,965","1,260,040","4,651,030","11,571,985","2,242,130","7,337,880","639,285","2,010,505","1,250,775","12,915,410","713,405","157,505","361,335","138,975","4,493,525",,"2,353,310","6,429,910","1,195,185","592,960","2,066,095"
