name,tsm_type,target_mode,seq_len,label_len,batch_size,learning_rate,max_epochs,patience,d_model,n_heads,e_layers,d_ff,dropout,weight_decay,grad_clip,dlinear_individual,kernel_size,dlinear_channel_mixer,max_exogenous_features_model,use_residual_wrapper,residual_alpha,n_features,best_val_loss,epochs_ran,val_path_mse,test_path_mse,h1_mse,h5_mse,h20_mse,h30_mse,feature_order_name,feature_order
reslin_primary_fc10_e100,dlinear,returns,20,10,64,0.001,100,15,32,2,1,64,0.3,0.01,0.5,False,5,residual_linear,10,False,0.1,11,0.5867446511983871,100,16.138011932373047,35.231048583984375,1.2179644107818604,4.6991376876831055,51.17136001586914,83.29164123535156,primary_only,target_range_pct|target_volume|is_auction_day|uk_icap_primary_print_day|uk_icap_primary_days_since_print|y_vol_20d|y_ma_5d|y_momentum_5d|y_momentum_20d
reslin_nodays_lr5e4_e120,dlinear,returns,20,10,64,0.0005,120,20,32,2,1,64,0.3,0.01,0.5,False,5,residual_linear,10,False,0.1,11,0.589357390999794,120,16.576257705688477,28.315494537353516,1.198013424873352,5.170902729034424,38.53926086425781,69.49117279052734,no_days_since,target_range_pct|target_volume|is_auction_day|uk_icap_primary_print_day|uk_icap_secondary_print_day|y_vol_20d|y_ma_5d|y_momentum_5d|y_momentum_20d
reslin_nodays_s30_l10_e100,dlinear,returns,30,10,64,0.001,100,15,32,2,1,64,0.3,0.01,0.5,False,5,residual_linear,10,False,0.1,11,0.588130921125412,75,16.617122650146484,26.50041961669922,1.258219599723816,5.171756267547607,36.03911590576172,66.26327514648438,no_days_since,target_range_pct|target_volume|is_auction_day|uk_icap_primary_print_day|uk_icap_secondary_print_day|y_vol_20d|y_ma_5d|y_momentum_5d|y_momentum_20d
reslin_nodays_fc8_e100,dlinear,returns,20,10,64,0.001,100,15,32,2,1,64,0.3,0.01,0.5,False,5,residual_linear,8,False,0.1,9,0.588889479637146,86,16.676250457763672,25.9293270111084,1.2207436561584473,4.952794551849365,34.88037109375,65.00127410888672,no_days_since,target_range_pct|target_volume|is_auction_day|uk_icap_primary_print_day|uk_icap_secondary_print_day|y_vol_20d|y_ma_5d|y_momentum_5d|y_momentum_20d
reslin_nodays_s15_l5_e100,dlinear,returns,15,5,64,0.001,100,15,32,2,1,64,0.3,0.01,0.5,False,5,residual_linear,10,False,0.1,11,0.5921677500009537,88,16.679351806640625,27.930294036865234,1.178176999092102,5.22278356552124,37.54723358154297,70.19064331054688,no_days_since,target_range_pct|target_volume|is_auction_day|uk_icap_primary_print_day|uk_icap_secondary_print_day|y_vol_20d|y_ma_5d|y_momentum_5d|y_momentum_20d
reslin_nodays_fc9_e100,dlinear,returns,20,10,64,0.001,100,15,32,2,1,64,0.3,0.01,0.5,False,5,residual_linear,9,False,0.1,10,0.588886022567749,87,16.72402000427246,25.58692169189453,1.2199679613113403,4.902342796325684,34.38174057006836,64.4757080078125,no_days_since,target_range_pct|target_volume|is_auction_day|uk_icap_primary_print_day|uk_icap_secondary_print_day|y_vol_20d|y_ma_5d|y_momentum_5d|y_momentum_20d
reslin_nodays_k3_e100,dlinear,returns,20,10,64,0.001,100,15,32,2,1,64,0.3,0.01,0.5,False,3,residual_linear,10,False,0.1,11,0.588558666408062,87,16.749916076660156,25.404550552368164,1.2244315147399902,4.799332618713379,34.056392669677734,64.22435760498047,no_days_since,target_range_pct|target_volume|is_auction_day|uk_icap_primary_print_day|uk_icap_secondary_print_day|y_vol_20d|y_ma_5d|y_momentum_5d|y_momentum_20d
reslin_nodays_fc10_e100,dlinear,returns,20,10,64,0.001,100,15,32,2,1,64,0.3,0.01,0.5,False,5,residual_linear,10,False,0.1,11,0.5887475609779358,87,16.761449813842773,25.50322914123535,1.2183653116226196,4.840198993682861,34.387603759765625,64.34259796142578,no_days_since,target_range_pct|target_volume|is_auction_day|uk_icap_primary_print_day|uk_icap_secondary_print_day|y_vol_20d|y_ma_5d|y_momentum_5d|y_momentum_20d
reslin_nodays_k7_e100,dlinear,returns,20,10,64,0.001,100,15,32,2,1,64,0.3,0.01,0.5,False,7,residual_linear,10,False,0.1,11,0.5875749811530113,87,16.768150329589844,25.86808967590332,1.1971852779388428,4.84462308883667,35.05401611328125,64.69168090820312,no_days_since,target_range_pct|target_volume|is_auction_day|uk_icap_primary_print_day|uk_icap_secondary_print_day|y_vol_20d|y_ma_5d|y_momentum_5d|y_momentum_20d
reslin_nodays_lr2e3_e80,dlinear,returns,20,10,64,0.002,80,12,32,2,1,64,0.3,0.01,0.5,False,5,residual_linear,10,False,0.1,11,0.5886953845620155,49,17.031015396118164,24.359596252441406,1.2196002006530762,4.709658145904541,32.624237060546875,62.49222183227539,no_days_since,target_range_pct|target_volume|is_auction_day|uk_icap_primary_print_day|uk_icap_secondary_print_day|y_vol_20d|y_ma_5d|y_momentum_5d|y_momentum_20d
