feature,family,total_score
coal_brent_ratio,energy,6.91211898624897
uk_icap_secondary,uk_icap,6.406614288687706
uk_icap_primary_lag_20,uk_icap,3.097403556086647
eurusd,fx,3.0448728054761887
uk_temp_mean_c,weather,2.9198323264718056
y_ma_20d,target_derived,1.8700706958770752
coal_vol_5d,energy,1.8231870457530022
uk_gas_vol_20d,energy,1.8076533675193787
uk_temp_min_c,weather,1.685534294694662
uk_temp_max_c,weather,1.5768731879070401
auction_price_lag_20,uk_auction,1.576268500648439
uk_icap_primary_secondary_spread,uk_icap,1.5050431340932846
y_ma_60d,target_derived,1.4812914952635765
auction_price_lag_1,uk_auction,1.4794115126132965
auction_price_rolling_mean_20,uk_auction,1.4753966182470322
uk_hdd18_7d_ma,weather,1.43337756767869
brent_vol_5d,energy,1.3738837391138077
uk_icap_primary,uk_icap,1.3075790656730533
y_vol_20d,target_derived,1.2938452512025833
uk_icap_secondary_days_since_print,uk_icap,1.2645568549633026
y_momentum_5d,target_derived,1.2230848679319024
uk_gas_price,energy,1.193030297756195
eua_range_pct,other,1.159014917910099
uk_hdd18,weather,1.1577573642134666
uk_icap_spread_lag_1,uk_icap,1.0248753130435944
auction_price_eur,uk_auction,1.0168996006250381
brent_price,energy,0.974333643913269
uk_icap_spread_lag_5,uk_icap,0.9446258917450905
uk_power_vol_5d,energy,0.9101542178541422
uk_power_return,energy,0.8702597934752703
uk_gas_return,energy,0.8432380361482501
brent_vol_20d,energy,0.8034056946635246
brent_return,energy,0.8014396205544472
target_volume,target_derived,0.7684560343623161
uk_icap_secondary_print_day,uk_icap,0.7646200507879257
uk_power_gas_spread,energy,0.7406806660001166
uk_icap_primary_days_since_print,uk_icap,0.7335214531049132
uk_power_gas_ratio,energy,0.7190445708110929
uk_icap_spread_lag_20,uk_icap,0.6774685489945114
uk_icap_spread_z20,uk_icap,0.6542229759506881
eua_low,other,0.6455401033163071
y_ma_5d,target_derived,0.6002691052854061
y,target_derived,0.5988359451293945
uk_icap_primary_print_day,uk_icap,0.5962967738014413
target_range_pct,target_derived,0.5913633070886135
coal_vol_20d,energy,0.5092504397034645
is_auction_day,uk_auction,0.44455641395506973
coal_return,energy,0.44288254901766777
eua_volume,other,0.4343778043985367
eua_range,other,0.41446608304977417
coal_price,energy,0.36669935286045074
uk_power_vol_20d,energy,0.3581854625372216
y_return,target_derived,0.35412940953392535
y_momentum_20d,target_derived,0.3300727969035506
auction_price_lag_5,uk_auction,0.3231265991926193
target_range,target_derived,0.26368463039398193
uk_power_price,energy,0.2631626445800066
uk_temp_mean_7d_ma,weather,0.25614462047815323
uk_icap_dow_sin,uk_icap,0.16016229707747698
uk_icap_dow_cos,uk_icap,0.1594579890370369
uka_range_pct,other,0.142406791128451
uk_gas_vol_5d,energy,0.13005217537283897
uka_range,other,0.12610112864058465
uk_icap_primary_secondary_spread_pct,uk_icap,0.12435554713010788
uka_volume,other,0.04066361207515001
uk_icap_secondary_ffill,uk_icap,0.02218437776900828
uk_icap_primary_lag_5,uk_icap,0.013488300144672394
uk_icap_primary_ffill,uk_icap,0.0006109827081672847
eua_high,other,0.0
uk_icap_primary_lag_1,uk_icap,0.0
