feature,family,summary_stat,score,selected_above_threshold
uk_icap_secondary,uk_icap,last,4.7447614669799805,True
coal_brent_ratio,energy,last,4.376120090484619,True
uka_brent_ratio,other,last,2.5736873149871826,True
auction_price_rolling_mean_20,uk_auction,last,2.098693609237671,True
eurusd,fx,last,2.0220587253570557,True
brent_price,energy,last,1.7459657192230225,True
uk_gas_hdd18_surprise_interaction,energy,std_20,1.7313050031661987,True
y_momentum_5d,target_derived,std_20,1.382635235786438,True
uk_power_gas_vol_ratio_20d,energy,std_20,1.3054239749908447,True
coal_brent_ratio,energy,change_20,1.2218742370605469,True
y_ma_20d,target_derived,std_20,1.2194254398345947,True
uka_coal_return_spread,other,std_20,1.1138654947280884,True
uk_icap_primary_lag_20,uk_icap,last,1.0637423992156982,True
uk_power_vol_20d,energy,std_20,0.9767071008682251,True
eua_low,other,std_20,0.9651570916175842,True
uk_gas_price,energy,std_20,0.9562374949455261,True
uk_power_gas_vol_ratio_20d,energy,change_20,0.9073289036750793,True
uk_icap_spread_lag_1,uk_icap,last,0.875088632106781,True
uk_icap_primary_secondary_spread,uk_icap,std_20,0.8493297696113586,True
uk_gas_vol_20d,energy,change_20,0.7843682169914246,True
auction_price_rolling_mean_20,uk_auction,std_20,0.7723646759986877,True
uk_power_vol_20d,energy,change_20,0.767303466796875,True
uk_power_gas_vol_ratio_20d,energy,last,0.7597229480743408,True
uka_brent_ratio_z20,other,std_20,0.7588537335395813,True
uk_icap_secondary_days_since_print,uk_icap,last,0.7542218565940857,True
uka_brent_ratio,other,std_20,0.720318615436554,True
auction_price_lag_20,uk_auction,last,0.7069116234779358,True
auction_price_lag_1,uk_auction,change_20,0.6888869404792786,True
eurusd,fx,change_20,0.6698387265205383,True
uka_brent_ratio_z20,other,last,0.6665862798690796,True
brent_vol_5d,energy,std_20,0.6522307395935059,True
uk_gas_vol_20d,energy,std_20,0.6487717628479004,True
uk_temp_mean_c,weather,std_20,0.6027432680130005,True
coal_price,energy,change_20,0.580235481262207,True
y_ma_60d,target_derived,change_20,0.5607123374938965,True
uka_power_return_spread,other,std_20,0.5576385855674744,True
uk_icap_secondary_print_day,uk_icap,last,0.5495036244392395,True
auction_price_lag_1,uk_auction,std_20,0.5411968231201172,True
eua_range_pct,other,std_20,0.5314728021621704,True
coal_vol_5d,energy,std_20,0.5210484266281128,True
coal_brent_ratio_z20,energy,last,0.5084655284881592,True
uk_icap_primary_days_since_print,uk_icap,std_20,0.4705905020236969,True
auction_price_eur,uk_auction,std_20,0.46898147463798523,True
y_vol_20d,target_derived,change_20,0.4647793769836426,True
y_momentum_20d,target_derived,std_20,0.4441055953502655,True
uk_icap_spread_lag_5,uk_icap,std_20,0.417701780796051,True
uk_icap_primary,uk_icap,last,0.38877490162849426,True
uk_icap_primary,uk_icap,std_20,0.37083524465560913,True
auction_price_lag_5,uk_auction,std_20,0.3621485233306885,True
uk_power_vol_5d,energy,std_20,0.35514792799949646,True
uka_coal_ratio,other,last,0.343977689743042,True
uk_hdd18_7d_ma,weather,std_20,0.3265407383441925,True
uka_coal_ratio_z20,other,last,0.3201664090156555,True
uk_power_vol_20d,energy,change_5,0.30658838152885437,True
eurusd,fx,std_20,0.30533891916275024,True
uka_gas_ratio_z20,other,last,0.3027987480163574,True
uka_power_ratio,other,std_20,0.29977959394454956,True
y_ma_5d,target_derived,std_20,0.2923135757446289,True
brent_return,energy,std_20,0.2877279222011566,True
auction_price_lag_20,uk_auction,std_20,0.2836844027042389,True
uk_icap_primary_print_day,uk_icap,std_20,0.27558693289756775,True
uka_brent_ratio,other,change_5,0.26996469497680664,True
uka_gas_ratio,other,last,0.26974573731422424,True
brent_vol_5d,energy,last,0.2584386467933655,True
uk_power_gas_ratio,energy,std_20,0.25615325570106506,True
uka_brent_return_spread,other,std_20,0.25546133518218994,True
brent_vol_20d,energy,std_20,0.24245403707027435,True
coal_brent_vol_ratio_20d,energy,last,0.24070051312446594,True
uk_temp_min_c,weather,std_20,0.23655657470226288,True
auction_price_lag_20,uk_auction,change_20,0.23589526116847992,True
coal_vol_5d,energy,change_20,0.22808963060379028,True
uk_gas_price,energy,last,0.22672833502292633,True
