variant,target_window,selected_regime
vm_regime_filter,W1,high_vol|large_move
vm_regime_filter,W1,high_vol|mid_move
vm_regime_filter,W1,high_vol|small_move
vm_regime_filter,W1,low_vol|large_move
vm_regime_filter,W1,mid_vol|large_move
vm_regime_filter,W2,high_vol|large_move
vm_regime_filter,W2,high_vol|mid_move
vm_regime_filter,W2,high_vol|small_move
vm_regime_filter,W2,mid_vol|large_move
vm_regime_filter,W2,mid_vol|mid_move
vm_regime_filter,W3,high_vol|large_move
vm_regime_filter,W3,high_vol|small_move
vm_regime_filter,W3,low_vol|large_move
vm_regime_filter,W4,high_vol|large_move
vm_regime_filter,W4,high_vol|mid_move
vm_regime_filter,W4,high_vol|small_move
vm_regime_filter,W4,low_vol|small_move
vm_regime_filter,W4,mid_vol|large_move
vmr_regime_filter,W1,high_vol|large_move|high_support
vmr_regime_filter,W1,low_vol|large_move|high_support
vmr_regime_filter,W1,mid_vol|large_move|high_support
vmr_regime_filter,W2,high_vol|large_move|high_support
vmr_regime_filter,W2,high_vol|mid_move|high_support
vmr_regime_filter,W2,high_vol|mid_move|mid_support
vmr_regime_filter,W2,low_vol|large_move|high_support
vmr_regime_filter,W3,low_vol|large_move|high_support
vmr_regime_filter,W4,high_vol|large_move|high_support
vmr_regime_filter,W4,high_vol|mid_move|high_support
vmr_regime_filter,W4,high_vol|mid_move|mid_support
vmr_regime_filter,W4,low_vol|small_move|high_support
vmr_regime_filter,W4,mid_vol|large_move|high_support
