name,tsm_type,target_mode,seq_len,label_len,batch_size,learning_rate,max_epochs,patience,d_model,n_heads,e_layers,d_ff,dropout,weight_decay,grad_clip,dlinear_individual,kernel_size,use_residual_wrapper,residual_alpha,n_features,best_val_loss,epochs_ran,val_path_mse,test_path_mse,h1_mse,h5_mse,h20_mse,h30_mse
dlinear_ret_s20_l10,dlinear,returns,20,10,64,0.001,40,8,32,2,1,64,0.3,0.01,0.5,True,25,False,0.1,13,0.5987452641129494,40,16.841489791870117,29.782794952392578,1.205735683441162,5.649114608764648,40.246158599853516,72.36900329589844
dlinear_ret_s60_l15,dlinear,returns,60,15,64,0.001,40,8,32,2,1,64,0.3,0.01,0.5,True,25,False,0.1,13,0.5824096202850342,40,17.06529426574707,31.650217056274414,1.1638377904891968,5.55398416519165,43.46726989746094,76.78177642822266
dlinear_ret_s40_l15,dlinear,returns,40,15,64,0.001,40,8,32,2,1,64,0.3,0.01,0.5,True,25,False,0.1,13,0.5886450037360191,40,17.296554565429688,30.5374755859375,1.1316102743148804,5.470330238342285,41.54793167114258,75.57373809814453
af_ret_s20_l10_m32,autoformer,returns,20,10,32,0.001,40,10,32,2,1,64,0.3,0.01,0.5,True,25,False,0.1,13,0.5854798872023821,16,17.596303939819336,31.407573699951172,1.0612175464630127,5.312225341796875,43.38113021850586,79.11759948730469
af_ret_s15_l5_m16,autoformer,returns,15,5,32,0.001,40,10,16,2,1,32,0.3,0.01,0.5,True,25,False,0.1,13,0.5879279877990484,33,17.61849594116211,31.668468475341797,1.067288875579834,5.215857028961182,43.83769607543945,79.90357971191406
af_ret_s30_l10_m32,autoformer,returns,30,10,32,0.001,40,10,32,2,1,64,0.3,0.01,0.5,True,25,False,0.1,13,0.5800659283995628,17,17.633773803710938,31.132797241210938,1.0632858276367188,5.276509761810303,42.924686431884766,78.52364349365234
dlinear_price_s20_l10,dlinear,price,20,10,64,0.001,40,8,32,2,1,64,0.3,0.01,0.5,True,25,False,0.1,13,0.056192049756646156,40,17.702049255371094,27.571537017822266,2.5737674236297607,6.413249492645264,38.19365692138672,62.75177001953125
af_ret_s40_l15_m32,autoformer,returns,40,15,32,0.001,40,10,32,2,1,64,0.3,0.01,0.5,True,25,False,0.1,13,0.5757441557943821,16,17.99053382873535,30.516359329223633,1.0782248973846436,5.239744186401367,42.16608428955078,76.99722290039062
dlinear_ret_s10_l5,dlinear,returns,10,5,64,0.001,40,8,32,2,1,64,0.3,0.01,0.5,True,25,False,0.1,13,0.6090907007455826,40,18.16489601135254,31.783010482788086,1.1540559530258179,5.478647708892822,42.65925979614258,79.01093292236328
dlinear_price_s10_l5,dlinear,price,10,5,64,0.001,40,8,32,2,1,64,0.3,0.01,0.5,True,25,False,0.1,13,0.05939281638711691,40,19.16265106201172,29.484451293945312,4.870543479919434,7.71429443359375,40.09150314331055,65.65833282470703
af_price_s15_l5_m16,autoformer,price,15,5,32,0.001,40,10,16,2,1,32,0.3,0.01,0.5,True,25,False,0.1,13,0.9424396902322769,11,363.4917297363281,36.896244049072266,44.173011779785156,39.19510269165039,34.5300407409668,43.77528381347656
af_price_s20_l10_m32,autoformer,price,20,10,32,0.001,40,10,32,2,1,64,0.3,0.01,0.5,True,25,False,0.1,13,1.2674048244953156,40,444.1352844238281,51.556278228759766,107.66216278076172,86.80229949951172,35.2188720703125,45.03697204589844
af_ret_s30_l10_m32_resid,autoformer,returns,30,10,32,0.001,40,10,32,2,1,64,0.3,0.01,0.5,True,25,True,0.5,13,1.2491417936980724,30,136823.671875,632.6864013671875,1.9671404361724854,34.15886688232422,679.7183837890625,2425.14208984375
