horizon,mse,rmse,mae,mape,noise_level,model
1,2043.214740615586,45.2019329300815,44.8735679536153,66.38611949169275,0.05,tsm
5,2044.9879562408635,45.22154305462014,44.89326355062784,66.38536046852835,0.05,tsm
20,2084.1090856030964,45.65204360817921,45.34199247127609,66.5728263817449,0.05,tsm
30,2148.2093519050927,46.34877940038004,46.039275100314335,66.98942022298618,0.05,tsm
1,2043.2801687437948,45.2026566558183,44.87424901768332,66.38721788318477,0.1,tsm
5,2045.2011788248185,45.223900526434235,44.89591651174882,66.38958324547471,0.1,tsm
20,2084.2471301613054,45.65355550404925,45.34336638749374,66.57475165144645,0.1,tsm
30,2147.098846495369,46.336797974130334,46.02700191722559,66.97136846168932,0.1,tsm
1,2043.4455839299878,45.20448632525303,44.87561114581936,66.38941466616882,0.2,tsm
5,2045.6645248916107,45.22902303711203,44.90122243399076,66.39802879936747,0.2,tsm
20,2084.553870262373,45.65691481322816,45.34611421992905,66.57860219084955,0.2,tsm
30,2144.912891275173,46.31320428641462,46.00245555104809,66.93526493909562,0.2,tsm
1,2043.6570776980934,45.20682556537335,44.87697327393154,66.3916114491122,0.3,tsm
5,2046.177072276716,45.23468881595977,44.90652835726619,66.4064743545704,0.3,tsm
20,2084.9014784612496,45.660721396636404,45.348862053568254,66.58245273189965,0.3,tsm
30,2142.7736766274547,46.290103441529,45.97790918247307,66.8991614131791,0.3,tsm
