horizon,mse,rmse,mae,mape,noise_level,model
1,4.906555092880025,2.215074511812193,1.6588649001070819,2.5021340941187034,0.05,tsm
5,11.163879177245555,3.3412391679204223,2.557890932790531,3.873879935860601,0.05,tsm
20,36.96733118866572,6.080076577533026,4.772363346156954,7.2090412543240445,0.05,tsm
30,45.10417175632798,6.715963948408894,5.239028959870077,7.810795625042316,0.05,tsm
1,4.882304876251236,2.209593826080087,1.6540102541935706,2.495280476346902,0.1,tsm
5,11.180259516191935,3.3436895065469123,2.559687722454983,3.8762571477335923,0.1,tsm
20,36.930654695061364,6.0770597080382025,4.773363682405679,7.210020024525608,0.1,tsm
30,45.10703758339732,6.7161773043448845,5.240505118850323,7.813332858075708,0.1,tsm
1,4.847817129418911,2.201775903542164,1.6473750092271857,2.4859721274468503,0.2,tsm
5,11.227450064746474,3.3507387341818333,2.5646328309522146,3.8830876051782086,0.2,tsm
20,36.870268266835005,6.072089283503249,4.775683165832027,7.212424705062332,0.2,tsm
30,45.127675700829926,6.7177135768674985,5.243457436810814,7.81840732414249,0.2,tsm
1,4.832012963318589,2.198184014890152,1.644950175178044,2.482750591917495,0.3,tsm
5,11.293880446196164,3.3606369107947622,2.5739111161846453,3.8964280584327167,0.3,tsm
20,36.82717058995852,6.068539411584844,4.7791388517718385,7.216633303281189,0.3,tsm
30,45.168189104987476,6.720728316558219,5.2467359306016625,7.823952629785816,0.3,tsm
