horizon,mse,rmse,mae,mape,noise_level,model
1,4.017298899185016,2.0043200590686645,1.426201382383199,2.1324044173571437,0.05,tsm
5,10.383366972852034,3.2223232260051184,2.506045149243278,3.7839425680300227,0.05,tsm
20,36.97262708875423,6.080512074550484,4.734915887947205,7.0863317161927935,0.05,tsm
30,50.70194209261916,7.120529621637647,5.646530604526871,8.37425903596902,0.05,tsm
1,4.005620581058654,2.0014046520028512,1.4240362635440622,2.1289698056119537,0.1,tsm
5,10.39329555497558,3.2238634516641023,2.508800058867928,3.7878288613144337,0.1,tsm
20,36.93203940327123,6.0771736360969015,4.7332335977263815,7.083537300237746,0.1,tsm
30,50.70919620274813,7.121038983375118,5.6483305609307415,8.377092301070167,0.1,tsm
1,3.991709966429497,1.997926416670418,1.4220368735625013,2.125377870772076,0.2,tsm
5,10.42349706185037,3.2285441087044746,2.515741826361397,3.797657467431336,0.2,tsm
20,36.859632105886,6.0712133965037,4.730547658667638,7.078989404470444,0.2,tsm
30,50.7322422203467,7.1226569635457455,5.6527065703100465,8.383874563475132,0.2,tsm
1,3.9903940444200776,1.9975970675839705,1.422489469544033,2.125537384923316,0.3,tsm
5,10.467491027700673,3.2353502171636186,2.5241693396832607,3.809630437545945,0.3,tsm
20,36.79891557260991,6.0662109733020255,4.729738364683941,7.077200751424508,0.3,tsm
30,50.76667198062515,7.125073471945756,5.657196980663214,8.390817165161366,0.3,tsm
1,8.056889975913608,2.8384661308378525,1.9929055231124426,3.3234169672939338,0.05,TSM+LLM
5,17.73411926767181,4.211189768660611,3.3217232984375222,5.757348573611423,0.05,TSM+LLM
20,72.20464323166765,8.497331535939248,7.324887466841339,12.569582915694982,0.05,TSM+LLM
30,91.83798056093922,9.58321347779226,8.299962674056811,13.636525406688484,0.05,TSM+LLM
1,8.00289898199674,2.828939550785195,1.9842114521086733,3.3097635262116976,0.1,TSM+LLM
5,17.737148279469796,4.211549391787991,3.3188467891357862,5.751882001075495,0.1,TSM+LLM
20,71.96159569522051,8.483018077030161,7.313775330411192,12.550248056698852,0.1,TSM+LLM
30,91.81128592321828,9.58182059544105,8.292926050017918,13.628237501359921,0.1,TSM+LLM
1,7.904911419164446,2.811567431018585,1.9678982877455282,3.2841813624413687,0.2,TSM+LLM
5,17.750986383726726,4.213191947173393,3.3133183635495755,5.741316498853043,0.2,TSM+LLM
20,71.48716447352355,8.455008247986726,7.291551057550903,12.511578338706581,0.2,TSM+LLM
30,91.7856027239406,9.580480297142758,8.278852801940134,13.611661690702784,0.2,TSM+LLM
1,7.820249756334068,2.796470946806719,1.9562476009908514,3.2660736828474692,0.3,TSM+LLM
5,17.77519792886495,4.216064270011185,3.3112212503599068,5.73634613489382,0.3,TSM+LLM
20,71.02828505342292,8.427828015178223,7.269326784690611,12.472908620714318,0.3,TSM+LLM
30,91.7968609595484,9.581067840253946,8.26477955386235,13.595085880045655,0.3,TSM+LLM
