horizon,mse,rmse,mae,mape,noise_level,model
1,4.017297974165935,2.0043198283123216,1.426201602637471,2.132404839916674,0.05,tsm
5,10.383372686381161,3.2223241125593125,2.5060466242596418,3.783944697180402,0.05,tsm
20,36.97256512939877,6.080506979635725,4.734908611781395,7.086320702026332,0.05,tsm
30,50.70140735427599,7.120492072481788,5.646510217074808,8.374229198008319,0.05,tsm
1,4.0056199383345605,2.0014044914345925,1.4240363676145444,2.1289701220861383,0.1,tsm
5,10.393300317592733,3.223864190314588,2.5088016284439103,3.787831086445693,0.1,tsm
20,36.93197904841245,6.077168670393513,4.733226432419025,7.083526447592398,0.1,tsm
30,50.70866526453671,7.121001703730783,5.648302897404933,8.377051999695677,0.1,tsm
1,3.9917091628849497,1.997926215575778,1.422036280001666,2.1253774762136013,0.2,tsm
5,10.423499830081436,3.2285445374164246,2.5157445486331413,3.7976612512129484,0.2,tsm
20,36.85957445963689,6.071208648995428,4.7305382875617905,7.078975211043249,0.2,tsm
30,50.731718717378484,7.12262021431569,5.652681261866626,8.383837646451083,0.2,tsm
1,3.9903921151465647,1.9975965846853474,1.422488496075401,2.125536714631707,0.3,tsm
5,10.467491684625374,3.235350318686583,2.524172376297633,3.809634591615818,0.3,tsm
20,36.79885996787625,6.066206390148315,4.729738719996767,7.0772004555918695,0.3,tsm
30,50.766155675565244,7.125037240293222,5.657172891389102,8.390781990195075,0.3,tsm
1,17.09371528014492,4.134454653294061,3.0359383060048457,4.871746437885333,0.05,TSM+LLM-DELTA
5,17.206454523903613,4.148066359631149,3.2813859778577283,5.374069224138368,0.05,TSM+LLM-DELTA
20,36.60322240274454,6.050059702411584,4.941825182121655,8.048028281587596,0.05,TSM+LLM-DELTA
30,60.94625681052402,7.806808362610422,6.484997064573391,10.177083368333983,0.05,TSM+LLM-DELTA
1,17.046492950110416,4.128739874357601,3.0300516989847885,4.862928812757768,0.1,TSM+LLM-DELTA
5,17.192215379900276,4.146349645157807,3.279409800964175,5.371519447243983,0.1,TSM+LLM-DELTA
20,36.48149528653781,6.039991331660817,4.933371303332327,8.033887087160624,0.1,TSM+LLM-DELTA
30,60.923331354119476,7.805339925597058,6.484586456722467,10.177632499125671,0.1,TSM+LLM-DELTA
1,16.95789138313064,4.117996039717697,3.018695392537654,4.846024851008784,0.2,TSM+LLM-DELTA
5,17.17213937560438,4.14392801284052,3.276142134803148,5.36746761746756,0.2,TSM+LLM-DELTA
20,36.24616314797877,6.020478647747102,4.916463545753677,8.005604698306689,0.2,TSM+LLM-DELTA
30,60.88818058243702,7.803087887653004,6.483765241020617,10.178730760709044,0.2,TSM+LLM-DELTA
1,16.877080606936524,4.108172416894954,3.008742757620779,4.831604727649746,0.3,TSM+LLM-DELTA
5,17.16326641625619,4.142857276838799,3.2728744686421196,5.363415787691135,0.3,TSM+LLM-DELTA
20,36.02166046789219,6.001804767558854,4.899689888646053,7.977516208351998,0.3,TSM+LLM-DELTA
30,60.8672966655901,7.801749590033642,6.482944025318767,10.17982902229242,0.3,TSM+LLM-DELTA
