horizon,mse,rmse,mae,mape,noise_level,model
1,0.10602721421590076,0.32561820313965983,0.25229447800414273,0.35459889744647555,0.05,tsm
5,1.8848074701850537,1.3728829047610192,1.050317304741369,1.4739596432969844,0.05,tsm
20,19.230709721910547,4.385283311476072,3.3871670925471578,4.729897270114968,0.05,tsm
30,40.71801569983313,6.381066971896873,5.016407980226615,6.9841067170420175,0.05,tsm
1,0.12818488240623238,0.35802916418391445,0.2777598677084884,0.39099481090710314,0.1,tsm
5,1.8951635158454139,1.376649380142022,1.0564920104719688,1.4829694130067848,0.1,tsm
20,19.24164759887182,4.386530245977089,3.390373046807352,4.7341795519698096,0.1,tsm
30,40.683004120602035,6.378322986538236,5.011884496027526,6.978046715703668,0.1,tsm
1,0.21326780101859985,0.46180926909125575,0.35460947379480356,0.5003962765822327,0.2,tsm
5,1.9628373343959056,1.4010129672475933,1.0826779027639701,1.5205458002156242,0.2,tsm
20,19.300651135936583,4.393250634318123,3.3990422691860473,4.746128359941627,0.2,tsm
30,40.64882304546293,6.375642951535393,5.005896788921197,6.970323552730627,0.2,tsm
1,0.35270750841355125,0.5938918322502434,0.45259047323215146,0.6392374386620009,0.3,tsm
5,2.093126799643733,1.4467642515778902,1.1207791029131775,1.5746586746040663,0.3,tsm
20,19.40915837777598,4.4055826377195535,3.411933505772088,4.764001794619232,0.3,tsm
30,40.66243139608528,6.376710076213696,5.003131253749038,6.9667750467658465,0.3,tsm
1,46.12174601128001,6.791299287417689,5.422006517716784,8.264508844826226,0.05,TSM+LLM-COT-RF
5,46.56770981279309,6.824053766845122,5.353492328127709,8.172457794013496,0.05,TSM+LLM-COT-RF
20,64.83756602086797,8.052177719155729,6.013415346524126,9.120284479344525,0.05,TSM+LLM-COT-RF
30,107.27896406814853,10.357555892591096,8.367221340066289,12.591936853109157,0.05,TSM+LLM-COT-RF
1,46.23837237724898,6.799880320803373,5.432712597506326,8.280209345940095,0.1,TSM+LLM-COT-RF
5,46.61575355391421,6.827573035414137,5.35618483478325,8.175951932432103,0.1,TSM+LLM-COT-RF
20,65.21850943483041,8.075797758415598,6.0471311294496175,9.170667001899679,0.1,TSM+LLM-COT-RF
30,107.16085196948688,10.351852586348343,8.36044202858228,12.583963929478333,0.1,TSM+LLM-COT-RF
1,46.58054849695445,6.824994395378977,5.461948243542893,8.323190858115728,0.2,TSM+LLM-COT-RF
5,46.867239947304476,6.845965231236898,5.377397149233068,8.206842233212827,0.2,TSM+LLM-COT-RF
20,66.09997048809316,8.130188834713076,6.114562695300601,9.271432047009982,0.2,TSM+LLM-COT-RF
30,107.09509954221659,10.348676221730805,8.346883405614273,12.568018082216692,0.2,TSM+LLM-COT-RF
1,47.06795580035003,6.860608996317311,5.510972173816538,8.39586041517051,0.3,TSM+LLM-COT-RF
5,47.3259248888921,6.879384048655235,5.410295764285393,8.255661205173979,0.3,TSM+LLM-COT-RF
20,67.14086384180638,8.19395288257178,6.194241967734545,9.390299911083957,0.3,TSM+LLM-COT-RF
30,107.25664280835028,10.356478301447373,8.337612948005976,12.558440167228463,0.3,TSM+LLM-COT-RF
