horizon,mean_return,volatility,sharpe,hit_rate,trade_rate,n_trades,model
1,0.0,0.0,,,0.0,0,naive_persistence
5,0.0,0.0,,,0.0,0,naive_persistence
20,0.0,0.0,,,0.0,0,naive_persistence
30,0.0,0.0,,,0.0,0,naive_persistence
1,0.00023594207973005432,0.016858655151683027,0.013995308499236954,0.5365168539325843,0.9916434540389972,356,seasonal_naive
5,-0.0018096039938146357,0.03650485560895888,-0.049571597082842034,0.5,0.9972144846796658,358,seasonal_naive
20,0.005018160420970623,0.0705872259599158,0.0710916224958362,0.5558659217877095,0.9972144846796658,358,seasonal_naive
30,0.009504456984263152,0.08428157046648518,0.11277028811467896,0.553072625698324,0.9972144846796658,358,seasonal_naive
1,0.0007849431039832278,0.01688506809444712,0.046487411219938574,0.4958217270194986,1.0,359,linear_ridge
5,0.0009686913325718518,0.036600667743254066,0.026466493435775992,0.5376044568245125,1.0,359,linear_ridge
20,0.009563460691201613,0.07014818891319244,0.1363322537526419,0.6128133704735376,1.0,359,linear_ridge
30,0.030711269870654662,0.07919569441899152,0.3877896405349272,0.6908077994428969,1.0,359,linear_ridge
1,-0.0005259968864995451,0.01689511726819319,-0.031133071061293476,0.5125348189415042,1.0,359,linear_lasso
5,-0.0021588253985810246,0.036549784062950626,-0.05906533934271197,0.4735376044568245,1.0,359,linear_lasso
20,-0.0005332085279317204,0.07079508370542996,-0.00753171689365237,0.3983286908077994,1.0,359,linear_lasso
30,0.005281618270312221,0.08477761862674116,0.062299677153779535,0.467966573816156,1.0,359,linear_lasso
1,0.013317809568325376,0.010409496074855301,1.2793904212611467,0.9415041782729805,1.0,359,tsm
5,0.024180805368976755,0.02749246976642046,0.8795428557135816,0.8272980501392758,1.0,359,tsm
20,0.028367387995378097,0.06486539513880087,0.4373269897558896,0.6880222841225627,1.0,359,tsm
30,0.012459281752207693,0.08402324922182888,0.14828374131681193,0.5821727019498607,1.0,359,tsm
1,0.0,0.0,,,0.0,0,naive_persistence_llm_subset
5,0.0,0.0,,,0.0,0,naive_persistence_llm_subset
20,0.0,0.0,,,0.0,0,naive_persistence_llm_subset
30,0.0,0.0,,,0.0,0,naive_persistence_llm_subset
1,-0.0008925283417637628,0.018673203730778035,-0.04779727970796229,0.5,1.0,144,seasonal_naive_llm_subset
5,0.0009835919045144692,0.03984662624969124,0.024684446265311875,0.5,1.0,144,seasonal_naive_llm_subset
20,0.013767981183870385,0.07309842578642702,0.1883485319382464,0.6041666666666666,1.0,144,seasonal_naive_llm_subset
30,0.01667539707139238,0.08223605717556029,0.20277476382158235,0.5763888888888888,1.0,144,seasonal_naive_llm_subset
1,0.0022025126495969338,0.01856432283818507,0.11864222944165632,0.5625,1.0,144,linear_ridge_llm_subset
5,0.002159907422739909,0.03980019945229424,0.05426875876159469,0.5277777777777778,1.0,144,linear_ridge_llm_subset
20,0.0005053931963630021,0.07438199873659121,0.006794563267286616,0.4791666666666667,1.0,144,linear_ridge_llm_subset
30,0.013415078855662918,0.08283039071842514,0.16195841573736305,0.5416666666666666,1.0,144,linear_ridge_llm_subset
1,-0.0011912039813574261,0.018656531764687467,-0.0638491653423013,0.5,1.0,144,linear_lasso_llm_subset
5,-0.008584270808367163,0.03892340390055609,-0.2205426542421312,0.4027777777777778,1.0,144,linear_lasso_llm_subset
20,-0.01018136818634553,0.07368362708354725,-0.1381768052053306,0.3819444444444444,1.0,144,linear_lasso_llm_subset
30,0.0004057344016877727,0.08390872032670925,0.004835425926030028,0.4722222222222222,1.0,144,linear_lasso_llm_subset
1,0.014998953456294354,0.011158697936045672,1.34414907028208,0.9027777777777778,1.0,144,tsm_llm_subset
5,0.025124976096170332,0.030942796458692592,0.8119814293356187,0.7847222222222222,1.0,144,tsm_llm_subset
20,0.022383712995279994,0.07093593272015333,0.3155483002329036,0.6041666666666666,1.0,144,tsm_llm_subset
30,0.005058505950728431,0.08375708617673532,0.060394960971475405,0.5138888888888888,1.0,144,tsm_llm_subset
