horizon,mean_return,volatility,sharpe,hit_rate,trade_rate,n_trades,model
1,0.0,0.0,,,0.0,0,naive_persistence
5,0.0,0.0,,,0.0,0,naive_persistence
20,0.0,0.0,,,0.0,0,naive_persistence
30,0.0,0.0,,,0.0,0,naive_persistence
1,0.00023594207973005432,0.016858655151683027,0.013995308499236954,0.5365168539325843,0.9916434540389972,356,seasonal_naive
5,-0.0018096039938146357,0.03650485560895888,-0.049571597082842034,0.5,0.9972144846796658,358,seasonal_naive
20,0.005018160420970623,0.0705872259599158,0.0710916224958362,0.5558659217877095,0.9972144846796658,358,seasonal_naive
30,0.009504456984263152,0.08428157046648518,0.11277028811467896,0.553072625698324,0.9972144846796658,358,seasonal_naive
1,0.0007849431039832278,0.01688506809444712,0.046487411219938574,0.4958217270194986,1.0,359,linear_ridge
5,0.0009686913325718518,0.036600667743254066,0.026466493435775992,0.5376044568245125,1.0,359,linear_ridge
20,0.009563460691201613,0.07014818891319244,0.1363322537526419,0.6128133704735376,1.0,359,linear_ridge
30,0.030711269870654662,0.07919569441899152,0.3877896405349272,0.6908077994428969,1.0,359,linear_ridge
1,-0.0005259968864995451,0.01689511726819319,-0.031133071061293476,0.5125348189415042,1.0,359,linear_lasso
5,-0.0021588253985810246,0.036549784062950626,-0.05906533934271197,0.4735376044568245,1.0,359,linear_lasso
20,-0.0005332085279317204,0.07079508370542996,-0.00753171689365237,0.3983286908077994,1.0,359,linear_lasso
30,0.005281618270312221,0.08477761862674116,0.062299677153779535,0.467966573816156,1.0,359,linear_lasso
1,0.013317809568325376,0.010409496074855301,1.2793904212611467,0.9415041782729805,1.0,359,tsm
5,0.024180805368976755,0.02749246976642046,0.8795428557135816,0.8272980501392758,1.0,359,tsm
20,0.028367387995378097,0.06486539513880087,0.4373269897558896,0.6880222841225627,1.0,359,tsm
30,0.012459281752207693,0.08402324922182888,0.14828374131681193,0.5821727019498607,1.0,359,tsm
1,0.01224538700771518,0.013578369886349147,0.9018304192777908,0.88,1.0,25,TSM+LLM-COT-SENT-RF
5,0.023936827126890423,0.022276318082505523,1.074541449724089,0.88,1.0,25,TSM+LLM-COT-SENT-RF
20,0.03504484890028834,0.04100173919891281,0.8547161555824339,0.84,1.0,25,TSM+LLM-COT-SENT-RF
30,0.008804417029023171,0.048529104008621884,0.18142550143639458,0.56,1.0,25,TSM+LLM-COT-SENT-RF
1,0.0,0.0,,,0.0,0,naive_persistence_llm_subset
5,0.0,0.0,,,0.0,0,naive_persistence_llm_subset
20,0.0,0.0,,,0.0,0,naive_persistence_llm_subset
30,0.0,0.0,,,0.0,0,naive_persistence_llm_subset
1,0.002027565072057769,0.01817169809395381,0.111578183919553,0.56,1.0,25,seasonal_naive_llm_subset
5,-0.0029922289215028285,0.03256152033147288,-0.09189463179367088,0.48,1.0,25,seasonal_naive_llm_subset
20,-0.003595779929310083,0.05381778905231684,-0.06681396602551969,0.56,1.0,25,seasonal_naive_llm_subset
30,0.012751436606049538,0.04764443891560161,0.26763745982270265,0.6,1.0,25,seasonal_naive_llm_subset
1,0.002086500843288377,0.018165025350111406,0.11486363509399564,0.52,1.0,25,linear_ridge_llm_subset
5,0.0018529036454856395,0.03264617570705864,0.056757142463244516,0.52,1.0,25,linear_ridge_llm_subset
20,0.03704556683078408,0.03920344410846596,0.9449569463409495,0.84,1.0,25,linear_ridge_llm_subset
30,0.02263663522899151,0.043819795077227074,0.5165846893874603,0.72,1.0,25,linear_ridge_llm_subset
1,-0.0017883933160919695,0.018196793153910134,-0.09828068610581964,0.52,1.0,25,linear_lasso_llm_subset
5,-0.0018529036454856395,0.03264617570705864,-0.056757142463244516,0.48,1.0,25,linear_lasso_llm_subset
20,0.006108766924589872,0.05359073631179871,0.11398923293474036,0.44,1.0,25,linear_lasso_llm_subset
30,0.023334021642804147,0.04345244675589329,0.5370013286913341,0.6,1.0,25,linear_lasso_llm_subset
1,0.014313707222463563,0.011377144513841227,1.2581106977282188,0.92,1.0,25,tsm_llm_subset
5,0.024593464899808168,0.021549188486750564,1.1412710466999425,0.84,1.0,25,tsm_llm_subset
20,0.03136863736435771,0.043878156771714166,0.7149032610362371,0.8,1.0,25,tsm_llm_subset
30,0.008804417029023171,0.048529104008621884,0.18142550143639458,0.56,1.0,25,tsm_llm_subset
