horizon,mean_return,volatility,sharpe,hit_rate,trade_rate,n_trades,model
1,0.0,0.0,,,0.0,0,naive_persistence
5,0.0,0.0,,,0.0,0,naive_persistence
20,0.0,0.0,,,0.0,0,naive_persistence
30,0.0,0.0,,,0.0,0,naive_persistence
1,0.00023594207973005432,0.016858655151683027,0.013995308499236954,0.5365168539325843,0.9916434540389972,356,seasonal_naive
5,-0.0018096039938146357,0.03650485560895888,-0.049571597082842034,0.5,0.9972144846796658,358,seasonal_naive
20,0.005018160420970623,0.0705872259599158,0.0710916224958362,0.5558659217877095,0.9972144846796658,358,seasonal_naive
30,0.009504456984263152,0.08428157046648518,0.11277028811467896,0.553072625698324,0.9972144846796658,358,seasonal_naive
1,0.0007849431039832278,0.01688506809444712,0.046487411219938574,0.4958217270194986,1.0,359,linear_ridge
5,0.0009686913325718518,0.036600667743254066,0.026466493435775992,0.5376044568245125,1.0,359,linear_ridge
20,0.009563460691201613,0.07014818891319244,0.1363322537526419,0.6128133704735376,1.0,359,linear_ridge
30,0.030711269870654662,0.07919569441899152,0.3877896405349272,0.6908077994428969,1.0,359,linear_ridge
1,-0.0005259968864995451,0.01689511726819319,-0.031133071061293476,0.5125348189415042,1.0,359,linear_lasso
5,-0.0021588253985810246,0.036549784062950626,-0.05906533934271197,0.4735376044568245,1.0,359,linear_lasso
20,-0.0005332085279317204,0.07079508370542996,-0.00753171689365237,0.3983286908077994,1.0,359,linear_lasso
30,0.005281618270312221,0.08477761862674116,0.062299677153779535,0.467966573816156,1.0,359,linear_lasso
1,0.013317809568325376,0.010409496074855301,1.2793904212611467,0.9415041782729805,1.0,359,tsm
5,0.024180805368976755,0.02749246976642046,0.8795428557135816,0.8272980501392758,1.0,359,tsm
20,0.028367387995378097,0.06486539513880087,0.4373269897558896,0.6880222841225627,1.0,359,tsm
30,0.012459281752207693,0.08402324922182888,0.14828374131681193,0.5821727019498607,1.0,359,tsm
1,0.010465730171999895,0.012674434455236196,0.8257354763214845,0.84,1.0,50,TSM+LLM-COT-SENT-RF
5,0.019027453456073998,0.02692685170640802,0.7066349108888161,0.74,1.0,50,TSM+LLM-COT-SENT-RF
20,0.021486899564042688,0.06961297674518806,0.3086622720170913,0.62,1.0,50,TSM+LLM-COT-SENT-RF
30,-0.006370643936097622,0.08318484355527253,-0.07658419086722955,0.5,1.0,50,TSM+LLM-COT-SENT-RF
1,0.0,0.0,,,0.0,0,naive_persistence_llm_subset
5,0.0,0.0,,,0.0,0,naive_persistence_llm_subset
20,0.0,0.0,,,0.0,0,naive_persistence_llm_subset
30,0.0,0.0,,,0.0,0,naive_persistence_llm_subset
1,-0.00015669416112359613,0.016436187019289394,-0.009533486138828973,0.52,1.0,50,seasonal_naive_llm_subset
5,-0.0029102967865765094,0.0328424953445379,-0.08861375349362809,0.52,1.0,50,seasonal_naive_llm_subset
20,0.014443727703765034,0.07140750740798085,0.2022718370666826,0.62,1.0,50,seasonal_naive_llm_subset
30,0.02406347166746855,0.07988274302241155,0.30123491954598264,0.66,1.0,50,seasonal_naive_llm_subset
1,0.00043310637294780463,0.01643122684594487,0.02635873614359434,0.5,1.0,50,linear_ridge_llm_subset
5,-0.0017319489642977715,0.03292566902322592,-0.05260178504121045,0.5,1.0,50,linear_ridge_llm_subset
20,-0.016441396595910193,0.07097417743219954,-0.23165321798363056,0.46,1.0,50,linear_ridge_llm_subset
30,-0.01996835049241781,0.08100350782581986,-0.2465121700081845,0.46,1.0,50,linear_ridge_llm_subset
1,0.00025698822515551,0.016434924820190655,0.01563671437302801,0.52,1.0,50,linear_lasso_llm_subset
5,0.005274500288069248,0.032546566248271236,0.16206011558437172,0.58,1.0,50,linear_lasso_llm_subset
20,0.0347886396292597,0.0640109673176937,0.5434793612257057,0.64,1.0,50,linear_lasso_llm_subset
30,0.056725008301436904,0.06117660283701293,0.927233708163953,0.74,1.0,50,linear_lasso_llm_subset
1,0.012807336323312483,0.01030266630997763,1.2431089135546594,0.92,1.0,50,tsm_llm_subset
5,0.02125081969425082,0.02520916480497504,0.8429799185594979,0.74,1.0,50,tsm_llm_subset
20,0.018582986118271947,0.07044377908040896,0.26379882455000264,0.62,1.0,50,tsm_llm_subset
30,-0.007489182390272618,0.08309160877369587,-0.0901316330349287,0.48,1.0,50,tsm_llm_subset
