horizon,mean_return,volatility,sharpe,hit_rate,trade_rate,n_trades,model
1,0.0,0.0,,,0.0,0,naive_persistence
5,0.0,0.0,,,0.0,0,naive_persistence
20,0.0,0.0,,,0.0,0,naive_persistence
30,0.0,0.0,,,0.0,0,naive_persistence
1,0.00023594207973005432,0.016858655151683027,0.013995308499236954,0.5365168539325843,0.9916434540389972,356,seasonal_naive
5,-0.0018096039938146357,0.03650485560895888,-0.049571597082842034,0.5,0.9972144846796658,358,seasonal_naive
20,0.005018160420970623,0.0705872259599158,0.0710916224958362,0.5558659217877095,0.9972144846796658,358,seasonal_naive
30,0.009504456984263152,0.08428157046648518,0.11277028811467896,0.553072625698324,0.9972144846796658,358,seasonal_naive
1,0.0007849431039832278,0.01688506809444712,0.046487411219938574,0.4958217270194986,1.0,359,linear_ridge
5,0.0009686913325718518,0.036600667743254066,0.026466493435775992,0.5376044568245125,1.0,359,linear_ridge
20,0.009563460691201613,0.07014818891319244,0.1363322537526419,0.6128133704735376,1.0,359,linear_ridge
30,0.030711269870654662,0.07919569441899152,0.3877896405349272,0.6908077994428969,1.0,359,linear_ridge
1,-0.0005259968864995451,0.01689511726819319,-0.031133071061293476,0.5125348189415042,1.0,359,linear_lasso
5,-0.0021588253985810246,0.036549784062950626,-0.05906533934271197,0.4735376044568245,1.0,359,linear_lasso
20,-0.0005332085279317204,0.07079508370542996,-0.00753171689365237,0.3983286908077994,1.0,359,linear_lasso
30,0.005281618270312221,0.08477761862674116,0.062299677153779535,0.467966573816156,1.0,359,linear_lasso
1,0.013317809568325376,0.010409496074855301,1.2793904212611467,0.9415041782729805,1.0,359,tsm
5,0.024180805368976755,0.02749246976642046,0.8795428557135816,0.8272980501392758,1.0,359,tsm
20,0.028367387995378097,0.06486539513880087,0.4373269897558896,0.6880222841225627,1.0,359,tsm
30,0.012459281752207693,0.08402324922182888,0.14828374131681193,0.5821727019498607,1.0,359,tsm
1,0.014223850722482894,0.010891786093002872,1.3059245380902784,0.93,1.0,100,TSM+LLM-COT-SENT-RF-DELTA
5,0.028053512887563557,0.026047996550754966,1.076993112806231,0.82,1.0,100,TSM+LLM-COT-SENT-RF-DELTA
20,0.02036217601504177,0.05830813552001782,0.3492167230771976,0.68,1.0,100,TSM+LLM-COT-SENT-RF-DELTA
30,0.003890968975611031,0.07105703008936012,0.05475839576629946,0.54,1.0,100,TSM+LLM-COT-SENT-RF-DELTA
1,0.0,0.0,,,0.0,0,naive_persistence_llm_subset
5,0.0,0.0,,,0.0,0,naive_persistence_llm_subset
20,0.0,0.0,,,0.0,0,naive_persistence_llm_subset
30,0.0,0.0,,,0.0,0,naive_persistence_llm_subset
1,0.00014288092002971099,0.01791447790793523,0.007975723365425113,0.5,1.0,100,seasonal_naive_llm_subset
5,-0.00492338644573465,0.03796390358678614,-0.12968599065371936,0.48,1.0,100,seasonal_naive_llm_subset
20,0.010007480042986572,0.06094511648259876,0.16420478982666215,0.58,1.0,100,seasonal_naive_llm_subset
30,0.009521018001250922,0.070523693755427,0.1350045281840935,0.55,1.0,100,seasonal_naive_llm_subset
1,0.0019514538024668583,0.017808446359187134,0.10958023867478647,0.52,1.0,100,linear_ridge_llm_subset
5,0.0001172964577563107,0.03828163987059377,0.003064039527899445,0.48,1.0,100,linear_ridge_llm_subset
20,0.0029572989093139767,0.061690447097174424,0.047937712376369346,0.6,1.0,100,linear_ridge_llm_subset
30,0.006899743811227381,0.07082820554008712,0.09741520004092559,0.64,1.0,100,linear_ridge_llm_subset
1,-9.603619953850284e-05,0.01791479027841482,-0.005360721395338631,0.56,1.0,100,linear_lasso_llm_subset
5,0.0005259309406392276,0.03827820667542454,0.013739696457015239,0.53,1.0,100,linear_lasso_llm_subset
20,0.011486381399445236,0.06068376984198316,0.18928259449528387,0.47,1.0,100,linear_lasso_llm_subset
30,0.03340092196594924,0.06283804243063248,0.5315398232340041,0.63,1.0,100,linear_lasso_llm_subset
1,0.014223850722482894,0.010891786093002872,1.3059245380902784,0.93,1.0,100,tsm_llm_subset
5,0.028053512887563557,0.026047996550754966,1.076993112806231,0.82,1.0,100,tsm_llm_subset
20,0.02036217601504177,0.05830813552001782,0.3492167230771976,0.68,1.0,100,tsm_llm_subset
30,0.003890968975611031,0.07105703008936012,0.05475839576629946,0.54,1.0,100,tsm_llm_subset
