horizon,accuracy,accuracy_up,accuracy_down,accuracy_flat,n_up,n_down,n_flat,model,subset,n_samples
1,0.29526462395543174,0.0,0.0,1.0,124,129,106,naive_persistence,full,359
5,0.14206128133704735,0.0,0.0,1.0,162,146,51,naive_persistence,full,359
20,0.09192200557103064,0.0,0.0,1.0,212,114,33,naive_persistence,full,359
30,0.0584958217270195,0.0,0.0,1.0,224,114,21,naive_persistence,full,359
1,0.34540389972144847,0.4274193548387097,0.4418604651162791,0.1320754716981132,124,129,106,seasonal_naive,full,359
5,0.14206128133704735,0.0,0.0,1.0,162,146,51,seasonal_naive,full,359
20,0.09192200557103064,0.0,0.0,1.0,212,114,33,seasonal_naive,full,359
30,0.0584958217270195,0.0,0.0,1.0,224,114,21,seasonal_naive,full,359
1,0.29526462395543174,0.008064516129032258,0.0,0.9905660377358491,124,129,106,linear_ridge,full,359
5,0.2562674094707521,0.29012345679012347,0.06164383561643835,0.7058823529411765,162,146,51,linear_ridge,full,359
20,0.5264623955431755,0.8537735849056604,0.06140350877192982,0.030303030303030304,212,114,33,linear_ridge,full,359
30,0.5710306406685237,0.8392857142857143,0.10526315789473684,0.23809523809523808,224,114,21,linear_ridge,full,359
1,0.3593314763231198,0.0,1.0,0.0,124,129,106,linear_lasso,full,359
5,0.40947075208913647,0.0,1.0,0.0196078431372549,162,146,51,linear_lasso,full,359
20,0.28969359331476324,0.09905660377358491,0.6578947368421053,0.24242424242424243,212,114,33,linear_lasso,full,359
30,0.36768802228412256,0.25892857142857145,0.5701754385964912,0.42857142857142855,224,114,21,linear_lasso,full,359
1,0.8328690807799443,0.8629032258064516,0.8294573643410853,0.8018867924528302,124,129,106,tsm,full,359
5,0.7520891364902507,0.8024691358024691,0.773972602739726,0.5294117647058824,162,146,51,tsm,full,359
20,0.5793871866295265,0.6792452830188679,0.49122807017543857,0.24242424242424243,212,114,33,tsm,full,359
30,0.5153203342618384,0.6339285714285714,0.3508771929824561,0.14285714285714285,224,114,21,tsm,full,359
1,0.8,0.875,0.7073170731707317,0.8518518518518519,32,41,27,TSM+LLM-COT-SENT-RF,llm_subset,100
5,0.73,0.813953488372093,0.7446808510638298,0.3,43,47,10,TSM+LLM-COT-SENT-RF,llm_subset,100
20,0.56,0.6415094339622641,0.5142857142857142,0.3333333333333333,53,35,12,TSM+LLM-COT-SENT-RF,llm_subset,100
30,0.47,0.6181818181818182,0.32432432432432434,0.125,55,37,8,TSM+LLM-COT-SENT-RF,llm_subset,100
1,0.27,0.0,0.0,1.0,32,41,27,naive_persistence_llm_subset,llm_subset,100
5,0.1,0.0,0.0,1.0,43,47,10,naive_persistence_llm_subset,llm_subset,100
20,0.12,0.0,0.0,1.0,53,35,12,naive_persistence_llm_subset,llm_subset,100
30,0.08,0.0,0.0,1.0,55,37,8,naive_persistence_llm_subset,llm_subset,100
1,0.31,0.40625,0.36585365853658536,0.1111111111111111,32,41,27,seasonal_naive_llm_subset,llm_subset,100
5,0.1,0.0,0.0,1.0,43,47,10,seasonal_naive_llm_subset,llm_subset,100
20,0.12,0.0,0.0,1.0,53,35,12,seasonal_naive_llm_subset,llm_subset,100
30,0.08,0.0,0.0,1.0,55,37,8,seasonal_naive_llm_subset,llm_subset,100
1,0.27,0.0,0.0,1.0,32,41,27,linear_ridge_llm_subset,llm_subset,100
5,0.26,0.4186046511627907,0.02127659574468085,0.7,43,47,10,linear_ridge_llm_subset,llm_subset,100
20,0.51,0.9622641509433962,0.0,0.0,53,35,12,linear_ridge_llm_subset,llm_subset,100
30,0.54,0.9454545454545454,0.0,0.25,55,37,8,linear_ridge_llm_subset,llm_subset,100
1,0.41,0.0,1.0,0.0,32,41,27,linear_lasso_llm_subset,llm_subset,100
5,0.47,0.0,1.0,0.0,43,47,10,linear_lasso_llm_subset,llm_subset,100
20,0.3,0.1320754716981132,0.6,0.16666666666666666,53,35,12,linear_lasso_llm_subset,llm_subset,100
30,0.47,0.4909090909090909,0.4864864864864865,0.25,55,37,8,linear_lasso_llm_subset,llm_subset,100
1,0.8,0.875,0.7073170731707317,0.8518518518518519,32,41,27,tsm_llm_subset,llm_subset,100
5,0.73,0.813953488372093,0.7446808510638298,0.3,43,47,10,tsm_llm_subset,llm_subset,100
20,0.56,0.6415094339622641,0.5142857142857142,0.3333333333333333,53,35,12,tsm_llm_subset,llm_subset,100
30,0.47,0.6181818181818182,0.32432432432432434,0.125,55,37,8,tsm_llm_subset,llm_subset,100
