w,horizon,mse
0.0,1,0.08480400092244963
0.25,1,0.26096303060669707
0.5,1,0.8452944075318553
0.75,1,1.837798131697927
1.0,1,3.2384742031049107
0.0,2,0.3135076109597867
0.25,2,0.41383792988133516
0.5,2,0.8084165245278525
0.75,2,1.4972433948993378
1.0,2,2.4803185409957904
0.0,3,0.6572287498012883
0.25,3,0.7165087003603962
0.5,3,1.0242758174700584
0.75,3,1.5805301011302735
1.0,3,2.3852715513410425
0.0,4,1.072323682703427
0.25,4,1.0884421947975047
0.5,4,1.3195455670412115
0.75,4,1.765633799434547
1.0,4,2.426706891977511
0.0,5,1.5361556013388327
0.25,5,1.5437350377755448
0.5,5,1.7670727903086307
0.75,5,2.206168858938094
1.0,5,2.8610232436639262
0.0,6,2.0429593119797937
0.25,6,2.023270462929127
0.5,6,2.2418132706328127
0.75,6,2.698587735090845
1.0,6,3.393593856303231
0.0,7,2.5816705575840024
0.25,7,2.528288458015421
0.5,7,2.7238344422488616
0.75,7,3.168308510284327
1.0,7,3.8617106621218085
0.0,8,3.1746928293189556
0.25,8,3.0966805481767987
0.5,8,3.2752770103159192
0.75,8,3.7104822157363073
1.0,8,4.402296164437968
0.0,9,3.8192858633607103
0.25,9,3.726258094716041
0.5,9,3.8937436206400586
0.75,9,4.321742441132775
1.0,9,5.010254556194173
0.0,10,4.551375307898124
0.25,10,4.4376045568574485
0.5,10,4.59275873005473
0.75,10,5.016837827489965
1.0,10,5.709841849163158
0.0,11,5.342492336040014
0.25,11,5.1964086610538285
0.5,11,5.334439959226684
0.75,11,5.75658623055858
1.0,11,6.46284747504952
0.0,12,6.227692807416315
0.25,12,6.052244426177333
0.5,12,6.173428344609665
0.75,12,6.5912445627133085
1.0,12,7.305693080488251
0.0,13,7.18636931809946
0.25,13,6.97334951381931
0.5,13,7.067902614194614
0.75,13,7.470028619225364
1.0,13,8.179727528911563
0.0,14,8.184566455087042
0.25,14,7.927783981624989
0.5,14,8.00197314622283
0.75,14,8.40713394888057
1.0,14,9.1432663895982
0.0,15,9.202825478505256
0.25,15,8.875246228305521
0.5,15,8.899407655295223
0.75,15,9.275309759474359
1.0,15,10.00295254084293
0.0,16,10.217481067596818
0.25,16,9.863579814957841
0.5,16,9.875666287555287
0.75,16,10.253740485389146
1.0,16,10.99780240845944
0.0,17,11.25755864801322
0.25,17,10.867251444746438
0.5,17,10.865399665906995
0.75,17,11.25200331149489
1.0,17,12.027062381510127
0.0,18,12.222967575088552
0.25,18,11.827317145726292
0.5,18,11.818531677755523
0.75,18,12.196611171176237
1.0,18,12.961555625988446
0.0,19,13.078453497160954
0.25,19,12.58734549935755
0.5,19,12.513231075810568
0.75,19,12.856110226519991
1.0,19,13.61598295148583
0.0,20,13.819216589550779
0.25,20,13.195114708872266
0.5,20,12.979454043247383
0.75,20,13.17223459267614
1.0,20,13.773456357158533
0.0,21,14.435861501495237
0.25,21,13.665421336343016
0.5,21,13.329110175545486
0.75,21,13.42692801910265
1.0,21,13.958874867014508
0.0,22,14.967630087278813
0.25,22,14.248260248894855
0.5,22,13.964446755731045
0.75,22,14.11618960778736
1.0,22,14.703488805063811
0.0,23,15.479092617288261
0.25,23,14.796138653381488
0.5,23,14.585171806449758
0.75,23,14.846192076493093
1.0,23,15.579199463511468
0.0,24,16.041293485841596
0.25,24,15.231355139897211
0.5,24,14.904669073213615
0.75,24,15.061235285790822
1.0,24,15.701053777628836
0.0,25,16.848383815153937
0.25,25,15.907586195346068
0.5,25,15.422209831066482
0.75,25,15.392254722315183
1.0,25,15.817720869092195
0.0,26,17.977701740637276
0.25,26,17.035130810330475
0.5,26,16.54968122913157
0.75,26,16.521352997040577
1.0,26,16.95014611405747
0.0,27,19.5350231800288
0.25,27,18.793799050199013
0.5,27,18.555379683253836
0.75,27,18.819765079193235
1.0,27,19.586955238017254
0.0,28,21.851658593498723
0.25,28,20.967934496907468
0.5,28,20.60910734338064
0.75,28,20.775177132918245
1.0,28,21.46614386552028
0.0,29,25.18513128608014
0.25,29,23.90990299815748
0.5,29,23.189430294914718
0.75,29,23.023713176351833
1.0,29,23.412751642468812
0.0,30,30.115734897064105
0.25,30,28.660256453531506
0.5,30,27.809075957539743
0.75,30,27.56219340908883
1.0,30,27.919608808178737
