horizon,mse,rmse,mae,mape,model
1,0.00028572167502716184,0.016903303563594818,0.013618689961731434,99.9997787475586,naive_persistence
5,0.0013405473437160254,0.03661348670721054,0.029002701863646507,99.9998550415039,naive_persistence
20,0.005012228153645992,0.07079709321260452,0.055424146354198456,99.99993133544922,naive_persistence
30,0.007215139921754599,0.08494198322296143,0.06904367357492447,99.99993896484375,naive_persistence
1,0.0013616771894115007,0.036900910414399,0.029359764845211397,553.859817252672,seasonal_naive
5,0.0013405472421498786,0.03661348443060123,0.02900270094918632,99.9998530250045,seasonal_naive
20,0.005012228188193088,0.0707970916647929,0.055424146247187105,99.99992581594358,seasonal_naive
30,0.007215140111574453,0.08494198085501922,0.06904367099043941,99.99993976474155,seasonal_naive
1,0.0002877573821874554,0.016963413046537992,0.013683132134246665,109.05475158803206,linear_ridge
5,0.0013730403823454518,0.037054559535169916,0.02934078494515419,143.6718116519212,linear_ridge
20,0.005158112481594522,0.07182000056804874,0.05501191504175072,253.63498860910752,linear_ridge
30,0.0068160030644915754,0.08255908832158683,0.065544643840278,139.81476793237078,linear_ridge
1,0.0010509458594433851,0.032418295134744285,0.028243472718581394,590.7460012028486,linear_lasso
5,0.0020199246977124787,0.04494357237372747,0.03729430652979533,423.9212013310649,linear_lasso
20,0.005435743339862079,0.07372749378530427,0.06171015925048623,189.47140359887263,linear_lasso
30,0.0071822127339804,0.08474793645853804,0.07057048145610245,163.8696437179981,linear_lasso
1,1.9117278498015366e-05,0.0043723308481276035,0.00341918901540339,63.87526321411133,tsm
5,0.0003677353379316628,0.019176427274942398,0.0146991778165102,164.32235717773438,tsm
20,0.0036645825020968914,0.060535795986652374,0.04699588194489479,160.8974151611328,tsm
30,0.007747169118374586,0.0880180075764656,0.06947097927331924,246.35231018066406,tsm
1,7.952447007744238e-05,0.008917649358291813,0.006212865169757148,82.80441667482813,TSM+LLM-COT-SENT-RF
5,0.00039020998483176847,0.01975373344033397,0.015003973757357394,115.86493356488543,TSM+LLM-COT-SENT-RF
20,0.004490867974091728,0.06701393865526581,0.05192970501103211,224.71291439619517,TSM+LLM-COT-SENT-RF
30,0.008174880450560352,0.09041504548779673,0.07463103976608654,208.08756747380227,TSM+LLM-COT-SENT-RF
1,1.8921940119707648e-05,0.004349935645467372,0.0034942137947713433,67.95286476348085,TSM+LLM-COT-SENT-RF_blend_ramp_bestval_path
5,0.00038262108619519576,0.019560702599732856,0.015227849444228374,119.47106011188357,TSM+LLM-COT-SENT-RF_blend_ramp_bestval_path
20,0.004397321367801314,0.06631230178331403,0.05132555273307442,197.62835775957308,TSM+LLM-COT-SENT-RF_blend_ramp_bestval_path
30,0.008157222753326821,0.09031734469816316,0.07430128702420703,205.27742532619243,TSM+LLM-COT-SENT-RF_blend_ramp_bestval_path
1,1.8921940119707648e-05,0.004349935645467372,0.0034942137947713433,67.95286476348085,TSM+LLM-COT-SENT-RF_blend_ramp_bestval_h1
5,0.0003898077353639996,0.019743549208893513,0.015396806339225102,120.57672803121227,TSM+LLM-COT-SENT-RF_blend_ramp_bestval_h1
20,0.0045075927380649776,0.0671386084013139,0.05177023214174801,194.76212327140578,TSM+LLM-COT-SENT-RF_blend_ramp_bestval_h1
30,0.008416615111558464,0.09174211198549151,0.0746079900998715,202.0489334811411,TSM+LLM-COT-SENT-RF_blend_ramp_bestval_h1
1,1.8921940119707648e-05,0.004349935645467372,0.0034942137947713433,67.95286476348085,TSM+LLM-COT-SENT-RF_blend_ramp_bestval_h5
5,0.0003805871137988,0.01950864202856775,0.015174805094502499,119.1097116596432,TSM+LLM-COT-SENT-RF_blend_ramp_bestval_h5
20,0.004402729720491911,0.06635306865919549,0.051488011901496655,205.96272246768223,TSM+LLM-COT-SENT-RF_blend_ramp_bestval_h5
30,0.00817488045056036,0.09041504548779677,0.07463103976608657,208.08756747380178,TSM+LLM-COT-SENT-RF_blend_ramp_bestval_h5
1,1.8921940119707648e-05,0.004349935645467372,0.0034942137947713433,67.95286476348085,TSM+LLM-COT-SENT-RF_blend_ramp_bestval_h20
5,0.0003805871137988,0.01950864202856775,0.015174805094502499,119.1097116596432,TSM+LLM-COT-SENT-RF_blend_ramp_bestval_h20
20,0.004402729720491911,0.06635306865919549,0.051488011901496655,205.96272246768223,TSM+LLM-COT-SENT-RF_blend_ramp_bestval_h20
30,0.00817488045056036,0.09041504548779677,0.07463103976608657,208.08756747380178,TSM+LLM-COT-SENT-RF_blend_ramp_bestval_h20
1,1.8921940119707648e-05,0.004349935645467372,0.0034942137947713433,67.95286476348085,TSM+LLM-COT-SENT-RF_blend_ramp_bestval_h30
5,0.00038262108619519576,0.019560702599732856,0.015227849444228374,119.47106011188357,TSM+LLM-COT-SENT-RF_blend_ramp_bestval_h30
20,0.004397321367801314,0.06631230178331403,0.05132555273307442,197.62835775957308,TSM+LLM-COT-SENT-RF_blend_ramp_bestval_h30
30,0.008157222753326821,0.09031734469816316,0.07430128702420703,205.27742532619243,TSM+LLM-COT-SENT-RF_blend_ramp_bestval_h30
1,0.0002826129493769258,0.01681109517812729,0.01354705449193716,99.99978637695312,naive_persistence_llm_subset
5,0.0014008607249706984,0.03742807358503342,0.029813503846526146,99.9999008178711,naive_persistence_llm_subset
20,0.005806603003293276,0.07620106637477875,0.05912270396947861,99.99989318847656,naive_persistence_llm_subset
30,0.008292845450341702,0.09106506407260895,0.07505284249782562,99.99996185302734,naive_persistence_llm_subset
1,0.0012564342659209498,0.035446216524771014,0.027711494062730106,567.7476982183213,seasonal_naive_llm_subset
5,0.001400860595001522,0.03742807228540527,0.029813503532204785,99.99989771076572,seasonal_naive_llm_subset
20,0.0058066023803234465,0.07620106548023753,0.059122710386291105,99.99988272976313,seasonal_naive_llm_subset
30,0.008292844654943904,0.09106505726646145,0.07505284615326668,99.99995454807708,seasonal_naive_llm_subset
1,0.0002860366330966989,0.016912617570816732,0.013576486588626877,111.17708672352632,linear_ridge_llm_subset
5,0.0015090022383455067,0.038845878009713036,0.031034081056065282,117.18567350931505,linear_ridge_llm_subset
20,0.006147059011589019,0.07840318240727871,0.060953092305589686,420.4086387232092,linear_ridge_llm_subset
30,0.00793524780260794,0.08908000787274291,0.07413636195124564,137.56755378243489,linear_ridge_llm_subset
1,0.001013452685738497,0.03183477164577275,0.027911115831115652,602.8295842388551,linear_lasso_llm_subset
5,0.0020735728303165547,0.04553649997877038,0.03822187676327868,288.10638948854313,linear_lasso_llm_subset
20,0.006037563016042624,0.07770175684012957,0.06544061046104031,212.10881181271168,linear_lasso_llm_subset
30,0.00803874612692356,0.08965905490759737,0.07482719620010292,146.20081782345076,linear_lasso_llm_subset
1,1.8921937225968577e-05,0.004349935334175825,0.0034942161291837692,67.9528579711914,tsm_llm_subset
5,0.0003898077120538801,0.019743548706173897,0.015396802686154842,120.576904296875,tsm_llm_subset
20,0.004507592413574457,0.06713860481977463,0.05177023261785507,194.7634735107422,tsm_llm_subset
30,0.008416618220508099,0.0917421281337738,0.07460799813270569,202.0489044189453,tsm_llm_subset
