horizon,accuracy,accuracy_up,accuracy_down,accuracy_flat,n_up,n_down,n_flat,model,subset,n_samples
1,0.29526462395543174,0.0,0.0,1.0,124,129,106,naive_persistence,full,359
5,0.14206128133704735,0.0,0.0,1.0,162,146,51,naive_persistence,full,359
20,0.09192200557103064,0.0,0.0,1.0,212,114,33,naive_persistence,full,359
30,0.0584958217270195,0.0,0.0,1.0,224,114,21,naive_persistence,full,359
1,0.34540389972144847,0.4274193548387097,0.4418604651162791,0.1320754716981132,124,129,106,seasonal_naive,full,359
5,0.14206128133704735,0.0,0.0,1.0,162,146,51,seasonal_naive,full,359
20,0.09192200557103064,0.0,0.0,1.0,212,114,33,seasonal_naive,full,359
30,0.0584958217270195,0.0,0.0,1.0,224,114,21,seasonal_naive,full,359
1,0.29526462395543174,0.008064516129032258,0.0,0.9905660377358491,124,129,106,linear_ridge,full,359
5,0.2562674094707521,0.29012345679012347,0.06164383561643835,0.7058823529411765,162,146,51,linear_ridge,full,359
20,0.5264623955431755,0.8537735849056604,0.06140350877192982,0.030303030303030304,212,114,33,linear_ridge,full,359
30,0.5710306406685237,0.8392857142857143,0.10526315789473684,0.23809523809523808,224,114,21,linear_ridge,full,359
1,0.3593314763231198,0.0,1.0,0.0,124,129,106,linear_lasso,full,359
5,0.40947075208913647,0.0,1.0,0.0196078431372549,162,146,51,linear_lasso,full,359
20,0.28969359331476324,0.09905660377358491,0.6578947368421053,0.24242424242424243,212,114,33,linear_lasso,full,359
30,0.36768802228412256,0.25892857142857145,0.5701754385964912,0.42857142857142855,224,114,21,linear_lasso,full,359
1,0.8328690807799443,0.8629032258064516,0.8294573643410853,0.8018867924528302,124,129,106,tsm,full,359
5,0.7520891364902507,0.8024691358024691,0.773972602739726,0.5294117647058824,162,146,51,tsm,full,359
20,0.5793871866295265,0.6792452830188679,0.49122807017543857,0.24242424242424243,212,114,33,tsm,full,359
30,0.5153203342618384,0.6339285714285714,0.3508771929824561,0.14285714285714285,224,114,21,tsm,full,359
1,0.78,0.6857142857142857,0.8918918918918919,0.75,35,37,28,TSM+LLM-COT-SENT-RF,llm_subset,100
5,0.74,0.7441860465116279,0.7857142857142857,0.6,43,42,15,TSM+LLM-COT-SENT-RF,llm_subset,100
20,0.57,0.6,0.5945945945945946,0.25,55,37,8,TSM+LLM-COT-SENT-RF,llm_subset,100
30,0.47,0.5849056603773585,0.41025641025641024,0.0,53,39,8,TSM+LLM-COT-SENT-RF,llm_subset,100
1,0.79,0.8285714285714286,0.8648648648648649,0.6428571428571429,35,37,28,TSM+LLM-COT-SENT-RF_blend_ramp_bestval_path,llm_subset,100
5,0.72,0.7441860465116279,0.7619047619047619,0.5333333333333333,43,42,15,TSM+LLM-COT-SENT-RF_blend_ramp_bestval_path,llm_subset,100
20,0.59,0.6181818181818182,0.6216216216216216,0.25,55,37,8,TSM+LLM-COT-SENT-RF_blend_ramp_bestval_path,llm_subset,100
30,0.48,0.6037735849056604,0.41025641025641024,0.0,53,39,8,TSM+LLM-COT-SENT-RF_blend_ramp_bestval_path,llm_subset,100
1,0.79,0.8285714285714286,0.8648648648648649,0.6428571428571429,35,37,28,TSM+LLM-COT-SENT-RF_blend_ramp_bestval_h1,llm_subset,100
5,0.71,0.7441860465116279,0.7380952380952381,0.5333333333333333,43,42,15,TSM+LLM-COT-SENT-RF_blend_ramp_bestval_h1,llm_subset,100
20,0.59,0.6545454545454545,0.5405405405405406,0.375,55,37,8,TSM+LLM-COT-SENT-RF_blend_ramp_bestval_h1,llm_subset,100
30,0.49,0.6226415094339622,0.38461538461538464,0.125,53,39,8,TSM+LLM-COT-SENT-RF_blend_ramp_bestval_h1,llm_subset,100
1,0.79,0.8285714285714286,0.8648648648648649,0.6428571428571429,35,37,28,TSM+LLM-COT-SENT-RF_blend_ramp_bestval_h5,llm_subset,100
5,0.72,0.7441860465116279,0.7619047619047619,0.5333333333333333,43,42,15,TSM+LLM-COT-SENT-RF_blend_ramp_bestval_h5,llm_subset,100
20,0.59,0.6181818181818182,0.6216216216216216,0.25,55,37,8,TSM+LLM-COT-SENT-RF_blend_ramp_bestval_h5,llm_subset,100
30,0.47,0.5849056603773585,0.41025641025641024,0.0,53,39,8,TSM+LLM-COT-SENT-RF_blend_ramp_bestval_h5,llm_subset,100
1,0.79,0.8285714285714286,0.8648648648648649,0.6428571428571429,35,37,28,TSM+LLM-COT-SENT-RF_blend_ramp_bestval_h20,llm_subset,100
