horizon,accuracy,accuracy_up,accuracy_down,accuracy_flat,n_up,n_down,n_flat,alpha,history_window,model,subset,n_samples
10,0.5125348189415042,0.5059523809523809,0.4953271028037383,0.5476190476190477,168,107,84,0.02,18,naive_persistence,full,359
20,0.4178272980501393,0.4077669902912621,0.4074074074074074,0.4888888888888889,206,108,45,0.02,18,naive_persistence,full,359
30,0.40668523676880225,0.3933649289099526,0.35294117647058826,0.5869565217391305,211,102,46,0.02,18,naive_persistence,full,359
10,0.5125348189415042,0.5059523809523809,0.4953271028037383,0.5476190476190477,168,107,84,0.02,18,seasonal_naive,full,359
20,0.4178272980501393,0.4077669902912621,0.4074074074074074,0.4888888888888889,206,108,45,0.02,18,seasonal_naive,full,359
30,0.40668523676880225,0.3933649289099526,0.35294117647058826,0.5869565217391305,211,102,46,0.02,18,seasonal_naive,full,359
10,0.5292479108635098,0.6904761904761905,0.29906542056074764,0.5,168,107,84,0.02,18,linear_ridge,full,359
20,0.5376044568245125,0.8543689320388349,0.07407407407407407,0.2,206,108,45,0.02,18,linear_ridge,full,359
30,0.4568245125348189,0.6492890995260664,0.049019607843137254,0.4782608695652174,211,102,46,0.02,18,linear_ridge,full,359
10,0.4206128133704735,0.14285714285714285,0.7383177570093458,0.5714285714285714,168,107,84,0.02,18,linear_lasso,full,359
20,0.27019498607242337,0.09223300970873786,0.42592592592592593,0.7111111111111111,206,108,45,0.02,18,linear_lasso,full,359
30,0.30919220055710306,0.1990521327014218,0.3137254901960784,0.8043478260869565,211,102,46,0.02,18,linear_lasso,full,359
10,0.6963788300835655,0.75,0.5887850467289719,0.7261904761904762,168,107,84,0.02,18,tsm,full,359
20,0.5487465181058496,0.5922330097087378,0.4351851851851852,0.6222222222222222,206,108,45,0.02,18,tsm,full,359
30,0.42618384401114207,0.5260663507109005,0.28431372549019607,0.2826086956521739,211,102,46,0.02,18,tsm,full,359
10,0.71,0.7551020408163265,0.7333333333333333,0.5714285714285714,49,30,21,0.02,18,TSM+LLM-COT-SENT-RF,llm_subset,100
20,0.53,0.5614035087719298,0.48484848484848486,0.5,57,33,10,0.02,18,TSM+LLM-COT-SENT-RF,llm_subset,100
30,0.41,0.49019607843137253,0.3142857142857143,0.35714285714285715,51,35,14,0.02,18,TSM+LLM-COT-SENT-RF,llm_subset,100
10,0.69,0.7755102040816326,0.6666666666666666,0.5238095238095238,49,30,21,0.02,18,TSM+LLM-COT-SENT-RF_blend_ramp_bestval_path,llm_subset,100
20,0.55,0.5614035087719298,0.48484848484848486,0.7,57,33,10,0.02,18,TSM+LLM-COT-SENT-RF_blend_ramp_bestval_path,llm_subset,100
30,0.4,0.49019607843137253,0.3142857142857143,0.2857142857142857,51,35,14,0.02,18,TSM+LLM-COT-SENT-RF_blend_ramp_bestval_path,llm_subset,100
10,0.7,0.7755102040816326,0.6666666666666666,0.5714285714285714,49,30,21,0.02,18,TSM+LLM-COT-SENT-RF_blend_ramp_bestval_h1,llm_subset,100
20,0.55,0.5789473684210527,0.45454545454545453,0.7,57,33,10,0.02,18,TSM+LLM-COT-SENT-RF_blend_ramp_bestval_h1,llm_subset,100
30,0.43,0.5294117647058824,0.3142857142857143,0.35714285714285715,51,35,14,0.02,18,TSM+LLM-COT-SENT-RF_blend_ramp_bestval_h1,llm_subset,100
10,0.69,0.7755102040816326,0.6666666666666666,0.5238095238095238,49,30,21,0.02,18,TSM+LLM-COT-SENT-RF_blend_ramp_bestval_h5,llm_subset,100
20,0.55,0.5614035087719298,0.48484848484848486,0.7,57,33,10,0.02,18,TSM+LLM-COT-SENT-RF_blend_ramp_bestval_h5,llm_subset,100
30,0.41,0.49019607843137253,0.3142857142857143,0.35714285714285715,51,35,14,0.02,18,TSM+LLM-COT-SENT-RF_blend_ramp_bestval_h5,llm_subset,100
10,0.69,0.7755102040816326,0.6666666666666666,0.5238095238095238,49,30,21,0.02,18,TSM+LLM-COT-SENT-RF_blend_ramp_bestval_h20,llm_subset,100
20,0.55,0.5614035087719298,0.48484848484848486,0.7,57,33,10,0.02,18,TSM+LLM-COT-SENT-RF_blend_ramp_bestval_h20,llm_subset,100
30,0.41,0.49019607843137253,0.3142857142857143,0.35714285714285715,51,35,14,0.02,18,TSM+LLM-COT-SENT-RF_blend_ramp_bestval_h20,llm_subset,100
10,0.69,0.7755102040816326,0.6666666666666666,0.5238095238095238,49,30,21,0.02,18,TSM+LLM-COT-SENT-RF_blend_ramp_bestval_h30,llm_subset,100
20,0.55,0.5614035087719298,0.48484848484848486,0.7,57,33,10,0.02,18,TSM+LLM-COT-SENT-RF_blend_ramp_bestval_h30,llm_subset,100
30,0.4,0.49019607843137253,0.3142857142857143,0.2857142857142857,51,35,14,0.02,18,TSM+LLM-COT-SENT-RF_blend_ramp_bestval_h30,llm_subset,100
10,0.5,0.4897959183673469,0.5,0.5238095238095238,49,30,21,0.02,18,naive_persistence_llm_subset,llm_subset,100
20,0.4,0.40350877192982454,0.36363636363636365,0.5,57,33,10,0.02,18,naive_persistence_llm_subset,llm_subset,100
30,0.38,0.39215686274509803,0.3142857142857143,0.5,51,35,14,0.02,18,naive_persistence_llm_subset,llm_subset,100
10,0.5,0.4897959183673469,0.5,0.5238095238095238,49,30,21,0.02,18,seasonal_naive_llm_subset,llm_subset,100
20,0.4,0.40350877192982454,0.36363636363636365,0.5,57,33,10,0.02,18,seasonal_naive_llm_subset,llm_subset,100
30,0.38,0.39215686274509803,0.3142857142857143,0.5,51,35,14,0.02,18,seasonal_naive_llm_subset,llm_subset,100
10,0.54,0.7346938775510204,0.3333333333333333,0.38095238095238093,49,30,21,0.02,18,linear_ridge_llm_subset,llm_subset,100
20,0.55,0.9122807017543859,0.030303030303030304,0.2,57,33,10,0.02,18,linear_ridge_llm_subset,llm_subset,100
30,0.42,0.6862745098039216,0.02857142857142857,0.42857142857142855,51,35,14,0.02,18,linear_ridge_llm_subset,llm_subset,100
10,0.41,0.12244897959183673,0.6666666666666666,0.7142857142857143,49,30,21,0.02,18,linear_lasso_llm_subset,llm_subset,100
20,0.27,0.10526315789473684,0.42424242424242425,0.7,57,33,10,0.02,18,linear_lasso_llm_subset,llm_subset,100
30,0.29,0.17647058823529413,0.2571428571428571,0.7857142857142857,51,35,14,0.02,18,linear_lasso_llm_subset,llm_subset,100
10,0.7,0.7755102040816326,0.6666666666666666,0.5714285714285714,49,30,21,0.02,18,tsm_llm_subset,llm_subset,100
20,0.55,0.5789473684210527,0.45454545454545453,0.7,57,33,10,0.02,18,tsm_llm_subset,llm_subset,100
30,0.43,0.5294117647058824,0.3142857142857143,0.35714285714285715,51,35,14,0.02,18,tsm_llm_subset,llm_subset,100
