horizon,mse,rmse,mae,mape,model,subset,n_samples
1,1.3909807205200195,1.1793984174728394,0.9476962089538574,1.3287573121488094,naive_persistence,full,382
5,6.439699172973633,2.537656307220459,2.0173559188842773,2.8358804062008858,naive_persistence,full,382
20,26.3935604095459,5.1374664306640625,4.049476623535156,5.564092844724655,naive_persistence,full,382
30,41.33949661254883,6.429579734802246,5.156152248382568,7.071981579065323,naive_persistence,full,382
1,6.531475998524635,2.555675252946789,2.040235509423061,2.870180079831038,seasonal_naive,full,382
5,6.439698977398177,2.537656197635562,2.0173558939189813,2.8358803156199754,seasonal_naive,full,382
20,26.393559357632746,5.137466239074739,4.049476603562919,5.56409281696058,seasonal_naive,full,382
30,41.339494069349,6.429579618400335,5.1561521360387355,7.07198157741783,seasonal_naive,full,382
1,1.4054257403180723,1.185506533224542,0.9538231694885574,1.3368102259532084,linear_ridge,full,382
5,6.650420473075285,2.578840916589328,2.0476229802476174,2.8830360658014134,linear_ridge,full,382
20,26.835474095494483,5.180296718866061,3.988288599783213,5.59743394993055,linear_ridge,full,382
30,39.763346814187884,6.305818488839326,4.961003927660238,6.903186514608498,linear_ridge,full,382
1,5.348455666706953,2.312672840396357,2.0205290429879232,2.7742858747181343,linear_lasso,full,382
5,10.403634289403195,3.2254665227534445,2.69318636549705,3.6856215046665475,linear_lasso,full,382
20,28.585292959561595,5.346521575712717,4.473653673501539,6.084615902905589,linear_lasso,full,382
30,39.99202684668998,6.323924955807902,5.217332999743716,7.123470589359095,linear_lasso,full,382
1,2562.990234375,50.62598419189453,50.30225372314453,69.50576305389404,tsm,full,382
5,2584.251708984375,50.83553695678711,50.49448776245117,69.58836317062378,tsm,full,382
20,2640.022216796875,51.38114547729492,51.028560638427734,69.73729729652405,tsm,full,382
30,2673.09033203125,51.70193862915039,51.31706237792969,70.03691792488098,tsm,full,382
