horizon,mean_return,volatility,sharpe,hit_rate,trade_rate,n_trades,model
1,0.0,0.0,,,0.0,0,naive_persistence
5,0.0,0.0,,,0.0,0,naive_persistence
20,0.0,0.0,,,0.0,0,naive_persistence
30,0.0,0.0,,,0.0,0,naive_persistence
1,0.00021267775556649184,0.016600113380394854,0.012811825479316878,0.5382585751978892,0.9921465968586387,379,seasonal_naive
5,-0.0016687720525200376,0.03596379351911707,-0.04640144682270456,0.5039370078740157,0.9973821989528796,381,seasonal_naive
20,0.00393109027898495,0.07055094739245214,0.0557198793818822,0.5433070866141733,0.9973821989528796,381,seasonal_naive
30,0.006461987937483644,0.08751368513375818,0.07383974206556351,0.5511811023622047,0.9973821989528796,381,seasonal_naive
1,0.0008726070417656261,0.01661962342386688,0.05250462176612886,0.49214659685863876,1.0,382,linear_ridge
5,0.0012357483992197049,0.03604218638881429,0.03428616637982928,0.5340314136125655,1.0,382,linear_ridge
20,0.009827271746885987,0.07000381301640675,0.1403819495458451,0.612565445026178,1.0,382,linear_ridge
30,0.025336324771212813,0.08413444886565874,0.3011409132978153,0.6649214659685864,1.0,382,linear_ridge
1,-0.0007157163166594009,0.016627118690697766,-0.04304511984146818,0.5078534031413613,1.0,382,linear_lasso
5,-0.0030439553205752795,0.03593467141631527,-0.08470803267713324,0.45549738219895286,1.0,382,linear_lasso
20,-0.0009649898923923754,0.07068364663294306,-0.013652236950981373,0.40575916230366493,1.0,382,linear_lasso
30,0.009699135824930684,0.08732961469679151,0.11106353621971299,0.4869109947643979,1.0,382,linear_lasso
1,0.013028203580488576,0.010355637945864474,1.2580783191335296,0.9397905759162304,1.0,382,tsm
5,0.024147405928483537,0.02678561294272062,0.9015065654880206,0.8272251308900523,1.0,382,tsm
20,0.02720520652998824,0.06524558103415025,0.4169662695738542,0.6963350785340314,1.0,382,tsm
30,0.01373117127338746,0.08678703690241657,0.15821684624198892,0.5837696335078534,1.0,382,tsm
1,0.0,0.0,,,0.0,0,naive_persistence_llm_subset
5,0.0,0.0,,,0.0,0,naive_persistence_llm_subset
20,0.0,0.0,,,0.0,0,naive_persistence_llm_subset
30,0.0,0.0,,,0.0,0,naive_persistence_llm_subset
1,0.0008440620702458545,0.015476018579252881,0.05454000109417046,0.6,1.0,10,seasonal_naive_llm_subset
5,0.00549100860953331,0.027940392463820806,0.19652582248597458,0.4,1.0,10,seasonal_naive_llm_subset
20,0.009090492222458123,0.02080651984137081,0.4369059454326894,0.7,1.0,10,seasonal_naive_llm_subset
30,0.015625720284879206,0.04211728053207872,0.3710049672598838,0.6,1.0,10,seasonal_naive_llm_subset
1,0.0036567148315953093,0.015061474977046536,0.2427859713054723,0.6,1.0,10,linear_ridge_llm_subset
5,-0.015014675632119178,0.02419454943255919,-0.6205809152996073,0.2,1.0,10,linear_ridge_llm_subset
20,0.006178153958171606,0.021848998384938777,0.28276600370067345,0.7,1.0,10,linear_ridge_llm_subset
30,0.040298803336918355,0.01985031242704963,2.0301344618638835,1.0,1.0,10,linear_ridge_llm_subset
1,-0.0029114460136042907,0.01522310986473118,-0.19125172448170485,0.5,1.0,10,linear_lasso_llm_subset
5,0.015014675632119178,0.02419454943255919,0.6205809152996073,0.8,1.0,10,linear_lasso_llm_subset
20,-0.003828821610659361,0.022380537121116564,-0.17107818234830377,0.5,1.0,10,linear_lasso_llm_subset
30,0.01638482790440321,0.04182781213955845,0.391720892542389,0.5,1.0,10,linear_lasso_llm_subset
1,0.011893797342781908,0.009937664545185758,1.1968402926765913,0.9,1.0,10,tsm_llm_subset
5,0.0257684126496315,0.012116336744272779,2.126749461780341,1.0,1.0,10,tsm_llm_subset
20,-0.0010271553881466388,0.0226824440606503,-0.0452841583296818,0.6,1.0,10,tsm_llm_subset
30,0.0023085912689566612,0.04486311246661337,0.051458562324998944,0.5,1.0,10,tsm_llm_subset
