model,subset,n_samples,mse_path,rmse_path,mae_path,mape_path
naive_persistence,full,382,20.87192153930664,4.56857967376709,3.4119198322296143,4.712919518351555
seasonal_naive,full,382,23.114802934454985,4.807785658123185,3.6630977557383697,5.0558388680014446
linear_ridge,full,382,20.886615155238147,4.570187649893398,3.348079413435638,4.69496000504031
linear_lasso,full,382,23.35087743830505,4.832274561560534,3.9123499319399424,5.333250753663311
tsm,full,382,15.415825843811035,3.9262993335723877,2.7201573848724365,3.7636414170265198
TSM+LLM-COT-RF,llm_subset,382,13.961018563700915,3.736444642129857,2.7157418194782466,3.7197334267965334
naive_persistence_llm_subset,llm_subset,382,20.87192153930664,4.56857967376709,3.4119198322296143,4.712919518351555
seasonal_naive_llm_subset,llm_subset,382,23.114802934454985,4.807785658123185,3.6630977557383697,5.0558388680014446
linear_ridge_llm_subset,llm_subset,382,20.886615155238147,4.570187649893398,3.348079413435638,4.69496000504031
linear_lasso_llm_subset,llm_subset,382,23.35087743830505,4.832274561560534,3.9123499319399424,5.333250753663311
tsm_llm_subset,llm_subset,382,15.415825843811035,3.9262993335723877,2.7201573848724365,3.7636414170265198
