horizon,accuracy,accuracy_up,accuracy_down,accuracy_flat,n_up,n_down,n_flat,model,subset,n_samples
1,0.3036649214659686,0.0,0.0,1.0,133,133,116,naive_persistence,full,382
5,0.14921465968586387,0.0,0.0,1.0,177,148,57,naive_persistence,full,382
20,0.08638743455497382,0.0,0.0,1.0,226,123,33,naive_persistence,full,382
30,0.06282722513089005,0.0,0.0,1.0,229,129,24,naive_persistence,full,382
1,0.34293193717277487,0.40601503759398494,0.45112781954887216,0.14655172413793102,133,133,116,seasonal_naive,full,382
5,0.14921465968586387,0.0,0.0,1.0,177,148,57,seasonal_naive,full,382
20,0.08638743455497382,0.0,0.0,1.0,226,123,33,seasonal_naive,full,382
30,0.06282722513089005,0.0,0.0,1.0,229,129,24,seasonal_naive,full,382
1,0.3036649214659686,0.007518796992481203,0.0,0.9913793103448276,133,133,116,linear_ridge,full,382
5,0.25654450261780104,0.2655367231638418,0.060810810810810814,0.7368421052631579,177,148,57,linear_ridge,full,382
20,0.5314136125654451,0.8628318584070797,0.056910569105691054,0.030303030303030304,226,123,33,linear_ridge,full,382
30,0.5497382198952879,0.8427947598253275,0.09302325581395349,0.20833333333333334,229,129,24,linear_ridge,full,382
1,0.3481675392670157,0.0,1.0,0.0,133,133,116,linear_lasso,full,382
5,0.3900523560209424,0.0,1.0,0.017543859649122806,177,148,57,linear_lasso,full,382
20,0.29581151832460734,0.09292035398230089,0.6829268292682927,0.24242424242424243,226,123,33,linear_lasso,full,382
30,0.38481675392670156,0.25327510917030566,0.6201550387596899,0.375,229,129,24,linear_lasso,full,382
1,0.8298429319371727,0.8571428571428571,0.8345864661654135,0.7931034482758621,133,133,116,tsm,full,382
5,0.743455497382199,0.7909604519774012,0.777027027027027,0.5087719298245614,177,148,57,tsm,full,382
20,0.5759162303664922,0.6858407079646017,0.4634146341463415,0.24242424242424243,226,123,33,tsm,full,382
30,0.5130890052356021,0.6331877729257642,0.3643410852713178,0.16666666666666666,229,129,24,tsm,full,382
1,0.6073298429319371,0.44360902255639095,0.7368421052631579,0.646551724137931,133,133,116,TSM+LLM-COT-RF,llm_subset,382
5,0.6884816753926701,0.711864406779661,0.7905405405405406,0.3508771929824561,177,148,57,TSM+LLM-COT-RF,llm_subset,382
20,0.612565445026178,0.5929203539823009,0.7398373983739838,0.2727272727272727,226,123,33,TSM+LLM-COT-RF,llm_subset,382
30,0.5471204188481675,0.5851528384279476,0.5348837209302325,0.25,229,129,24,TSM+LLM-COT-RF,llm_subset,382
1,0.3036649214659686,0.0,0.0,1.0,133,133,116,naive_persistence_llm_subset,llm_subset,382
5,0.14921465968586387,0.0,0.0,1.0,177,148,57,naive_persistence_llm_subset,llm_subset,382
20,0.08638743455497382,0.0,0.0,1.0,226,123,33,naive_persistence_llm_subset,llm_subset,382
30,0.06282722513089005,0.0,0.0,1.0,229,129,24,naive_persistence_llm_subset,llm_subset,382
1,0.34293193717277487,0.40601503759398494,0.45112781954887216,0.14655172413793102,133,133,116,seasonal_naive_llm_subset,llm_subset,382
5,0.14921465968586387,0.0,0.0,1.0,177,148,57,seasonal_naive_llm_subset,llm_subset,382
20,0.08638743455497382,0.0,0.0,1.0,226,123,33,seasonal_naive_llm_subset,llm_subset,382
30,0.06282722513089005,0.0,0.0,1.0,229,129,24,seasonal_naive_llm_subset,llm_subset,382
1,0.3036649214659686,0.007518796992481203,0.0,0.9913793103448276,133,133,116,linear_ridge_llm_subset,llm_subset,382
5,0.25654450261780104,0.2655367231638418,0.060810810810810814,0.7368421052631579,177,148,57,linear_ridge_llm_subset,llm_subset,382
20,0.5314136125654451,0.8628318584070797,0.056910569105691054,0.030303030303030304,226,123,33,linear_ridge_llm_subset,llm_subset,382
30,0.5497382198952879,0.8427947598253275,0.09302325581395349,0.20833333333333334,229,129,24,linear_ridge_llm_subset,llm_subset,382
1,0.3481675392670157,0.0,1.0,0.0,133,133,116,linear_lasso_llm_subset,llm_subset,382
5,0.3900523560209424,0.0,1.0,0.017543859649122806,177,148,57,linear_lasso_llm_subset,llm_subset,382
20,0.29581151832460734,0.09292035398230089,0.6829268292682927,0.24242424242424243,226,123,33,linear_lasso_llm_subset,llm_subset,382
30,0.38481675392670156,0.25327510917030566,0.6201550387596899,0.375,229,129,24,linear_lasso_llm_subset,llm_subset,382
1,0.8298429319371727,0.8571428571428571,0.8345864661654135,0.7931034482758621,133,133,116,tsm_llm_subset,llm_subset,382
5,0.743455497382199,0.7909604519774012,0.777027027027027,0.5087719298245614,177,148,57,tsm_llm_subset,llm_subset,382
20,0.5759162303664922,0.6858407079646017,0.4634146341463415,0.24242424242424243,226,123,33,tsm_llm_subset,llm_subset,382
30,0.5130890052356021,0.6331877729257642,0.3643410852713178,0.16666666666666666,229,129,24,tsm_llm_subset,llm_subset,382
