horizon,accuracy,accuracy_up,accuracy_down,accuracy_flat,n_up,n_down,n_flat,alpha,history_window,model,subset,n_samples
10,0.5130890052356021,0.5,0.4953271028037383,0.5632183908045977,188,107,87,0.02,18,naive_persistence,full,382
20,0.39790575916230364,0.38636363636363635,0.3893805309734513,0.46938775510204084,220,113,49,0.02,18,naive_persistence,full,382
30,0.3900523560209424,0.3853211009174312,0.3103448275862069,0.6041666666666666,218,116,48,0.02,18,naive_persistence,full,382
10,0.5130890052356021,0.5,0.4953271028037383,0.5632183908045977,188,107,87,0.02,18,seasonal_naive,full,382
20,0.39790575916230364,0.38636363636363635,0.3893805309734513,0.46938775510204084,220,113,49,0.02,18,seasonal_naive,full,382
30,0.3900523560209424,0.3853211009174312,0.3103448275862069,0.6041666666666666,218,116,48,0.02,18,seasonal_naive,full,382
10,0.5314136125654451,0.648936170212766,0.32710280373831774,0.5287356321839081,188,107,87,0.02,18,linear_ridge,full,382
20,0.5445026178010471,0.8454545454545455,0.08849557522123894,0.24489795918367346,220,113,49,0.02,18,linear_ridge,full,382
30,0.4476439790575916,0.6605504587155964,0.05172413793103448,0.4375,218,116,48,0.02,18,linear_ridge,full,382
10,0.4005235602094241,0.13297872340425532,0.7570093457943925,0.5402298850574713,188,107,87,0.02,18,linear_lasso,full,382
20,0.2643979057591623,0.08181818181818182,0.4247787610619469,0.7142857142857143,220,113,49,0.02,18,linear_lasso,full,382
30,0.29581151832460734,0.18807339449541285,0.28448275862068967,0.8125,218,116,48,0.02,18,linear_lasso,full,382
10,0.5392670157068062,0.6542553191489362,0.38317757009345793,0.4827586206896552,188,107,87,0.02,18,tsm,full,382
20,0.5314136125654451,0.6681818181818182,0.30973451327433627,0.42857142857142855,220,113,49,0.02,18,tsm,full,382
30,0.5157068062827225,0.6972477064220184,0.2413793103448276,0.3541666666666667,218,116,48,0.02,18,tsm,full,382
10,0.49214659685863876,0.5212765957446809,0.4672897196261682,0.45977011494252873,188,107,87,0.02,18,TSM+LLM-COT-RF,llm_subset,382
20,0.45549738219895286,0.5045454545454545,0.37168141592920356,0.42857142857142855,220,113,49,0.02,18,TSM+LLM-COT-RF,llm_subset,382
30,0.4214659685863874,0.481651376146789,0.3275862068965517,0.375,218,116,48,0.02,18,TSM+LLM-COT-RF,llm_subset,382
10,0.5261780104712042,0.6223404255319149,0.40186915887850466,0.47126436781609193,188,107,87,0.02,18,TSM+LLM-COT-RF_blend_ramp_bestval_path,llm_subset,382
20,0.5235602094240838,0.6181818181818182,0.35398230088495575,0.4897959183673469,220,113,49,0.02,18,TSM+LLM-COT-RF_blend_ramp_bestval_path,llm_subset,382
30,0.4869109947643979,0.6055045871559633,0.27586206896551724,0.4583333333333333,218,116,48,0.02,18,TSM+LLM-COT-RF_blend_ramp_bestval_path,llm_subset,382
10,0.5261780104712042,0.6223404255319149,0.40186915887850466,0.47126436781609193,188,107,87,0.02,18,TSM+LLM-COT-RF_blend_ramp_bestval_path_h1base,llm_subset,382
20,0.5235602094240838,0.6181818181818182,0.35398230088495575,0.4897959183673469,220,113,49,0.02,18,TSM+LLM-COT-RF_blend_ramp_bestval_path_h1base,llm_subset,382
30,0.4869109947643979,0.6055045871559633,0.27586206896551724,0.4583333333333333,218,116,48,0.02,18,TSM+LLM-COT-RF_blend_ramp_bestval_path_h1base,llm_subset,382
10,0.5261780104712042,0.6223404255319149,0.40186915887850466,0.47126436781609193,188,107,87,0.02,18,TSM+LLM-COT-RF_blend_ramp_bestval_h1,llm_subset,382
20,0.5235602094240838,0.6181818181818182,0.35398230088495575,0.4897959183673469,220,113,49,0.02,18,TSM+LLM-COT-RF_blend_ramp_bestval_h1,llm_subset,382
30,0.4869109947643979,0.6055045871559633,0.27586206896551724,0.4583333333333333,218,116,48,0.02,18,TSM+LLM-COT-RF_blend_ramp_bestval_h1,llm_subset,382
10,0.5261780104712042,0.6223404255319149,0.40186915887850466,0.47126436781609193,188,107,87,0.02,18,TSM+LLM-COT-RF_blend_ramp_bestval_h5,llm_subset,382
20,0.5235602094240838,0.6181818181818182,0.35398230088495575,0.4897959183673469,220,113,49,0.02,18,TSM+LLM-COT-RF_blend_ramp_bestval_h5,llm_subset,382
30,0.4869109947643979,0.6055045871559633,0.27586206896551724,0.4583333333333333,218,116,48,0.02,18,TSM+LLM-COT-RF_blend_ramp_bestval_h5,llm_subset,382
10,0.5261780104712042,0.6223404255319149,0.40186915887850466,0.47126436781609193,188,107,87,0.02,18,TSM+LLM-COT-RF_blend_ramp_bestval_h20,llm_subset,382
