model,subset,n_samples,mse_path,rmse_path,mae_path,mape_path
naive_persistence,full,126,12.692015647888184,3.5625855922698975,2.575529098510742,3.2621990889310837
seasonal_naive,full,126,13.369102369198574,3.656378313194434,2.740127010446377,3.465327409000755
linear_ridge,full,126,14.800273144277531,3.8471123124075195,3.047162541384419,3.8133095123152314
linear_lasso,full,126,21.047689510504767,4.587776096378807,3.717280346502072,4.627033399590362
tsm,full,126,21.58902931213379,4.64639949798584,3.7747724056243896,4.790094867348671
TSM+LLM-COT-SENT-RF,llm_subset,126,20.88581807953585,4.570100445234858,3.718322954288866,4.713707458558726
naive_persistence_llm_subset,llm_subset,126,12.692015647888184,3.5625855922698975,2.575529098510742,3.2621990889310837
seasonal_naive_llm_subset,llm_subset,126,13.369102369198574,3.656378313194434,2.740127010446377,3.465327409000755
linear_ridge_llm_subset,llm_subset,126,14.800273144277531,3.8471123124075195,3.047162541384419,3.8133095123152314
linear_lasso_llm_subset,llm_subset,126,21.047689510504767,4.587776096378807,3.717280346502072,4.627033399590362
tsm_llm_subset,llm_subset,126,21.58902931213379,4.64639949798584,3.7747724056243896,4.790094867348671
