horizon,accuracy,accuracy_up,accuracy_down,accuracy_flat,n_up,n_down,n_flat,alpha,history_window,model,subset,n_samples
10,0.0,0.0,,,4,0,0,0.02,18,naive_persistence,full,4
20,1.0,,1.0,,0,4,0,0.02,18,naive_persistence,full,4
30,1.0,,1.0,,0,4,0,0.02,18,naive_persistence,full,4
10,0.0,0.0,,,4,0,0,0.02,18,seasonal_naive,full,4
20,1.0,,1.0,,0,4,0,0.02,18,seasonal_naive,full,4
30,1.0,,1.0,,0,4,0,0.02,18,seasonal_naive,full,4
10,0.5,0.5,,,4,0,0,0.02,18,linear_ridge,full,4
20,1.0,,1.0,,0,4,0,0.02,18,linear_ridge,full,4
30,1.0,,1.0,,0,4,0,0.02,18,linear_ridge,full,4
10,0.25,0.25,,,4,0,0,0.02,18,linear_lasso,full,4
20,1.0,,1.0,,0,4,0,0.02,18,linear_lasso,full,4
30,1.0,,1.0,,0,4,0,0.02,18,linear_lasso,full,4
10,0.0,0.0,,,4,0,0,0.02,18,tsm,full,4
20,1.0,,1.0,,0,4,0,0.02,18,tsm,full,4
30,1.0,,1.0,,0,4,0,0.02,18,tsm,full,4
