horizon,mean_return,volatility,sharpe,hit_rate,trade_rate,n_trades,model
1,0.0,0.0,,,0.0,0,naive_persistence
5,0.0,0.0,,,0.0,0,naive_persistence
20,0.0,0.0,,,0.0,0,naive_persistence
30,0.0,0.0,,,0.0,0,naive_persistence
1,0.0022377048145345827,0.017795852826929706,0.1257430501531435,0.5763888888888888,1.0,144,seasonal_naive
5,-0.0021369360337202023,0.03927413821229152,-0.054410768281388064,0.4930555555555556,1.0,144,seasonal_naive
20,0.005722938891267404,0.11586779523560935,0.04939197194207583,0.5486111111111112,1.0,144,seasonal_naive
30,-0.00826314113025243,0.15950342357900552,-0.05180541548789714,0.4791666666666667,1.0,144,seasonal_naive
1,0.0010121288287336938,0.017907408966927052,0.05652011581368252,0.5208333333333334,1.0,144,linear_ridge
5,0.0010428756156923352,0.0393184033040583,0.02652385468523574,0.5069444444444444,1.0,144,linear_ridge
20,0.05787732500337168,0.10054010768229943,0.5756640443061835,0.8194444444444444,1.0,144,linear_ridge
30,0.10723629381067844,0.11836384128825818,0.905988624934196,0.9236111111111112,1.0,144,linear_ridge
1,0.001980737067141389,0.017826283441749302,0.11111329367188713,0.5277777777777778,1.0,144,linear_lasso
5,0.01426099819218507,0.036655809341670294,0.389051515934561,0.6180555555555556,1.0,144,linear_lasso
20,0.06169434306664496,0.09824411451018017,0.6279698623600717,0.8333333333333334,1.0,144,linear_lasso
30,0.06638155808387738,0.14526909644215089,0.456955813105865,0.6875,1.0,144,linear_lasso
1,-0.0007599832064847255,0.017919880752968045,-0.042410059361519495,0.5347222222222222,1.0,144,tsm
5,-0.010010165328114655,0.03803710054715264,-0.26316846405539157,0.3611111111111111,1.0,144,tsm
20,-0.02987281027728588,0.11209689205527314,-0.26649097695372403,0.3263888888888889,1.0,144,tsm
30,-0.022709013098695625,0.15809466265135388,-0.14364187074914606,0.2638888888888889,1.0,144,tsm
