horizon,mse,rmse,mae,mape,model,subset,n_samples
1,1.0613927841186523,1.030239224433899,0.7848610281944275,1.3954262249171734,naive_persistence,full,144
5,5.211897373199463,2.2829580307006836,1.6699998378753662,2.9023488983511925,naive_persistence,full,144
20,44.27585220336914,6.65401029586792,4.407985687255859,7.949555665254593,naive_persistence,full,144
30,79.98809814453125,8.94360637664795,6.379860877990723,12.072685360908508,naive_persistence,full,144
1,5.168530688185658,2.2734402759222987,1.6513192653656006,2.9001240713645444,seasonal_naive,full,144
5,5.211897344572106,2.2829580251445942,1.6699998908572726,2.902348869597151,seasonal_naive,full,144
20,44.27585121827006,6.654010160667781,4.407985872692532,7.9495553689110485,seasonal_naive,full,144
30,79.98809566169751,8.94360641249924,6.379861010445489,12.072684485576755,seasonal_naive,full,144
1,1.125847904329425,1.061059802428414,0.796709140141805,1.4064477043012729,linear_ridge,full,144
5,5.216639358966152,2.283996357038722,1.6739881568484836,2.8916434947865652,linear_ridge,full,144
20,30.987566820058824,5.566647718336308,3.381316449907091,6.12745074308499,linear_ridge,full,144
30,57.24553394492614,7.566077844228549,5.07786406411065,9.644734888419478,linear_ridge,full,144
1,1.164576024413691,1.0791552364760553,0.8347863621181912,1.4940791605764594,linear_lasso,full,144
5,4.765821777187436,2.183076218822292,1.616120629840427,2.8034673940489068,linear_lasso,full,144
20,34.90883724607516,5.90837010063479,3.7473709318372936,6.690059420286361,linear_lasso,full,144
30,64.83283574641034,8.051883987391419,5.766303989622328,10.791447373430769,linear_lasso,full,144
1,1.2886841297149658,1.1352022886276245,0.8288508653640747,1.4680246822535992,tsm,full,144
5,9.41470718383789,3.0683395862579346,2.416855812072754,4.187248274683952,tsm,full,144
20,54.81398391723633,7.403646469116211,5.467715740203857,9.813778847455978,tsm,full,144
30,89.85636138916016,9.479259490966797,7.675684452056885,14.156940579414368,tsm,full,144
