horizon,accuracy,accuracy_up,accuracy_down,accuracy_flat,n_up,n_down,n_flat,alpha,history_window,model,subset,n_samples
10,0.5277777777777778,0.5357142857142857,0.47368421052631576,0.5365853658536586,84,19,41,0.02,18,naive_persistence,full,144
20,0.3958333333333333,0.41836734693877553,0.21428571428571427,0.40625,98,14,32,0.02,18,naive_persistence,full,144
30,0.3402777777777778,0.37755102040816324,0.05,0.4230769230769231,98,20,26,0.02,18,naive_persistence,full,144
10,0.5277777777777778,0.5357142857142857,0.47368421052631576,0.5365853658536586,84,19,41,0.02,18,seasonal_naive,full,144
20,0.3958333333333333,0.41836734693877553,0.21428571428571427,0.40625,98,14,32,0.02,18,seasonal_naive,full,144
30,0.3402777777777778,0.37755102040816324,0.05,0.4230769230769231,98,20,26,0.02,18,seasonal_naive,full,144
10,0.5555555555555556,0.5595238095238095,0.47368421052631576,0.5853658536585366,84,19,41,0.02,18,linear_ridge,full,144
20,0.7152777777777778,0.9183673469387755,0.07142857142857142,0.375,98,14,32,0.02,18,linear_ridge,full,144
30,0.6041666666666666,0.7755102040816326,0.05,0.38461538461538464,98,20,26,0.02,18,linear_ridge,full,144
10,0.5902777777777778,0.5952380952380952,0.42105263157894735,0.6585365853658537,84,19,41,0.02,18,linear_lasso,full,144
20,0.5763888888888888,0.5816326530612245,0.21428571428571427,0.71875,98,14,32,0.02,18,linear_lasso,full,144
30,0.4097222222222222,0.3979591836734694,0.15,0.6538461538461539,98,20,26,0.02,18,linear_lasso,full,144
10,0.4305555555555556,0.36904761904761907,0.631578947368421,0.4634146341463415,84,19,41,0.02,18,tsm,full,144
20,0.2847222222222222,0.2653061224489796,0.35714285714285715,0.3125,98,14,32,0.02,18,tsm,full,144
30,0.125,0.09183673469387756,0.2,0.19230769230769232,98,20,26,0.02,18,tsm,full,144
