horizon,mean_return,volatility,sharpe,hit_rate,trade_rate,n_trades,model
1,0.0,0.0,,,0.0,0,naive_persistence
5,0.0,0.0,,,0.0,0,naive_persistence
20,0.0,0.0,,,0.0,0,naive_persistence
30,0.0,0.0,,,0.0,0,naive_persistence
1,0.0022377048145345827,0.017795852826929706,0.1257430501531435,0.5763888888888888,1.0,144,seasonal_naive
5,-0.0021369360337202023,0.03927413821229152,-0.054410768281388064,0.4930555555555556,1.0,144,seasonal_naive
20,0.005722938891267404,0.11586779523560935,0.04939197194207583,0.5486111111111112,1.0,144,seasonal_naive
30,-0.00826314113025243,0.15950342357900552,-0.05180541548789714,0.4791666666666667,1.0,144,seasonal_naive
1,0.0014886867870195096,0.017874101720782694,0.08328736236789869,0.5416666666666666,1.0,144,linear_ridge
5,0.012917384810053691,0.03715058004391564,0.3477034489040029,0.6041666666666666,1.0,144,linear_ridge
20,0.0578522061469913,0.1005545635276704,0.5753314829025303,0.8125,1.0,144,linear_ridge
30,0.09624778961167774,0.12745973728840154,0.7551230816826421,0.9166666666666666,1.0,144,linear_ridge
1,0.002290429625443519,0.017789143678255678,0.12875434966794919,0.5416666666666666,1.0,144,linear_lasso
5,0.012036918186317457,0.0374451202228847,0.32145492162049616,0.5833333333333334,1.0,144,linear_lasso
20,0.06355338969539541,0.09705186582719307,0.6548394423303124,0.8263888888888888,1.0,144,linear_lasso
30,0.10004526862434836,0.12450126851018063,0.8035682673881152,0.9097222222222222,1.0,144,linear_lasso
1,-0.0007230896404103583,0.017921407367912392,-0.040347815635563486,0.4652777777777778,1.0,144,tsm
5,0.0052285182941381615,0.03898316334493971,0.13412247353746012,0.5138888888888888,1.0,144,tsm
20,0.024445167648890574,0.11340428466743181,0.2155577077231095,0.5763888888888888,1.0,144,tsm
30,0.03134888250820546,0.15661056541705243,0.2001709298777109,0.5277777777777778,1.0,144,tsm
1,-0.0018958852593237276,0.017727138093642396,-0.10694818584414716,0.45774647887323944,0.9861111111111112,142,TSM+LLM-COT-RF
5,0.005948020548708478,0.0388798852812419,0.1529845190046941,0.5277777777777778,1.0,144,TSM+LLM-COT-RF
20,0.028577813151059672,0.11243400996948119,0.25417409873415314,0.5763888888888888,1.0,144,TSM+LLM-COT-RF
30,0.009896123801202824,0.15941043996072965,0.06207952128882342,0.5347222222222222,1.0,144,TSM+LLM-COT-RF
1,-0.0007230896404103583,0.017921407367912392,-0.040347815635563486,0.4652777777777778,1.0,144,TSM+LLM-COT-RF_blend_ramp_bestval_path
5,0.0052285182941381615,0.03898316334493971,0.13412247353746012,0.5138888888888888,1.0,144,TSM+LLM-COT-RF_blend_ramp_bestval_path
20,0.03231915590650816,0.11141620242947206,0.2900759063922199,0.5972222222222222,1.0,144,TSM+LLM-COT-RF_blend_ramp_bestval_path
30,0.031286841277809195,0.15662297148764387,0.19975895604992683,0.5694444444444444,1.0,144,TSM+LLM-COT-RF_blend_ramp_bestval_path
1,-0.0007230896404103583,0.017921407367912392,-0.040347815635563486,0.4652777777777778,1.0,144,TSM+LLM-COT-RF_blend_ramp_bestval_path_h1base
5,0.0052285182941381615,0.03898316334493971,0.13412247353746012,0.5138888888888888,1.0,144,TSM+LLM-COT-RF_blend_ramp_bestval_path_h1base
20,0.03231915590650816,0.11141620242947206,0.2900759063922199,0.5972222222222222,1.0,144,TSM+LLM-COT-RF_blend_ramp_bestval_path_h1base
30,0.031286841277809195,0.15662297148764387,0.19975895604992683,0.5694444444444444,1.0,144,TSM+LLM-COT-RF_blend_ramp_bestval_path_h1base
1,-0.0007230896404103583,0.017921407367912392,-0.040347815635563486,0.4652777777777778,1.0,144,TSM+LLM-COT-RF_blend_ramp_bestval_h1
5,0.0052285182941381615,0.03898316334493971,0.13412247353746012,0.5138888888888888,1.0,144,TSM+LLM-COT-RF_blend_ramp_bestval_h1
20,0.024445167648890574,0.11340428466743181,0.2155577077231095,0.5763888888888888,1.0,144,TSM+LLM-COT-RF_blend_ramp_bestval_h1
30,0.03134888250820546,0.15661056541705243,0.2001709298777109,0.5277777777777778,1.0,144,TSM+LLM-COT-RF_blend_ramp_bestval_h1
1,-0.0007230896404103583,0.017921407367912392,-0.040347815635563486,0.4652777777777778,1.0,144,TSM+LLM-COT-RF_blend_ramp_bestval_h5
5,0.006052943560158989,0.03886368873624734,0.15574804546315588,0.5208333333333334,1.0,144,TSM+LLM-COT-RF_blend_ramp_bestval_h5
20,0.030723957729706954,0.11186660101986409,0.2746481742504299,0.5902777777777778,1.0,144,TSM+LLM-COT-RF_blend_ramp_bestval_h5
30,0.009896123801202824,0.15941043996072965,0.06207952128882342,0.5347222222222222,1.0,144,TSM+LLM-COT-RF_blend_ramp_bestval_h5
1,-0.0007230896404103583,0.017921407367912392,-0.040347815635563486,0.4652777777777778,1.0,144,TSM+LLM-COT-RF_blend_ramp_bestval_h20
5,0.0052285182941381615,0.03898316334493971,0.13412247353746012,0.5138888888888888,1.0,144,TSM+LLM-COT-RF_blend_ramp_bestval_h20
20,0.03231915590650816,0.11141620242947206,0.2900759063922199,0.5972222222222222,1.0,144,TSM+LLM-COT-RF_blend_ramp_bestval_h20
30,0.031286841277809195,0.15662297148764387,0.19975895604992683,0.5694444444444444,1.0,144,TSM+LLM-COT-RF_blend_ramp_bestval_h20
1,-0.0007230896404103583,0.017921407367912392,-0.040347815635563486,0.4652777777777778,1.0,144,TSM+LLM-COT-RF_blend_ramp_bestval_h30
5,0.0052285182941381615,0.03898316334493971,0.13412247353746012,0.5138888888888888,1.0,144,TSM+LLM-COT-RF_blend_ramp_bestval_h30
20,0.032989178690412596,0.11121965694806968,0.29661284340964833,0.6041666666666666,1.0,144,TSM+LLM-COT-RF_blend_ramp_bestval_h30
30,0.03223083833775794,0.15643143768056164,0.20603811366596536,0.5486111111111112,1.0,144,TSM+LLM-COT-RF_blend_ramp_bestval_h30
1,0.0,0.0,,,0.0,0,naive_persistence_llm_subset
5,0.0,0.0,,,0.0,0,naive_persistence_llm_subset
20,0.0,0.0,,,0.0,0,naive_persistence_llm_subset
30,0.0,0.0,,,0.0,0,naive_persistence_llm_subset
1,0.0022377048145345827,0.017795852826929706,0.1257430501531435,0.5763888888888888,1.0,144,seasonal_naive_llm_subset
5,-0.0021369360337202023,0.03927413821229152,-0.054410768281388064,0.4930555555555556,1.0,144,seasonal_naive_llm_subset
20,0.005722938891267404,0.11586779523560935,0.04939197194207583,0.5486111111111112,1.0,144,seasonal_naive_llm_subset
30,-0.00826314113025243,0.15950342357900552,-0.05180541548789714,0.4791666666666667,1.0,144,seasonal_naive_llm_subset
1,0.0014886867870195096,0.017874101720782694,0.08328736236789869,0.5416666666666666,1.0,144,linear_ridge_llm_subset
5,0.012917384810053691,0.03715058004391564,0.3477034489040029,0.6041666666666666,1.0,144,linear_ridge_llm_subset
20,0.0578522061469913,0.1005545635276704,0.5753314829025303,0.8125,1.0,144,linear_ridge_llm_subset
30,0.09624778961167774,0.12745973728840154,0.7551230816826421,0.9166666666666666,1.0,144,linear_ridge_llm_subset
1,0.002290429625443519,0.017789143678255678,0.12875434966794919,0.5416666666666666,1.0,144,linear_lasso_llm_subset
5,0.012036918186317457,0.0374451202228847,0.32145492162049616,0.5833333333333334,1.0,144,linear_lasso_llm_subset
20,0.06355338969539541,0.09705186582719307,0.6548394423303124,0.8263888888888888,1.0,144,linear_lasso_llm_subset
