model,subset,n_samples,mse_path,rmse_path,mae_path,mape_path
naive_persistence,full,144,32.011234283447266,5.657846927642822,3.5690207481384277,6.431763619184494
seasonal_naive,full,144,34.19218747489146,5.847408611931567,3.7917337355790317,6.816424761474852
linear_ridge,full,144,22.419955242336467,4.734971514416583,2.7844545549816555,5.035705781848396
linear_lasso,full,144,24.320129333238288,4.931544315246319,2.923677908932721,5.232826580295162
tsm,full,144,29.782794952392578,5.457361698150635,3.5302023887634277,6.317472457885742
linear_ridge+LLM-COT-RF,llm_subset,144,27.459043802918295,5.240137765643027,3.419247720965633,6.103491684991947
linear_ridge+LLM-COT-RF_blend_ramp_bestval_path,llm_subset,144,24.246459823310254,4.924069437295767,3.027466529384579,5.429945500753177
linear_ridge+LLM-COT-RF_blend_ramp_bestval_path_h1base,llm_subset,144,24.246459823310254,4.924069437295767,3.027466529384579,5.429945500753177
linear_ridge+LLM-COT-RF_blend_ramp_bestval_h1,llm_subset,144,22.419955242336467,4.734971514416583,2.7844545549816555,5.035705781848396
linear_ridge+LLM-COT-RF_blend_ramp_bestval_h5,llm_subset,144,25.419547122412865,5.041780154113511,3.164108984157957,5.6612593638679884
linear_ridge+LLM-COT-RF_blend_ramp_bestval_h20,llm_subset,144,25.419547122412865,5.041780154113511,3.164108984157957,5.6612593638679884
linear_ridge+LLM-COT-RF_blend_ramp_bestval_h30,llm_subset,144,22.74666388327205,4.769346274204889,2.8210148629137386,5.087380618186822
naive_persistence_llm_subset,llm_subset,144,32.011234283447266,5.657846927642822,3.5690207481384277,6.431763619184494
seasonal_naive_llm_subset,llm_subset,144,34.19218747489146,5.847408611931567,3.7917337355790317,6.816424761474852
linear_ridge_llm_subset,llm_subset,144,22.419955242336467,4.734971514416583,2.7844545549816555,5.035705781848396
linear_lasso_llm_subset,llm_subset,144,24.320129333238288,4.931544315246319,2.923677908932721,5.232826580295162
tsm_llm_subset,llm_subset,144,29.782794952392578,5.457361698150635,3.5302023887634277,6.317472457885742
