horizon,mse,rmse,mae,mape,noise_level,model
1,18.99786587464997,4.358654135699456,3.947796846814617,6.933672699895486,0.05,tsm
5,298.82942722109976,17.286683522905708,15.940818505302097,27.702254875091654,0.05,tsm
20,895.7284856059309,29.928723420920093,27.332475304285822,46.92069236185946,0.05,tsm
30,1089.102221730019,33.00154877774707,30.174151126761316,52.31182706935746,0.05,tsm
1,19.59839774670368,4.427007764472938,3.986013701334923,7.003015128954374,0.1,tsm
5,300.07577477519914,17.322695366922527,15.96576382745973,27.74682879600492,0.1,tsm
20,894.4717429922613,29.907720457973078,27.301619449615753,46.864266163690424,0.1,tsm
30,1083.3890455067246,32.91487574800678,30.093975327185287,52.17270409392655,0.1,tsm
1,21.62179855733983,4.649924575446341,4.062447410375534,7.141699987072148,0.2,tsm
5,303.60462386869654,17.424253897045247,16.016608643772273,27.83794019385486,0.2,tsm
20,892.7140442237645,29.878320639282332,27.239907740275612,46.75141376735237,0.2,tsm
30,1072.6916109077483,32.75197109958038,29.933623728033226,51.89445814306468,0.2,tsm
1,24.74164910907277,4.974097818607187,4.141298572414087,7.284677958920155,0.3,tsm
5,308.51501214065786,17.56459541636692,16.068357699442515,27.93090273854102,0.3,tsm
20,891.9640609121578,29.86576737524348,27.184453416114888,46.650896563371205,0.3,tsm
30,1062.9660650797714,32.60316035417075,29.77327210405253,51.61621215035909,0.3,tsm
