horizon,mse,rmse,mae,mape,model,subset,n_samples
1,1.0613927841186523,1.030239224433899,0.7848610281944275,1.3954262249171734,naive_persistence,full,144
5,5.211897373199463,2.2829580307006836,1.6699998378753662,2.9023488983511925,naive_persistence,full,144
20,44.27585220336914,6.65401029586792,4.407985687255859,7.949555665254593,naive_persistence,full,144
30,79.98809814453125,8.94360637664795,6.379860877990723,12.072685360908508,naive_persistence,full,144
1,5.168530688185658,2.2734402759222987,1.6513192653656006,2.9001240713645444,seasonal_naive,full,144
5,5.211897344572106,2.2829580251445942,1.6699998908572726,2.902348869597151,seasonal_naive,full,144
20,44.27585121827006,6.654010160667781,4.407985872692532,7.9495553689110485,seasonal_naive,full,144
30,79.98809566169751,8.94360641249924,6.379861010445489,12.072684485576755,seasonal_naive,full,144
1,1.0615366565260855,1.030309010212997,0.7812829547458224,1.3830408796760547,linear_ridge,full,144
5,4.59362996417369,2.14327552222613,1.566316631105211,2.7039762667940774,linear_ridge,full,144
20,30.154391664669575,5.491301454543319,3.3279347684648304,6.072468005883625,linear_ridge,full,144
30,56.90939283760084,7.543831442814774,4.78767810927497,9.189168640647804,linear_ridge,full,144
1,1.154097242417265,1.074289180070834,0.8306177457173666,1.484730775032686,linear_lasso,full,144
5,4.739419375089003,2.177020756696868,1.611880169974433,2.7985305776747476,linear_lasso,full,144
20,32.11311195830472,5.666843209257225,3.4354690180884466,6.166131434887028,linear_lasso,full,144
30,62.09737962251287,7.880189060074185,5.235035419464111,9.896493645860465,linear_lasso,full,144
1,0.6801705360412598,0.8247244954109192,0.6560004949569702,1.166403479874134,naive_persistence_llm_subset,llm_subset,20
5,4.96995735168457,2.229340076446533,1.4149996042251587,2.4007026106119156,naive_persistence_llm_subset,llm_subset,20
20,24.11763572692871,4.910971164703369,3.697000026702881,6.063132733106613,naive_persistence_llm_subset,llm_subset,20
30,78.1071548461914,8.837824821472168,6.65749979019165,12.01356053352356,naive_persistence_llm_subset,llm_subset,20
1,3.9164342092939477,1.978998284307985,1.4694997787475585,2.706237145304654,seasonal_naive_llm_subset,llm_subset,20
5,4.969957316442015,2.2293401078440263,1.4149995803833009,2.4007026486083127,seasonal_naive_llm_subset,llm_subset,20
20,24.117637355199257,4.910971121397402,3.696999740600586,6.06313291998236,seasonal_naive_llm_subset,llm_subset,20
30,78.1071517872646,8.83782505977939,6.657500267028809,12.013560779135627,seasonal_naive_llm_subset,llm_subset,20
1,0.7060599821124924,0.8402737542685077,0.6521347045898438,1.1582869946875636,linear_ridge_llm_subset,llm_subset,20
5,4.971675367805437,2.229725401883702,1.43078670501709,2.412809883932217,linear_ridge_llm_subset,llm_subset,20
20,11.476238912618282,3.387659798831382,2.617522621154785,4.339488370455006,linear_ridge_llm_subset,llm_subset,20
30,50.834154947624484,7.129807497234724,4.939676666259766,8.979056158824564,linear_ridge_llm_subset,llm_subset,20
1,0.7573316937428899,0.8702480644867243,0.7180305480957031,1.2943792287748574,linear_lasso_llm_subset,llm_subset,20
5,5.176285639515845,2.2751451908649356,1.4726768493652345,2.4934817085631384,linear_lasso_llm_subset,llm_subset,20
20,15.435753350263258,3.928836131765139,2.682301902770996,4.343510581822935,linear_lasso_llm_subset,llm_subset,20
30,61.91053587588176,7.868324845599714,5.713213157653809,10.227275564233192,linear_lasso_llm_subset,llm_subset,20
