horizon,mse,rmse,mae,mape,noise_level,model
1,1.2148894262428496,1.1022202258364022,0.820331122965411,1.4458291213482184,0.05,tsm
5,4.5981058480765595,2.1443194370421024,1.5267141592122278,2.62331092846695,0.05,tsm
20,29.85606044933375,5.464069952822141,3.5863470090989864,6.4680059438070385,0.05,tsm
30,59.44966033617139,7.710360584056454,5.391904798563341,10.187864211584559,0.05,tsm
1,1.2067877904912274,1.0985389344448504,0.8175769378558707,1.442078865135522,0.1,tsm
5,4.612018251468463,2.1475610006396706,1.5266479351126823,2.624180930234253,0.1,tsm
20,29.849312569735876,5.46345244051194,3.5891053120754686,6.47247947261952,0.1,tsm
30,59.42055232685339,7.708472762282642,5.386972389120566,10.17891132098321,0.1,tsm
1,1.1964850340048254,1.093839583304986,0.8127030910672014,1.4358964452183036,0.2,tsm
5,4.648398000042034,2.1560143784404673,1.5277300012070574,2.6283549277296645,0.2,tsm
20,29.84260023912727,5.462838112110523,3.5946219180284325,6.481426530244481,0.2,tsm
30,59.36763477271248,7.70503956983431,5.377107570235015,10.161005539780506,0.2,tsm
1,1.1940496330735373,1.0927257812797946,0.8105921262178999,1.4345882848462304,0.3,tsm
5,4.696184342122501,2.167068144319071,1.5320295909451878,2.6380646739747977,0.3,tsm
20,29.844932471222453,5.463051571349336,3.600962332831175,6.4920073705751316,0.3,tsm
30,59.32178182886129,7.702063478630989,5.367677625899703,10.143880222468075,0.3,tsm
1,1.0428549387198245,1.021202692279953,0.7754731689269769,1.3753727622681813,0.05,linear_ridge+LLM-COT-RF-HDELTA
5,4.703495316165375,2.168754323607304,1.5816237694434743,2.7267551762395463,0.05,linear_ridge+LLM-COT-RF-HDELTA
20,30.138625188912517,5.489865680407173,3.303247703706982,6.035378631065442,0.05,linear_ridge+LLM-COT-RF-HDELTA
30,57.28831603781771,7.568904546750323,4.83964156163979,9.273362028290345,0.05,linear_ridge+LLM-COT-RF-HDELTA
1,1.0401015272989595,1.0198536793574653,0.7761828991447467,1.377400045058277,0.1,linear_ridge+LLM-COT-RF-HDELTA
5,4.716295651461711,2.171703398593305,1.5849045219706719,2.7326909145930243,0.1,linear_ridge+LLM-COT-RF-HDELTA
20,30.152206619407018,5.49110249580237,3.30391992472342,6.036394691047182,0.1,linear_ridge+LLM-COT-RF-HDELTA
30,57.26300622035951,7.567232401635324,4.833997898603446,9.263185216734673,0.1,linear_ridge+LLM-COT-RF-HDELTA
1,1.0447781528694742,1.0221439002750417,0.7809260442566486,1.3870667567152912,0.2,linear_ridge+LLM-COT-RF-HDELTA
5,4.75493485207463,2.1805813105854663,1.5930698175351028,2.747428698605958,0.2,linear_ridge+LLM-COT-RF-HDELTA
20,30.190014835556124,5.494544097152749,3.308074574768409,6.043668394865964,0.2,linear_ridge+LLM-COT-RF-HDELTA
30,57.22389811448334,7.5646479174171315,4.826913771980684,9.250681576170852,0.2,linear_ridge+LLM-COT-RF-HDELTA
1,1.0630327096563126,1.0310347761624301,0.794394868416268,1.4126157658586371,0.3,linear_ridge+LLM-COT-RF-HDELTA
5,4.8109587593812115,2.193389787379619,1.6019623882341594,2.763649141886751,0.3,linear_ridge+LLM-COT-RF-HDELTA
20,30.242016858585398,5.499274211983377,3.3153353018758582,6.056411220674093,0.3,linear_ridge+LLM-COT-RF-HDELTA
30,57.200138713994164,7.563077330954257,4.829334041212104,9.256422760326373,0.3,linear_ridge+LLM-COT-RF-HDELTA
