horizon,accuracy,accuracy_up,accuracy_down,accuracy_flat,n_up,n_down,n_flat,model,subset,n_samples
1,0.3958333333333333,0.0,0.0,1.0,52,35,57,naive_persistence,full,144
5,0.2361111111111111,0.0,0.0,1.0,70,40,34,naive_persistence,full,144
20,0.11805555555555555,0.0,0.0,1.0,90,37,17,naive_persistence,full,144
30,0.0763888888888889,0.0,0.0,1.0,100,33,11,naive_persistence,full,144
1,0.375,0.36538461538461536,0.6285714285714286,0.22807017543859648,52,35,57,seasonal_naive,full,144
5,0.2361111111111111,0.0,0.0,1.0,70,40,34,seasonal_naive,full,144
20,0.11805555555555555,0.0,0.0,1.0,90,37,17,seasonal_naive,full,144
30,0.0763888888888889,0.0,0.0,1.0,100,33,11,seasonal_naive,full,144
1,0.4305555555555556,0.057692307692307696,0.08571428571428572,0.9824561403508771,52,35,57,linear_ridge,full,144
5,0.4513888888888889,0.5142857142857142,0.125,0.7058823529411765,70,40,34,linear_ridge,full,144
20,0.7083333333333334,0.9555555555555556,0.35135135135135137,0.17647058823529413,90,37,17,linear_ridge,full,144
30,0.8333333333333334,0.99,0.6060606060606061,0.09090909090909091,100,33,11,linear_ridge,full,144
1,0.4236111111111111,0.28846153846153844,0.11428571428571428,0.7368421052631579,52,35,57,linear_lasso,full,144
5,0.3888888888888889,0.4142857142857143,0.15,0.6176470588235294,70,40,34,linear_lasso,full,144
20,0.7083333333333334,0.9222222222222223,0.4594594594594595,0.11764705882352941,90,37,17,linear_lasso,full,144
30,0.7361111111111112,0.75,0.7575757575757576,0.5454545454545454,100,33,11,linear_lasso,full,144
1,0.4097222222222222,0.19230769230769232,0.11428571428571428,0.7894736842105263,52,35,57,tsm,full,144
5,0.4513888888888889,0.42857142857142855,0.4,0.5588235294117647,70,40,34,tsm,full,144
20,0.5347222222222222,0.5666666666666667,0.5675675675675675,0.29411764705882354,90,37,17,tsm,full,144
30,0.6180555555555556,0.59,0.8181818181818182,0.2727272727272727,100,33,11,tsm,full,144
1,0.4097222222222222,0.19230769230769232,0.11428571428571428,0.7894736842105263,52,35,57,TSM+LLM-COT-RF-HDELTA,llm_subset,144
5,0.4513888888888889,0.42857142857142855,0.4,0.5588235294117647,70,40,34,TSM+LLM-COT-RF-HDELTA,llm_subset,144
20,0.5347222222222222,0.5666666666666667,0.5675675675675675,0.29411764705882354,90,37,17,TSM+LLM-COT-RF-HDELTA,llm_subset,144
30,0.6180555555555556,0.59,0.8181818181818182,0.2727272727272727,100,33,11,TSM+LLM-COT-RF-HDELTA,llm_subset,144
1,0.3958333333333333,0.0,0.0,1.0,52,35,57,naive_persistence_llm_subset,llm_subset,144
5,0.2361111111111111,0.0,0.0,1.0,70,40,34,naive_persistence_llm_subset,llm_subset,144
20,0.11805555555555555,0.0,0.0,1.0,90,37,17,naive_persistence_llm_subset,llm_subset,144
30,0.0763888888888889,0.0,0.0,1.0,100,33,11,naive_persistence_llm_subset,llm_subset,144
1,0.375,0.36538461538461536,0.6285714285714286,0.22807017543859648,52,35,57,seasonal_naive_llm_subset,llm_subset,144
5,0.2361111111111111,0.0,0.0,1.0,70,40,34,seasonal_naive_llm_subset,llm_subset,144
20,0.11805555555555555,0.0,0.0,1.0,90,37,17,seasonal_naive_llm_subset,llm_subset,144
30,0.0763888888888889,0.0,0.0,1.0,100,33,11,seasonal_naive_llm_subset,llm_subset,144
1,0.4305555555555556,0.057692307692307696,0.08571428571428572,0.9824561403508771,52,35,57,linear_ridge_llm_subset,llm_subset,144
5,0.4513888888888889,0.5142857142857142,0.125,0.7058823529411765,70,40,34,linear_ridge_llm_subset,llm_subset,144
20,0.7083333333333334,0.9555555555555556,0.35135135135135137,0.17647058823529413,90,37,17,linear_ridge_llm_subset,llm_subset,144
30,0.8333333333333334,0.99,0.6060606060606061,0.09090909090909091,100,33,11,linear_ridge_llm_subset,llm_subset,144
1,0.4236111111111111,0.28846153846153844,0.11428571428571428,0.7368421052631579,52,35,57,linear_lasso_llm_subset,llm_subset,144
5,0.3888888888888889,0.4142857142857143,0.15,0.6176470588235294,70,40,34,linear_lasso_llm_subset,llm_subset,144
20,0.7083333333333334,0.9222222222222223,0.4594594594594595,0.11764705882352941,90,37,17,linear_lasso_llm_subset,llm_subset,144
30,0.7361111111111112,0.75,0.7575757575757576,0.5454545454545454,100,33,11,linear_lasso_llm_subset,llm_subset,144
1,0.4097222222222222,0.19230769230769232,0.11428571428571428,0.7894736842105263,52,35,57,tsm_llm_subset,llm_subset,144
5,0.4513888888888889,0.42857142857142855,0.4,0.5588235294117647,70,40,34,tsm_llm_subset,llm_subset,144
20,0.5347222222222222,0.5666666666666667,0.5675675675675675,0.29411764705882354,90,37,17,tsm_llm_subset,llm_subset,144
30,0.6180555555555556,0.59,0.8181818181818182,0.2727272727272727,100,33,11,tsm_llm_subset,llm_subset,144
