horizon,mean_return,volatility,sharpe,hit_rate,trade_rate,n_trades,model
1,0.0,0.0,,,0.0,0,naive_persistence
5,0.0,0.0,,,0.0,0,naive_persistence
20,0.0,0.0,,,0.0,0,naive_persistence
30,0.0,0.0,,,0.0,0,naive_persistence
1,0.0022377048145345827,0.017795852826929706,0.1257430501531435,0.5763888888888888,1.0,144,seasonal_naive
5,-0.0021369360337202023,0.03927413821229152,-0.054410768281388064,0.4930555555555556,1.0,144,seasonal_naive
20,0.005722938891267404,0.11586779523560935,0.04939197194207583,0.5486111111111112,1.0,144,seasonal_naive
30,-0.00826314113025243,0.15950342357900552,-0.05180541548789714,0.4791666666666667,1.0,144,seasonal_naive
1,0.0014886867870195096,0.017874101720782694,0.08328736236789869,0.5416666666666666,1.0,144,linear_ridge
5,0.012917384810053691,0.03715058004391564,0.3477034489040029,0.6041666666666666,1.0,144,linear_ridge
20,0.0578522061469913,0.1005545635276704,0.5753314829025303,0.8125,1.0,144,linear_ridge
30,0.09624778961167774,0.12745973728840154,0.7551230816826421,0.9166666666666666,1.0,144,linear_ridge
1,0.002290429625443519,0.017789143678255678,0.12875434966794919,0.5416666666666666,1.0,144,linear_lasso
5,0.012036918186317457,0.0374451202228847,0.32145492162049616,0.5833333333333334,1.0,144,linear_lasso
20,0.06355338969539541,0.09705186582719307,0.6548394423303124,0.8263888888888888,1.0,144,linear_lasso
30,0.10004526862434836,0.12450126851018063,0.8035682673881152,0.9097222222222222,1.0,144,linear_lasso
1,0.0028365276177484905,0.017710274186146395,0.16016282909766147,0.5625,1.0,144,tsm
5,0.015257888822007872,0.0362521896804267,0.42088185448963156,0.6736111111111112,1.0,144,tsm
20,0.0557789180731763,0.10171927202305452,0.5483613573299473,0.7152777777777778,1.0,144,tsm
30,0.09313689176795176,0.12975030260684156,0.7178163741950362,0.8055555555555556,1.0,144,tsm
1,0.003788804060604889,0.0141157634792684,0.26840943220460206,0.7,1.0,20,TSM+LLM-COT-RF-HDELTA
5,0.007224667421542108,0.0365165670927607,0.19784629270297363,0.55,1.0,20,TSM+LLM-COT-RF-HDELTA
20,0.04911290204618126,0.06437621815803224,0.7629044304158682,0.8,1.0,20,TSM+LLM-COT-RF-HDELTA
30,0.10377050805836915,0.11617872199320803,0.8931971903119723,0.95,1.0,20,TSM+LLM-COT-RF-HDELTA
1,0.0,0.0,,,0.0,0,naive_persistence_llm_subset
5,0.0,0.0,,,0.0,0,naive_persistence_llm_subset
20,0.0,0.0,,,0.0,0,naive_persistence_llm_subset
30,0.0,0.0,,,0.0,0,naive_persistence_llm_subset
1,0.0015181580631178804,0.014536334163319644,0.10443885274381864,0.7,1.0,20,seasonal_naive_llm_subset
5,-0.011014281050302088,0.03555757450300768,-0.3097590655226057,0.4,1.0,20,seasonal_naive_llm_subset
20,0.013046146533451975,0.07991353247326796,0.16325328301331277,0.55,1.0,20,seasonal_naive_llm_subset
30,-0.03427255786955356,0.15195790721033664,-0.22553981229890377,0.45,1.0,20,seasonal_naive_llm_subset
1,-0.0012266638383152894,0.014563828845467572,-0.0842267408750166,0.6,1.0,20,linear_ridge_llm_subset
5,0.009436722635291517,0.03600838454438857,0.2620701471252785,0.65,1.0,20,linear_ridge_llm_subset
20,0.05807674864772707,0.056422210859173955,1.029324228231374,0.9,1.0,20,linear_ridge_llm_subset
30,0.11598100606352091,0.10399144204770268,1.1152937566758465,1.0,1.0,20,linear_ridge_llm_subset
1,0.002461533220775891,0.014406618930731814,0.17086127096240564,0.6,1.0,20,linear_lasso_llm_subset
5,0.009436722635291517,0.03600838454438857,0.2620701471252785,0.65,1.0,20,linear_lasso_llm_subset
20,0.05807674864772707,0.056422210859173955,1.029324228231374,0.9,1.0,20,linear_lasso_llm_subset
30,0.09188595060259104,0.12578865556370883,0.7304788352400594,0.9,1.0,20,linear_lasso_llm_subset
1,0.003788804060604889,0.0141157634792684,0.26840943220460206,0.7,1.0,20,tsm_llm_subset
5,0.007224667421542108,0.0365165670927607,0.19784629270297363,0.55,1.0,20,tsm_llm_subset
20,0.045574254379607736,0.06692803560146646,0.680944150983107,0.75,1.0,20,tsm_llm_subset
30,0.10377050805836915,0.11617872199320803,0.8931971903119723,0.95,1.0,20,tsm_llm_subset
