horizon,mse,rmse,mae,mape,noise_level,model
1,1.2148894262428496,1.1022202258364022,0.820331122965411,1.4458291213482184,0.05,tsm
5,4.5981058480765595,2.1443194370421024,1.5267141592122278,2.62331092846695,0.05,tsm
20,29.85606044933375,5.464069952822141,3.5863470090989864,6.4680059438070385,0.05,tsm
30,59.44966033617139,7.710360584056454,5.391904798563341,10.187864211584559,0.05,tsm
1,1.2067877904912274,1.0985389344448504,0.8175769378558707,1.442078865135522,0.1,tsm
5,4.612018251468463,2.1475610006396706,1.5266479351126823,2.624180930234253,0.1,tsm
20,29.849312569735876,5.46345244051194,3.5891053120754686,6.47247947261952,0.1,tsm
30,59.42055232685339,7.708472762282642,5.386972389120566,10.17891132098321,0.1,tsm
1,1.1964850340048254,1.093839583304986,0.8127030910672014,1.4358964452183036,0.2,tsm
5,4.648398000042034,2.1560143784404673,1.5277300012070574,2.6283549277296645,0.2,tsm
20,29.84260023912727,5.462838112110523,3.5946219180284325,6.481426530244481,0.2,tsm
30,59.36763477271248,7.70503956983431,5.377107570235015,10.161005539780506,0.2,tsm
1,1.1940496330735373,1.0927257812797946,0.8105921262178999,1.4345882848462304,0.3,tsm
5,4.696184342122501,2.167068144319071,1.5320295909451878,2.6380646739747977,0.3,tsm
20,29.844932471222453,5.463051571349336,3.600962332831175,6.4920073705751316,0.3,tsm
30,59.32178182886129,7.702063478630989,5.367677625899703,10.143880222468075,0.3,tsm
1,1.214982867539871,1.1022626127833017,0.8203494221673837,1.4458623935696449,0.05,TSM+LLM-COT-RF-HDELTA
5,4.571164892107242,2.138028272055176,1.525606079869246,2.6213322071895,0.05,TSM+LLM-COT-RF-HDELTA
20,29.74114805374937,5.45354454036541,3.586385085750219,6.469837306953867,0.05,TSM+LLM-COT-RF-HDELTA
30,59.44979549707611,7.710369348940173,5.391919678810403,10.187896558443214,0.05,TSM+LLM-COT-RF-HDELTA
1,1.2070218359472578,1.0986454550705873,0.8176135362598167,1.442145409578376,0.1,TSM+LLM-COT-RF-HDELTA
5,4.584351176636575,2.1411098002289783,1.5244311642259665,2.620267913414943,0.1,TSM+LLM-COT-RF-HDELTA
20,29.733137137148724,5.452810022103165,3.589113811359002,6.47424838154599,0.1,TSM+LLM-COT-RF-HDELTA
30,59.42084313011146,7.708491624832413,5.3870021496146885,10.178976014700517,0.1,TSM+LLM-COT-RF-HDELTA
1,1.197141776364818,1.0941397426128063,0.8127677892841587,1.4360113397296876,0.2,TSM+LLM-COT-RF-HDELTA
5,4.619447566621972,2.1492900145447966,1.5253886613472156,2.6242324827960526,0.2,TSM+LLM-COT-RF-HDELTA
20,29.72407801129588,5.451979274657588,3.594571262576566,6.483070530730235,0.2,TSM+LLM-COT-RF-HDELTA
30,59.36829830502307,7.705082628046442,5.37716709122326,10.161134927215123,0.2,TSM+LLM-COT-RF-HDELTA
1,1.195317721586096,1.0933058682665597,0.8110533361360805,1.4353726372357232,0.3,TSM+LLM-COT-RF-HDELTA
5,4.666175717843001,2.1601332639082713,1.528086753784064,2.631545783375451,0.3,TSM+LLM-COT-RF-HDELTA
20,29.72430249524104,5.45199986199936,3.6000536253520434,6.491937565604415,0.3,TSM+LLM-COT-RF-HDELTA
30,59.32290002505589,7.70213606897826,5.3678411822016825,10.144207603833635,0.3,TSM+LLM-COT-RF-HDELTA
