horizon,mse,rmse,mae,mape,noise_level,model
1,1.2148894262428496,1.1022202258364022,0.820331122965411,1.4458291213482184,0.05,tsm
5,4.5981058480765595,2.1443194370421024,1.5267141592122278,2.62331092846695,0.05,tsm
20,29.85606044933375,5.464069952822141,3.5863470090989864,6.4680059438070385,0.05,tsm
30,59.44966033617139,7.710360584056454,5.391904798563341,10.187864211584559,0.05,tsm
1,1.2067877904912274,1.0985389344448504,0.8175769378558707,1.442078865135522,0.1,tsm
5,4.612018251468463,2.1475610006396706,1.5266479351126823,2.624180930234253,0.1,tsm
20,29.849312569735876,5.46345244051194,3.5891053120754686,6.47247947261952,0.1,tsm
30,59.42055232685339,7.708472762282642,5.386972389120566,10.17891132098321,0.1,tsm
1,1.1964850340048254,1.093839583304986,0.8127030910672014,1.4358964452183036,0.2,tsm
5,4.648398000042034,2.1560143784404673,1.5277300012070574,2.6283549277296645,0.2,tsm
20,29.84260023912727,5.462838112110523,3.5946219180284325,6.481426530244481,0.2,tsm
30,59.36763477271248,7.70503956983431,5.377107570235015,10.161005539780506,0.2,tsm
1,1.1940496330735373,1.0927257812797946,0.8105921262178999,1.4345882848462304,0.3,tsm
5,4.696184342122501,2.167068144319071,1.5320295909451878,2.6380646739747977,0.3,tsm
20,29.844932471222453,5.463051571349336,3.600962332831175,6.4920073705751316,0.3,tsm
30,59.32178182886129,7.702063478630989,5.367677625899703,10.143880222468075,0.3,tsm
1,1.2148215321491034,1.1021894266182666,0.820343725038476,1.4458981641478317,0.05,TSM+LLM-COT-RF-HDELTA
5,4.496707628411127,2.120544182140784,1.5112978738946825,2.5967455104018757,0.05,TSM+LLM-COT-RF-HDELTA
20,29.427341503115535,5.424697365117757,3.559441079377971,6.426838865545739,0.05,TSM+LLM-COT-RF-HDELTA
30,59.449516731809155,7.710351271622399,5.391781001156826,10.187640669999348,0.05,TSM+LLM-COT-RF-HDELTA
1,1.206753530994057,1.0985233411239184,0.8176021420020008,1.442216950734749,0.1,TSM+LLM-COT-RF-HDELTA
5,4.509161435260221,2.123478616624199,1.5107701285998882,2.5970405509809704,0.1,TSM+LLM-COT-RF-HDELTA
20,29.41961384650053,5.4239850522010595,3.56228295992449,6.4314442854904135,0.1,TSM+LLM-COT-RF-HDELTA
30,59.420391439750155,7.708462326544131,5.386724794307536,10.178464237812786,0.1,TSM+LLM-COT-RF-HDELTA
1,1.196822629771765,1.093993889275331,0.812802172921013,1.4362777433599212,0.2,TSM+LLM-COT-RF-HDELTA
5,4.543061063311799,2.131445768325293,1.5132698994298166,2.604167291636758,0.2,TSM+LLM-COT-RF-HDELTA
20,29.411365419404937,5.423224632947167,3.5679667210175268,6.44065512537977,0.2,TSM+LLM-COT-RF-HDELTA
30,59.36781828499099,7.7050514784127815,5.376612380608955,10.160111373439662,0.2,TSM+LLM-COT-RF-HDELTA
1,1.195165196666541,1.0932361120391794,0.8114584108381024,1.4363964232715707,0.3,TSM+LLM-COT-RF-HDELTA
5,4.588950043834561,2.142183475763587,1.5165551946874367,2.6125137429829337,0.3,TSM+LLM-COT-RF-HDELTA
20,29.412726173821923,5.4233500877061145,3.5736504821105637,6.449865965269123,0.3,TSM+LLM-COT-RF-HDELTA
30,59.32281503604359,7.702130551739797,5.366981745706266,10.14262315153843,0.3,TSM+LLM-COT-RF-HDELTA
