horizon,mse,rmse,mae,mape,noise_level,model
1,1.2148894262428496,1.1022202258364022,0.820331122965411,1.4458291213482184,0.05,tsm
5,4.5981058480765595,2.1443194370421024,1.5267141592122278,2.62331092846695,0.05,tsm
20,29.85606044933375,5.464069952822141,3.5863470090989864,6.4680059438070385,0.05,tsm
30,59.44966033617139,7.710360584056454,5.391904798563341,10.187864211584559,0.05,tsm
1,1.2067877904912274,1.0985389344448504,0.8175769378558707,1.442078865135522,0.1,tsm
5,4.612018251468463,2.1475610006396706,1.5266479351126823,2.624180930234253,0.1,tsm
20,29.849312569735876,5.46345244051194,3.5891053120754686,6.47247947261952,0.1,tsm
30,59.42055232685339,7.708472762282642,5.386972389120566,10.17891132098321,0.1,tsm
1,1.1964850340048254,1.093839583304986,0.8127030910672014,1.4358964452183036,0.2,tsm
5,4.648398000042034,2.1560143784404673,1.5277300012070574,2.6283549277296645,0.2,tsm
20,29.84260023912727,5.462838112110523,3.5946219180284325,6.481426530244481,0.2,tsm
30,59.36763477271248,7.70503956983431,5.377107570235015,10.161005539780506,0.2,tsm
1,1.1940496330735373,1.0927257812797946,0.8105921262178999,1.4345882848462304,0.3,tsm
5,4.696184342122501,2.167068144319071,1.5320295909451878,2.6380646739747977,0.3,tsm
20,29.844932471222453,5.463051571349336,3.600962332831175,6.4920073705751316,0.3,tsm
30,59.32178182886129,7.702063478630989,5.367677625899703,10.143880222468075,0.3,tsm
1,1.2149967671373811,1.1022689177951908,0.8202946364194251,1.445828003628391,0.05,TSM+LLM-COT-RF-HDELTA
5,4.512150841560773,2.1241823936660365,1.4980109690613217,2.5722476637873557,0.05,TSM+LLM-COT-RF-HDELTA
20,28.9527329629593,5.380774383205385,3.513075831759217,6.348653423958559,0.05,TSM+LLM-COT-RF-HDELTA
30,58.47305654632238,7.646767718868044,5.321430462307865,10.06119082839421,0.05,TSM+LLM-COT-RF-HDELTA
1,1.207228833800326,1.0987396569708068,0.8175566750345689,1.4421819028554257,0.1,TSM+LLM-COT-RF-HDELTA
5,4.526605626143053,2.1275821079674113,1.4972521354595814,2.572234990565138,0.1,TSM+LLM-COT-RF-HDELTA
20,28.94866823217264,5.380396661229787,3.5163456800147737,6.3540532230336035,0.1,TSM+LLM-COT-RF-HDELTA
30,58.43994702392052,7.644602476513773,5.315912654824658,10.051168368734292,0.1,TSM+LLM-COT-RF-HDELTA
1,1.1982725667031535,1.094656369233356,0.8128577238876582,1.4365212161136929,0.2,TSM+LLM-COT-RF-HDELTA
5,4.56540175444853,2.136680077701978,1.49649913027215,2.5735720947885867,0.2,TSM+LLM-COT-RF-HDELTA
20,28.948139511703047,5.380347527037919,3.522885376525887,6.364852821183693,0.2,TSM+LLM-COT-RF-HDELTA
30,58.37994420546912,7.640676946807077,5.3048770398582406,10.031123449414453,0.2,TSM+LLM-COT-RF-HDELTA
1,1.1980890990419066,1.0945725645391933,0.8119270454665641,1.437479883931031,0.3,TSM+LLM-COT-RF-HDELTA
5,4.617379961608572,2.148808963497819,1.5059093241857162,2.5914961845386117,0.3,TSM+LLM-COT-RF-HDELTA
20,28.95774511270507,5.381240109185342,3.5294250730370007,6.3756524193337825,0.3,TSM+LLM-COT-RF-HDELTA
30,58.328229688820926,7.637292038990059,5.294286413915193,10.011879194523605,0.3,TSM+LLM-COT-RF-HDELTA
