horizon,mse,rmse,mae,mape,noise_level,model
1,1.2148894262428496,1.1022202258364022,0.820331122965411,1.4458291213482184,0.05,tsm
5,4.5981058480765595,2.1443194370421024,1.5267141592122278,2.62331092846695,0.05,tsm
20,29.85606044933375,5.464069952822141,3.5863470090989864,6.4680059438070385,0.05,tsm
30,59.44966033617139,7.710360584056454,5.391904798563341,10.187864211584559,0.05,tsm
1,1.2067877904912274,1.0985389344448504,0.8175769378558707,1.442078865135522,0.1,tsm
5,4.612018251468463,2.1475610006396706,1.5266479351126823,2.624180930234253,0.1,tsm
20,29.849312569735876,5.46345244051194,3.5891053120754686,6.47247947261952,0.1,tsm
30,59.42055232685339,7.708472762282642,5.386972389120566,10.17891132098321,0.1,tsm
1,1.1964850340048254,1.093839583304986,0.8127030910672014,1.4358964452183036,0.2,tsm
5,4.648398000042034,2.1560143784404673,1.5277300012070574,2.6283549277296645,0.2,tsm
20,29.84260023912727,5.462838112110523,3.5946219180284325,6.481426530244481,0.2,tsm
30,59.36763477271248,7.70503956983431,5.377107570235015,10.161005539780506,0.2,tsm
1,1.1940496330735373,1.0927257812797946,0.8105921262178999,1.4345882848462304,0.3,tsm
5,4.696184342122501,2.167068144319071,1.5320295909451878,2.6380646739747977,0.3,tsm
20,29.844932471222453,5.463051571349336,3.600962332831175,6.4920073705751316,0.3,tsm
30,59.32178182886129,7.702063478630989,5.367677625899703,10.143880222468075,0.3,tsm
1,1.215501863468741,1.1024980106416251,0.8203960883772596,1.4459963002648242,0.05,TSM+LLM-COT-RF-HDELTA
5,4.591830447344786,2.1428556758085193,1.5269138350707996,2.6226215901218866,0.05,TSM+LLM-COT-RF-HDELTA
20,28.29881498887391,5.319663052193617,3.4515698279999216,6.233009189995722,0.05,TSM+LLM-COT-RF-HDELTA
30,57.386083810029085,7.575360308924526,5.213951527118422,9.867069793962147,0.05,TSM+LLM-COT-RF-HDELTA
1,1.208359989728943,1.0992542880193568,0.8177613467504048,1.4425220267857273,0.1,TSM+LLM-COT-RF-HDELTA
5,4.6064079521587065,2.1462544006148727,1.5276614210267405,2.6252762209932317,0.1,TSM+LLM-COT-RF-HDELTA
20,28.28997794756954,5.31883238573745,3.454678937428269,6.238070960116599,0.1,TSM+LLM-COT-RF-HDELTA
30,57.35531204662477,7.573328993687305,5.207746893665003,9.855842166245294,0.1,TSM+LLM-COT-RF-HDELTA
1,1.2010187316239866,1.09591000160779,0.8132596636829488,1.4371843239080584,0.2,TSM+LLM-COT-RF-HDELTA
5,4.645360241448216,2.155309778534913,1.5294507225171632,2.631091105654516,0.2,TSM+LLM-COT-RF-HDELTA
20,28.28016952725552,5.317910259421037,3.461109508143015,6.248572754473701,0.2,TSM+LLM-COT-RF-HDELTA
30,57.300156337545936,7.569686673670578,5.1957400097521145,9.834115601476306,0.2,TSM+LLM-COT-RF-HDELTA
1,1.202934126018551,1.0967835365369736,0.812920317319553,1.4389102363261026,0.3,TSM+LLM-COT-RF-HDELTA
5,4.69737557028661,2.167342974770401,1.5356918861531357,2.64399683720792,0.3,TSM+LLM-COT-RF-HDELTA
20,28.280848656667814,5.317974112071985,3.467570337445556,6.259127568960396,0.3,TSM+LLM-COT-RF-HDELTA
30,57.25351771877357,7.5666054290397335,5.183847887656834,9.8126157857858,0.3,TSM+LLM-COT-RF-HDELTA
