horizon,mse,rmse,mae,mape,noise_level,model
1,1.2148894262428496,1.1022202258364022,0.820331122965411,1.4458291213482184,0.05,tsm
5,4.5981058480765595,2.1443194370421024,1.5267141592122278,2.62331092846695,0.05,tsm
20,29.85606044933375,5.464069952822141,3.5863470090989864,6.4680059438070385,0.05,tsm
30,59.44966033617139,7.710360584056454,5.391904798563341,10.187864211584559,0.05,tsm
1,1.2067877904912274,1.0985389344448504,0.8175769378558707,1.442078865135522,0.1,tsm
5,4.612018251468463,2.1475610006396706,1.5266479351126823,2.624180930234253,0.1,tsm
20,29.849312569735876,5.46345244051194,3.5891053120754686,6.47247947261952,0.1,tsm
30,59.42055232685339,7.708472762282642,5.386972389120566,10.17891132098321,0.1,tsm
1,1.1964850340048254,1.093839583304986,0.8127030910672014,1.4358964452183036,0.2,tsm
5,4.648398000042034,2.1560143784404673,1.5277300012070574,2.6283549277296645,0.2,tsm
20,29.84260023912727,5.462838112110523,3.5946219180284325,6.481426530244481,0.2,tsm
30,59.36763477271248,7.70503956983431,5.377107570235015,10.161005539780506,0.2,tsm
1,1.1940496330735373,1.0927257812797946,0.8105921262178999,1.4345882848462304,0.3,tsm
5,4.696184342122501,2.167068144319071,1.5320295909451878,2.6380646739747977,0.3,tsm
20,29.844932471222453,5.463051571349336,3.600962332831175,6.4920073705751316,0.3,tsm
30,59.32178182886129,7.702063478630989,5.367677625899703,10.143880222468075,0.3,tsm
1,1.2150432643887135,1.1022900092029835,0.820414797966268,1.4459741397915207,0.05,TSM+LLM-COT-RF-HDELTA
5,4.569624717577481,2.1376680559847174,1.5133296899930477,2.6000861018283192,0.05,TSM+LLM-COT-RF-HDELTA
20,29.82010324816146,5.460778630210298,3.581150144017827,6.457437182139275,0.05,TSM+LLM-COT-RF-HDELTA
30,59.36478853944285,7.704854868162206,5.386463922556367,10.178246006950257,0.05,TSM+LLM-COT-RF-HDELTA
1,1.2071047109551118,1.0986831713260705,0.8177442878575847,1.4423689020221266,0.1,TSM+LLM-COT-RF-HDELTA
5,4.583479331384603,2.1409061939712823,1.5130058459436984,2.600503442150119,0.1,TSM+LLM-COT-RF-HDELTA
20,29.813878101692087,5.460208613385764,3.5842514001735535,6.462503457158314,0.1,TSM+LLM-COT-RF-HDELTA
30,59.33513413320874,7.702930230322013,5.381521894394278,10.169290247570855,0.1,TSM+LLM-COT-RF-HDELTA
1,1.1971558516212115,1.0941461747048296,0.8130377908928003,1.436476518608352,0.2,TSM+LLM-COT-RF-HDELTA
5,4.619744424889654,2.1493590730470453,1.513572672332716,2.60377211711552,0.2,TSM+LLM-COT-RF-HDELTA
20,29.808231243028995,5.459691497056312,3.590453912485008,6.4726360071963915,0.2,TSM+LLM-COT-RF-HDELTA
30,59.28116511282784,7.699426284654451,5.371637838070101,10.151378728812052,0.2,TSM+LLM-COT-RF-HDELTA
1,1.1951113223317165,1.093211471917358,0.8110941744548132,1.4354583923091795,0.3,TSM+LLM-COT-RF-HDELTA
5,4.667417339582444,2.160420639501124,1.5173570216236376,2.612576539496994,0.3,TSM+LLM-COT-RF-HDELTA
20,29.81165563006681,5.460005094326086,3.5974553217316125,6.484357453325449,0.3,TSM+LLM-COT-RF-HDELTA
30,59.23431581523005,7.696383294459161,5.362188657462994,10.13424767614719,0.3,TSM+LLM-COT-RF-HDELTA
