horizon,mse,rmse,mae,mape,noise_level,model
1,1.2148894262428496,1.1022202258364022,0.820331122965411,1.4458291213482184,0.05,tsm
5,4.5981058480765595,2.1443194370421024,1.5267141592122278,2.62331092846695,0.05,tsm
20,29.85606044933375,5.464069952822141,3.5863470090989864,6.4680059438070385,0.05,tsm
30,59.44966033617139,7.710360584056454,5.391904798563341,10.187864211584559,0.05,tsm
1,1.2067877904912274,1.0985389344448504,0.8175769378558707,1.442078865135522,0.1,tsm
5,4.612018251468463,2.1475610006396706,1.5266479351126823,2.624180930234253,0.1,tsm
20,29.849312569735876,5.46345244051194,3.5891053120754686,6.47247947261952,0.1,tsm
30,59.42055232685339,7.708472762282642,5.386972389120566,10.17891132098321,0.1,tsm
1,1.1964850340048254,1.093839583304986,0.8127030910672014,1.4358964452183036,0.2,tsm
5,4.648398000042034,2.1560143784404673,1.5277300012070574,2.6283549277296645,0.2,tsm
20,29.84260023912727,5.462838112110523,3.5946219180284325,6.481426530244481,0.2,tsm
30,59.36763477271248,7.70503956983431,5.377107570235015,10.161005539780506,0.2,tsm
1,1.1940496330735373,1.0927257812797946,0.8105921262178999,1.4345882848462304,0.3,tsm
5,4.696184342122501,2.167068144319071,1.5320295909451878,2.6380646739747977,0.3,tsm
20,29.844932471222453,5.463051571349336,3.600962332831175,6.4920073705751316,0.3,tsm
30,59.32178182886129,7.702063478630989,5.367677625899703,10.143880222468075,0.3,tsm
1,1.2160032199198665,1.1027253601508702,0.8207935865191754,1.4466254934991862,0.05,TSM+LLM-COT-RF-HDELTA
5,4.46233591687653,2.1124241801486106,1.5111945267589215,2.5993286522423475,0.05,TSM+LLM-COT-RF-HDELTA
20,29.191413501403915,5.402907874599003,3.4718339780596934,6.282080260752789,0.05,TSM+LLM-COT-RF-HDELTA
30,59.40792420544372,7.707653612185989,5.275198838009617,10.007309089248489,0.05,TSM+LLM-COT-RF-HDELTA
1,1.2090879702297757,1.0995853628662833,0.8185021506383887,1.4436721799886674,0.1,TSM+LLM-COT-RF-HDELTA
5,4.474872895078394,2.1153895374323834,1.5122999356748,2.602478495256788,0.1,TSM+LLM-COT-RF-HDELTA
20,29.1797234116127,5.40182593310935,3.4743259727744373,6.286045775990531,0.1,TSM+LLM-COT-RF-HDELTA
30,59.3794544021246,7.7058065380675504,5.269554193279763,9.997044069561479,0.1,TSM+LLM-COT-RF-HDELTA
1,1.201375763019986,1.0960728821661385,0.814748675095298,1.4395017703801756,0.2,TSM+LLM-COT-RF-HDELTA
5,4.50879168105045,2.123391551516218,1.5145272881245613,2.608812386124845,0.2,TSM+LLM-COT-RF-HDELTA
20,29.16378295370361,5.400350262131486,3.4796942849665453,6.294656790822484,0.2,TSM+LLM-COT-RF-HDELTA
30,59.328308474274245,7.702487161578022,5.260626959200187,9.98061891443545,0.2,TSM+LLM-COT-RF-HDELTA
1,1.2018212787040508,1.0962760960196345,0.8136663098233191,1.440071943794281,0.3,TSM+LLM-COT-RF-HDELTA
5,4.554503573113602,2.134128293499152,1.519878101618433,2.620044539436967,0.3,TSM+LLM-COT-RF-HDELTA
20,29.157762124692308,5.399792785347629,3.485062597158653,6.303267805654437,0.3,TSM+LLM-COT-RF-HDELTA
30,59.28488745147435,7.699668009172496,5.258963348796183,9.978600386298222,0.3,TSM+LLM-COT-RF-HDELTA
