horizon,mse,rmse,mae,mape,noise_level,model
1,1.2148894262428496,1.1022202258364022,0.820331122965411,1.4458291213482184,0.05,tsm
5,4.5981058480765595,2.1443194370421024,1.5267141592122278,2.62331092846695,0.05,tsm
20,29.85606044933375,5.464069952822141,3.5863470090989864,6.4680059438070385,0.05,tsm
30,59.44966033617139,7.710360584056454,5.391904798563341,10.187864211584559,0.05,tsm
1,1.2067877904912274,1.0985389344448504,0.8175769378558707,1.442078865135522,0.1,tsm
5,4.612018251468463,2.1475610006396706,1.5266479351126823,2.624180930234253,0.1,tsm
20,29.849312569735876,5.46345244051194,3.5891053120754686,6.47247947261952,0.1,tsm
30,59.42055232685339,7.708472762282642,5.386972389120566,10.17891132098321,0.1,tsm
1,1.1964850340048254,1.093839583304986,0.8127030910672014,1.4358964452183036,0.2,tsm
5,4.648398000042034,2.1560143784404673,1.5277300012070574,2.6283549277296645,0.2,tsm
20,29.84260023912727,5.462838112110523,3.5946219180284325,6.481426530244481,0.2,tsm
30,59.36763477271248,7.70503956983431,5.377107570235015,10.161005539780506,0.2,tsm
1,1.1940496330735373,1.0927257812797946,0.8105921262178999,1.4345882848462304,0.3,tsm
5,4.696184342122501,2.167068144319071,1.5320295909451878,2.6380646739747977,0.3,tsm
20,29.844932471222453,5.463051571349336,3.600962332831175,6.4920073705751316,0.3,tsm
30,59.32178182886129,7.702063478630989,5.367677625899703,10.143880222468075,0.3,tsm
1,1.2144113344085297,1.1020033277665406,0.8201967856870626,1.445635156745857,0.05,TSM+LLM-COT-RF-HDELTA
5,4.65084279826368,2.156581275598877,1.5417117554509037,2.6500877876484594,0.05,TSM+LLM-COT-RF-HDELTA
20,29.037798429438357,5.38867316038358,3.5289589103971135,6.370610924532443,0.05,TSM+LLM-COT-RF-HDELTA
30,58.73108998931385,7.663621206017026,5.345702039797629,10.103419440182478,0.05,TSM+LLM-COT-RF-HDELTA
1,1.2060700347567623,1.0982121993297844,0.8173611987191065,1.4417966587593503,0.1,TSM+LLM-COT-RF-HDELTA
5,4.664865706293079,2.1598300179164744,1.5404060167642462,2.648988984156088,0.1,TSM+LLM-COT-RF-HDELTA
20,29.02858263160732,5.387817984268522,3.532033093485627,6.375603441339647,0.1,TSM+LLM-COT-RF-HDELTA
30,58.70177976146422,7.661708671142764,5.34053111575615,10.094033617090927,0.1,TSM+LLM-COT-RF-HDELTA
1,1.1960032342725846,1.093619327861658,0.8124153926794563,1.4356386359246014,0.2,TSM+LLM-COT-RF-HDELTA
5,4.702425282922156,2.1685076165238977,1.5414082906030986,2.653431873397706,0.2,TSM+LLM-COT-RF-HDELTA
20,29.017691485477282,5.386807169880623,3.5385949707429805,6.386318415107689,0.2,TSM+LLM-COT-RF-HDELTA
30,58.64913317243045,7.658272205427961,5.330189267673194,10.075261970907826,0.2,TSM+LLM-COT-RF-HDELTA
1,1.1947574988808893,1.0930496323959353,0.8112179101811748,1.4360131497692763,0.3,TSM+LLM-COT-RF-HDELTA
5,4.752669873644938,2.1800618967462686,1.5439859970754801,2.660496890394057,0.3,TSM+LLM-COT-RF-HDELTA
20,29.016854272056623,5.386729459705269,3.546000229668977,6.398671720940048,0.3,TSM+LLM-COT-RF-HDELTA
30,58.604451738950644,7.655354448942952,5.320986334345156,10.058526365305513,0.3,TSM+LLM-COT-RF-HDELTA
