horizon,mse,rmse,mae,mape,noise_level,model
1,1.2148894262428496,1.1022202258364022,0.820331122965411,1.4458291213482184,0.05,tsm
5,4.5981058480765595,2.1443194370421024,1.5267141592122278,2.62331092846695,0.05,tsm
20,29.85606044933375,5.464069952822141,3.5863470090989864,6.4680059438070385,0.05,tsm
30,59.44966033617139,7.710360584056454,5.391904798563341,10.187864211584559,0.05,tsm
1,1.2067877904912274,1.0985389344448504,0.8175769378558707,1.442078865135522,0.1,tsm
5,4.612018251468463,2.1475610006396706,1.5266479351126823,2.624180930234253,0.1,tsm
20,29.849312569735876,5.46345244051194,3.5891053120754686,6.47247947261952,0.1,tsm
30,59.42055232685339,7.708472762282642,5.386972389120566,10.17891132098321,0.1,tsm
1,1.1964850340048254,1.093839583304986,0.8127030910672014,1.4358964452183036,0.2,tsm
5,4.648398000042034,2.1560143784404673,1.5277300012070574,2.6283549277296645,0.2,tsm
20,29.84260023912727,5.462838112110523,3.5946219180284325,6.481426530244481,0.2,tsm
30,59.36763477271248,7.70503956983431,5.377107570235015,10.161005539780506,0.2,tsm
1,1.1940496330735373,1.0927257812797946,0.8105921262178999,1.4345882848462304,0.3,tsm
5,4.696184342122501,2.167068144319071,1.5320295909451878,2.6380646739747977,0.3,tsm
20,29.844932471222453,5.463051571349336,3.600962332831175,6.4920073705751316,0.3,tsm
30,59.32178182886129,7.702063478630989,5.367677625899703,10.143880222468075,0.3,tsm
1,1.2161536754458313,1.102793577894717,0.8206730434707027,1.4463849243058442,0.05,TSM+LLM-COT-RF-HDELTA
5,4.595452176754189,2.1437005800144266,1.5236457316898804,2.6186944408425235,0.05,TSM+LLM-COT-RF-HDELTA
20,29.84085532090901,5.46267840174662,3.5408222690470006,6.391904370353174,0.05,TSM+LLM-COT-RF-HDELTA
30,59.338809596833215,7.703168802306828,5.328114103454208,10.082491959264136,0.05,TSM+LLM-COT-RF-HDELTA
1,1.2093996142391168,1.0997270635203613,0.8183060584636441,1.443280889660619,0.1,TSM+LLM-COT-RF-HDELTA
5,4.609302577304114,2.1469286381489523,1.5240797694609793,2.620449060427805,0.1,TSM+LLM-COT-RF-HDELTA
20,29.833174509063895,5.461975330323627,3.543645191307926,6.396572058261264,0.1,TSM+LLM-COT-RF-HDELTA
30,59.31173019050633,7.701410922065277,5.323010719300352,10.0732047891085,0.1,TSM+LLM-COT-RF-HDELTA
1,1.202041982868304,1.0963767522472847,0.8143351297813041,1.4386689447609058,0.2,TSM+LLM-COT-RF-HDELTA
5,4.645888772484134,2.155432386432971,1.5252923899453685,2.624573365629824,0.2,TSM+LLM-COT-RF-HDELTA
20,29.82493070101073,5.4612206237260486,3.5492910358297753,6.40590743407744,0.2,TSM+LLM-COT-RF-HDELTA
30,59.26330239163984,7.698266193867282,5.312803950992642,10.054630448797226,0.2,TSM+LLM-COT-RF-HDELTA
1,1.2028850062209755,1.096761143650237,0.8130608501116819,1.4388475932218834,0.3,TSM+LLM-COT-RF-HDELTA
5,4.694322159771048,2.166638446942878,1.5308124825585863,2.6361423321478057,0.3,TSM+LLM-COT-RF-HDELTA
20,29.826177313807015,5.461334755699106,3.5550955856939783,6.415521925863807,0.3,TSM+LLM-COT-RF-HDELTA
30,59.2225159444897,7.695616670838647,5.306204929908367,10.043229239008205,0.3,TSM+LLM-COT-RF-HDELTA
