horizon,mse,rmse,mae,mape,model,subset,n_samples
1,0.7728632092475891,0.8791263699531555,0.71485435962677,0.9471477940678596,naive_persistence,full,103
5,2.6805949211120605,1.6372522115707397,1.313398838043213,1.7341472208499908,naive_persistence,full,103
20,8.727397918701172,2.954216957092285,2.4787375926971436,3.162478283047676,naive_persistence,full,103
30,19.501602172851562,4.416061878204346,3.949709415435791,4.92960587143898,naive_persistence,full,103
1,2.781761996982646,1.667861504137153,1.3447572282217082,1.7829531400919516,seasonal_naive,full,103
5,2.6805948626868275,1.6372522294035294,1.3133987130470646,1.7341471340420178,seasonal_naive,full,103
20,8.727398027925304,2.9542169906635674,2.478737470015739,3.162478353927016,seasonal_naive,full,103
30,19.501601840606757,4.416061802172469,3.949709105260164,4.929605750795404,seasonal_naive,full,103
1,0.7847441836656975,0.8858578800607338,0.7285706603411332,0.9650115141879471,linear_ridge,full,103
5,2.962261145159679,1.7211220599247687,1.3858584061409662,1.8280698557826054,linear_ridge,full,103
20,6.125463067731386,2.4749672861941803,2.022945811447588,2.5749895461545584,linear_ridge,full,103
30,25.023838122365703,5.002383244251254,4.532460110858806,5.6453954483048125,linear_ridge,full,103
1,4.561226986571852,2.135702925636394,1.9524526503479596,2.583576883968355,linear_lasso,full,103
5,7.831443177753703,2.7984715788718852,2.378706922808897,3.1120319999597155,linear_lasso,full,103
20,19.960867372348236,4.467758651980682,4.120481472570919,5.257012520684884,linear_lasso,full,103
30,35.29725922653915,5.941149655288878,5.529042438395972,6.898663873424665,linear_lasso,full,103
1,0.7940166592597961,0.8910761475563049,0.7295562028884888,0.9676050394773483,tsm,full,103
5,2.4644131660461426,1.5698449611663818,1.2727296352386475,1.6847912222146988,tsm,full,103
20,5.401147842407227,2.3240370750427246,1.8785265684127808,2.388211525976658,tsm,full,103
30,11.684062004089355,3.4181957244873047,2.978106737136841,3.708983212709427,tsm,full,103
1,0.7940166659723262,0.8910761280453686,0.7295561855279126,0.967605083022435,TSM+LLM-COT-RF-HDELTA,llm_subset,103
5,2.501550760311741,1.5816291475285036,1.2845295526819314,1.700508907923775,TSM+LLM-COT-RF-HDELTA,llm_subset,103
20,5.3635507301432925,2.3159340945163556,1.859700078249442,2.3698639738822527,TSM+LLM-COT-RF-HDELTA,llm_subset,103
30,11.717863788681704,3.4231365425121014,2.934100882550585,3.6570208257456454,TSM+LLM-COT-RF-HDELTA,llm_subset,103
1,0.7728632092475891,0.8791263699531555,0.71485435962677,0.9471477940678596,naive_persistence_llm_subset,llm_subset,103
5,2.6805949211120605,1.6372522115707397,1.313398838043213,1.7341472208499908,naive_persistence_llm_subset,llm_subset,103
20,8.727397918701172,2.954216957092285,2.4787375926971436,3.162478283047676,naive_persistence_llm_subset,llm_subset,103
30,19.501602172851562,4.416061878204346,3.949709415435791,4.92960587143898,naive_persistence_llm_subset,llm_subset,103
1,2.781761996982646,1.667861504137153,1.3447572282217082,1.7829531400919516,seasonal_naive_llm_subset,llm_subset,103
5,2.6805948626868275,1.6372522294035294,1.3133987130470646,1.7341471340420178,seasonal_naive_llm_subset,llm_subset,103
20,8.727398027925304,2.9542169906635674,2.478737470015739,3.162478353927016,seasonal_naive_llm_subset,llm_subset,103
30,19.501601840606757,4.416061802172469,3.949709105260164,4.929605750795404,seasonal_naive_llm_subset,llm_subset,103
1,0.7847441836656975,0.8858578800607338,0.7285706603411332,0.9650115141879471,linear_ridge_llm_subset,llm_subset,103
5,2.962261145159679,1.7211220599247687,1.3858584061409662,1.8280698557826054,linear_ridge_llm_subset,llm_subset,103
20,6.125463067731386,2.4749672861941803,2.022945811447588,2.5749895461545584,linear_ridge_llm_subset,llm_subset,103
30,25.023838122365703,5.002383244251254,4.532460110858806,5.6453954483048125,linear_ridge_llm_subset,llm_subset,103
1,4.561226986571852,2.135702925636394,1.9524526503479596,2.583576883968355,linear_lasso_llm_subset,llm_subset,103
5,7.831443177753703,2.7984715788718852,2.378706922808897,3.1120319999597155,linear_lasso_llm_subset,llm_subset,103
20,19.960867372348236,4.467758651980682,4.120481472570919,5.257012520684884,linear_lasso_llm_subset,llm_subset,103
30,35.29725922653915,5.941149655288878,5.529042438395972,6.898663873424665,linear_lasso_llm_subset,llm_subset,103
1,0.7940166592597961,0.8910761475563049,0.7295562028884888,0.9676050394773483,tsm_llm_subset,llm_subset,103
5,2.4644131660461426,1.5698449611663818,1.2727296352386475,1.6847912222146988,tsm_llm_subset,llm_subset,103
20,5.401147842407227,2.3240370750427246,1.8785265684127808,2.388211525976658,tsm_llm_subset,llm_subset,103
30,11.684062004089355,3.4181957244873047,2.978106737136841,3.708983212709427,tsm_llm_subset,llm_subset,103
