horizon,mean_return,volatility,sharpe,hit_rate,trade_rate,n_trades,transaction_cost_bps,offset_count_non_overlap,n_periods,n_trades_non_overlap,trade_rate_non_overlap,mean_return_non_overlap,volatility_non_overlap,sharpe_non_overlap,hit_rate_non_overlap,total_return_non_overlap,annualized_return_non_overlap,max_drawdown_non_overlap,mean_return_non_overlap_cost_adj,volatility_non_overlap_cost_adj,sharpe_non_overlap_cost_adj,total_return_non_overlap_cost_adj,annualized_return_non_overlap_cost_adj,max_drawdown_non_overlap_cost_adj,mean_return_non_overlap_offset_avg,volatility_non_overlap_offset_avg,sharpe_non_overlap_offset_avg,hit_rate_non_overlap_offset_avg,trade_rate_non_overlap_offset_avg,n_trades_non_overlap_offset_avg,total_return_non_overlap_offset_avg,annualized_return_non_overlap_offset_avg,max_drawdown_non_overlap_offset_avg,mean_return_non_overlap_cost_adj_offset_avg,volatility_non_overlap_cost_adj_offset_avg,sharpe_non_overlap_cost_adj_offset_avg,total_return_non_overlap_cost_adj_offset_avg,annualized_return_non_overlap_cost_adj_offset_avg,max_drawdown_non_overlap_cost_adj_offset_avg,total_return_non_overlap_offset_min,total_return_non_overlap_offset_max,total_return_non_overlap_cost_adj_offset_min,total_return_non_overlap_cost_adj_offset_max,model
1,0.0,0.0,,,0.0,0,10.0,1,99,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,naive_persistence
5,0.0,0.0,,,0.0,0,10.0,5,20,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,naive_persistence
20,0.0,0.0,,,0.0,0,10.0,20,5,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,naive_persistence
30,0.0,0.0,,,0.0,0,10.0,30,4,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,naive_persistence
1,0.006950650983866342,0.06160464614186666,0.11282673335806506,0.40404040404040403,1.0,99,10.0,1,99,99,1.0,0.008939731135618884,0.0648510925952947,2.188302872881254,0.40404040404040403,0.9899598196517205,4.763610192691688,0.2980540262550768,0.006922860613078811,0.06472145526119671,1.6979996017813903,0.6323413273808356,2.4809730953816036,0.31607830374242996,0.008939731135618884,0.0648510925952947,2.188302872881254,0.40404040404040403,1.0,99.0,0.9899598196517205,4.763610192691688,0.2980540262550768,0.006922860613078811,0.06472145526119671,1.6979996017813903,0.6323413273808356,2.4809730953816036,0.31607830374242996,0.9899598196517205,0.9899598196517205,0.6323413273808356,0.6323413273808356,seasonal_naive
5,-0.018489927372123783,0.09626918136588618,-0.1920648655133973,0.46464646464646464,1.0,99,10.0,5,20,20,1.0,-0.02076707397625401,0.09186225796698563,-1.6049202694217033,0.4,-0.39896125182224473,-0.7227738283171625,0.442464990139817,-0.02272456059537544,0.09167862531330964,-1.7597163534074742,-0.42253987525286907,-0.7493686226120577,0.46326403589178633,-0.013989603605444451,0.09362113790561435,-1.0765655947369521,0.46421052631578946,1.0,19.8,-0.2853673348020652,-0.5284928938256812,0.40202193037629314,-0.015960638387837133,0.09343398925094105,-1.2285601505573982,-0.3132230043518759,-0.573725399909679,0.4144026475415344,-0.534356599851403,-0.07373009632336758,-0.5517275957754476,-0.11006746944636103,seasonal_naive
20,4.2597829091428506e-05,0.1712270360630142,0.0002487798076219216,0.5656565656565656,1.0,99,10.0,20,5,5,1.0,0.13381044018506863,0.10901809055502594,4.356891058628338,1.0,0.8315912747561358,3.595449376707222,0.0,0.1315439531151387,0.10880016339200643,4.291672902049992,0.8133575642091584,3.4810345204352,0.0,0.015164203858212173,0.14447973892301066,-0.18981104788877914,0.5675000000000001,1.0,4.95,0.08835935026445707,0.5948486912964394,0.21235424921645357,0.013134890614699631,0.14419092392490357,-0.24603886987697376,0.07763679200481266,0.5551410655928026,0.2147029700296887,-0.5766784028224141,0.880921862616618,-0.5808926200321176,0.8621970601581663,seasonal_naive
30,0.014530227242056468,0.11146972599367404,0.13035133183050138,0.5757575757575758,1.0,99,10.0,30,4,4,1.0,0.14045390902721452,0.1112704799443869,3.6584195776016495,1.0,0.6614903886516161,1.9043265834743694,0.0,0.13817414166306918,0.11104805025497808,3.6062470954209753,0.6482448943460355,1.855917464026326,0.0,0.021733823377032422,0.08368483612506733,1.524529912731697,0.5805555555555556,1.0,3.3,0.06976742316722698,0.27546678843036215,0.06343325001324944,0.019691377464101763,0.08351755013765332,1.4363867362021172,0.0627393148630387,0.2542073940962458,0.06505409046643597,-0.30073810373747545,0.6614903886516161,-0.3063126586842372,0.6482448943460355,seasonal_naive
1,-0.0024041978917507963,0.0619488806021661,-0.03880938393690251,0.42424242424242425,1.0,99,10.0,1,99,99,1.0,-0.0005066719526988697,0.06107110403570665,-0.13170169470153215,0.42424242424242425,-0.21180959790190623,-0.45439383264913646,0.40685424319421315,-0.0025046591154654,0.06094902289873928,-0.6523522271576431,-0.3534564092782455,-0.6704773005587905,0.4718490538420128,-0.0005066719526988697,0.06107110403570665,-0.13170169470153215,0.42424242424242425,1.0,99.0,-0.21180959790190623,-0.45439383264913646,0.40685424319421315,-0.0025046591154654,0.06094902289873928,-0.6523522271576431,-0.3534564092782455,-0.6704773005587905,0.4718490538420128,-0.21180959790190623,-0.21180959790190623,-0.3534564092782455,-0.3534564092782455,linear_ridge
5,-0.008070721489734797,0.0976959372221764,-0.08261061533583192,0.3434343434343434,1.0,99,10.0,5,20,20,1.0,-0.006156859802646089,0.0985633503035513,-0.4434647202267534,0.35,-0.19733350945563677,-0.42531675671578106,0.2770126650865905,-0.008143552239900537,0.09836632216629454,-0.5877365794481165,-0.22882194672911726,-0.48044713112124104,0.2799002793934612,-0.003227252857746937,0.09975180335402428,-0.22322169411781273,0.3431578947368421,1.0,19.8,-0.14483679454171947,-0.3195185084620934,0.28343498100905273,-0.005219801579284255,0.09955239949911962,-0.36592795764005254,-0.17806369641524938,-0.3847982949233749,0.29454114881141374,-0.20373077684808338,-0.006062962351077283,-0.23496825066989147,-0.045054902879915315,linear_ridge
