horizon,mse,rmse,mae,mape,noise_level,model
1,1.553498141008947,1.2463940552686166,0.9847636749233444,2.770797930264016,0.05,tsm
5,6.290545592633077,2.5080960094528035,1.8577465546174128,5.189139821889126,0.05,tsm
20,23.168927313083433,4.813411193019295,3.472422239971106,8.989483738575364,0.05,tsm
30,29.684780903934872,5.448374152344429,4.10506009923517,10.117754370521459,0.05,tsm
1,1.5481811235697815,1.2442592670218622,0.9859386352470798,2.7741719240610037,0.1,tsm
5,6.30732954166513,2.511439734826446,1.858486769207969,5.190075065416311,0.1,tsm
20,23.10802055135862,4.807080252227814,3.4707350535515658,8.984342933592693,0.1,tsm
30,29.702491387286603,5.44999920984275,4.1086530086815225,10.131120800956737,0.1,tsm
1,1.5460178004583403,1.2433896414472578,0.9887409241380613,2.782225071047656,0.2,tsm
5,6.352002472454696,2.5203179308283103,1.8689166513381357,5.2190240762912055,0.2,tsm
20,22.995295521201314,4.795341022409284,3.4692736323557885,8.979479947855395,0.2,tsm
30,29.74763261553081,5.454139035221857,4.115838827574225,10.157853661827291,0.2,tsm
1,1.5551487586912527,1.2470560367085566,0.993366814303082,2.795030360664499,0.3,tsm
5,6.411482120679151,2.5320904645527875,1.8817867228820597,5.2553197216539465,0.3,tsm
20,22.894688464232626,4.784839439754758,3.469249233918402,8.97858329168171,0.3,tsm
30,29.805734207648758,5.459462813102472,4.124826843205112,10.189777716277412,0.3,tsm
1,1.5537367620001732,1.2464897761314262,0.9846785360113922,2.7705298895679284,0.05,TSM+LLM-COT-RF-HDELTA
5,6.280741697035833,2.50614079752831,1.86342655550423,5.202875312658371,0.05,TSM+LLM-COT-RF-HDELTA
20,23.022782831601916,4.798206209783185,3.4552332956121767,8.924408447442998,0.05,TSM+LLM-COT-RF-HDELTA
30,29.680119170546526,5.447946325960501,4.087283897450239,10.049223731599435,0.05,TSM+LLM-COT-RF-HDELTA
1,1.5485030422524875,1.2443886218752112,0.9857683574231757,2.7736358426688277,0.1,TSM+LLM-COT-RF-HDELTA
5,6.297285165485114,2.5094392133473,1.8640850130237288,5.203554875108805,0.1,TSM+LLM-COT-RF-HDELTA
20,22.96244148926038,4.791914177994049,3.453409800262134,8.91887036079001,0.1,TSM+LLM-COT-RF-HDELTA
30,29.69522567045506,5.449332589451212,4.089082209361672,10.057506180354233,0.1,TSM+LLM-COT-RF-HDELTA
1,1.546040344624776,1.2433987070223196,0.988269002436908,2.7807738948359426,0.2,TSM+LLM-COT-RF-HDELTA
5,6.340739292243693,2.518082463352559,1.8754983376033416,5.235414028400546,0.2,TSM+LLM-COT-RF-HDELTA
20,22.850205271041276,4.780188832153106,3.4502826379288245,8.90928238777671,0.2,TSM+LLM-COT-RF-HDELTA
30,29.734604423061615,5.452944564458877,4.096472671630144,10.084699549158229,0.2,TSM+LLM-COT-RF-HDELTA
1,1.5542506361539374,1.2466958875980692,0.992808830875054,2.793207299424849,0.3,TSM+LLM-COT-RF-HDELTA
5,6.3980163388156255,2.5294300422853415,1.888240163532393,5.27127314303629,0.3,TSM+LLM-COT-RF-HDELTA
20,22.749231008107472,4.769615394149456,3.4491613082832284,8.905330943978292,0.3,TSM+LLM-COT-RF-HDELTA
30,29.78620417938745,5.457673879904098,4.1053931595206485,10.11625344169982,0.3,TSM+LLM-COT-RF-HDELTA
