horizon,accuracy,accuracy_up,accuracy_down,accuracy_flat,n_up,n_down,n_flat,model,subset,n_samples
1,0.35,0.0,0.0,1.0,30,35,35,naive_persistence,full,100
5,0.23,0.0,0.0,1.0,42,35,23,naive_persistence,full,100
20,0.09,0.0,0.0,1.0,61,30,9,naive_persistence,full,100
30,0.08,0.0,0.0,1.0,73,19,8,naive_persistence,full,100
1,0.41,0.5666666666666667,0.5428571428571428,0.14285714285714285,30,35,35,seasonal_naive,full,100
5,0.23,0.0,0.0,1.0,42,35,23,seasonal_naive,full,100
20,0.09,0.0,0.0,1.0,61,30,9,seasonal_naive,full,100
30,0.08,0.0,0.0,1.0,73,19,8,seasonal_naive,full,100
1,0.32,1.0,0.0,0.05714285714285714,30,35,35,linear_ridge,full,100
5,0.42,1.0,0.0,0.0,42,35,23,linear_ridge,full,100
20,0.61,1.0,0.0,0.0,61,30,9,linear_ridge,full,100
30,0.73,1.0,0.0,0.0,73,19,8,linear_ridge,full,100
1,0.3,1.0,0.0,0.0,30,35,35,linear_lasso,full,100
5,0.42,1.0,0.0,0.0,42,35,23,linear_lasso,full,100
20,0.61,1.0,0.0,0.0,61,30,9,linear_lasso,full,100
30,0.73,1.0,0.0,0.0,73,19,8,linear_lasso,full,100
1,0.47,0.16666666666666666,0.2857142857142857,0.9142857142857143,30,35,35,tsm,full,100
5,0.33,0.38095238095238093,0.11428571428571428,0.5652173913043478,42,35,23,tsm,full,100
20,0.59,0.8524590163934426,0.16666666666666666,0.2222222222222222,61,30,9,tsm,full,100
30,0.71,0.863013698630137,0.3157894736842105,0.25,73,19,8,tsm,full,100
1,0.47,0.16666666666666666,0.2857142857142857,0.9142857142857143,30,35,35,TSM+LLM-COT-RF-HDELTA,llm_subset,100
5,0.31,0.3333333333333333,0.14285714285714285,0.5217391304347826,42,35,23,TSM+LLM-COT-RF-HDELTA,llm_subset,100
20,0.57,0.8032786885245902,0.16666666666666666,0.3333333333333333,61,30,9,TSM+LLM-COT-RF-HDELTA,llm_subset,100
30,0.7,0.8493150684931506,0.3157894736842105,0.25,73,19,8,TSM+LLM-COT-RF-HDELTA,llm_subset,100
1,0.35,0.0,0.0,1.0,30,35,35,naive_persistence_llm_subset,llm_subset,100
5,0.23,0.0,0.0,1.0,42,35,23,naive_persistence_llm_subset,llm_subset,100
20,0.09,0.0,0.0,1.0,61,30,9,naive_persistence_llm_subset,llm_subset,100
30,0.08,0.0,0.0,1.0,73,19,8,naive_persistence_llm_subset,llm_subset,100
1,0.41,0.5666666666666667,0.5428571428571428,0.14285714285714285,30,35,35,seasonal_naive_llm_subset,llm_subset,100
5,0.23,0.0,0.0,1.0,42,35,23,seasonal_naive_llm_subset,llm_subset,100
20,0.09,0.0,0.0,1.0,61,30,9,seasonal_naive_llm_subset,llm_subset,100
30,0.08,0.0,0.0,1.0,73,19,8,seasonal_naive_llm_subset,llm_subset,100
1,0.32,1.0,0.0,0.05714285714285714,30,35,35,linear_ridge_llm_subset,llm_subset,100
5,0.42,1.0,0.0,0.0,42,35,23,linear_ridge_llm_subset,llm_subset,100
20,0.61,1.0,0.0,0.0,61,30,9,linear_ridge_llm_subset,llm_subset,100
30,0.73,1.0,0.0,0.0,73,19,8,linear_ridge_llm_subset,llm_subset,100
1,0.3,1.0,0.0,0.0,30,35,35,linear_lasso_llm_subset,llm_subset,100
5,0.42,1.0,0.0,0.0,42,35,23,linear_lasso_llm_subset,llm_subset,100
20,0.61,1.0,0.0,0.0,61,30,9,linear_lasso_llm_subset,llm_subset,100
30,0.73,1.0,0.0,0.0,73,19,8,linear_lasso_llm_subset,llm_subset,100
1,0.47,0.16666666666666666,0.2857142857142857,0.9142857142857143,30,35,35,tsm_llm_subset,llm_subset,100
5,0.33,0.38095238095238093,0.11428571428571428,0.5652173913043478,42,35,23,tsm_llm_subset,llm_subset,100
20,0.59,0.8524590163934426,0.16666666666666666,0.2222222222222222,61,30,9,tsm_llm_subset,llm_subset,100
30,0.71,0.863013698630137,0.3157894736842105,0.25,73,19,8,tsm_llm_subset,llm_subset,100
