horizon,mse,rmse,mae,mape,noise_level,model
1,0.7876790964292566,0.8875128711344172,0.6985569289363678,1.7851067747625464,0.05,tsm
5,3.8041631149656645,1.9504263931165575,1.50172291681724,3.8742346945207338,0.05,tsm
20,15.096654599256269,3.8854413647945156,3.1139065440212126,8.315203125246656,0.05,tsm
30,13.855374348626452,3.722280799271658,3.062196474573809,8.368619551932678,0.05,tsm
1,0.7908663392185927,0.8893066620792811,0.7013108431675323,1.7919986836790291,0.1,tsm
5,3.796994762618839,1.94858788937498,1.5018953669270427,3.8746890282484783,0.1,tsm
20,15.07078866526384,3.8821113669321545,3.1119528760751836,8.3111846718379,0.1,tsm
30,13.913788145385649,3.730119052441309,3.071429465696002,8.392747892708629,0.1,tsm
1,0.8024060230388974,0.8957711889980038,0.7074607900158889,1.8074696187781296,0.2,tsm
5,3.788014562756871,1.946282241288984,1.5037361697925276,3.8796426274259552,0.2,tsm
20,15.023455569273741,3.8760102643406067,3.108045540183125,8.303147765020391,0.2,tsm
30,14.035558875931756,3.7464061280021093,3.089942904676169,8.441131294526617,0.2,tsm
1,0.8208326391052584,0.9059981451996789,0.7168132161972232,1.8313251447234156,0.3,tsm
5,3.786176372094491,1.945809952717503,1.5096081875267964,3.8949900730601854,0.3,tsm
20,14.98198749970532,3.8706572438935125,3.104138203743439,8.295110856859859,0.3,tsm
30,14.16392046931841,3.7634984348765723,3.109311356810714,8.491797775728584,0.3,tsm
1,0.7879464492051711,0.8876634774536863,0.6987722506588704,1.78564866184385,0.05,TSM+LLM-COT-RF-HDELTA
5,3.9187894699846315,1.9795932587237792,1.526304933962448,3.9375653895712937,0.05,TSM+LLM-COT-RF-HDELTA
20,16.23556439949357,4.029337960446303,3.2520119639341747,8.687086795134501,0.05,TSM+LLM-COT-RF-HDELTA
30,14.846066458381754,3.8530593634645385,3.1818092706117227,8.69547065843658,0.05,TSM+LLM-COT-RF-HDELTA
1,0.7916625682013488,0.8897542178609489,0.701741486644966,1.79308245792664,0.1,TSM+LLM-COT-RF-HDELTA
5,3.9109084333651416,1.9776016872376352,1.5252678577280911,3.934877540524033,0.1,TSM+LLM-COT-RF-HDELTA
20,16.20868572065818,4.026001207235063,3.2485868448412014,8.679264925297723,0.1,TSM+LLM-COT-RF-HDELTA
30,14.912955158312139,3.86172955530448,3.1922151167432737,8.722702423661516,0.1,TSM+LLM-COT-RF-HDELTA
1,0.8050445747281151,0.8972427624272681,0.7084105996923542,1.8098849218585182,0.2,TSM+LLM-COT-RF-HDELTA
5,3.901316273982534,1.975174998318512,1.5249425043938722,3.934030191000589,0.2,TSM+LLM-COT-RF-HDELTA
20,16.16000904212289,4.019951373104268,3.2426707428151826,8.66608722610353,0.2,TSM+LLM-COT-RF-HDELTA
30,15.052391862352856,3.8797412107449714,3.2130646172308235,8.777263072591108,0.2,TSM+LLM-COT-RF-HDELTA
1,0.8263596059674231,0.9090432365775696,0.719436638067835,1.837995768639073,0.3,TSM+LLM-COT-RF-HDELTA
5,3.8999506664084103,1.9748292752560688,1.5302395552750285,3.94798913782948,0.3,TSM+LLM-COT-RF-HDELTA
20,16.118106602434928,4.014736180925831,3.2386454199040617,8.657901023904007,0.3,TSM+LLM-COT-RF-HDELTA
30,15.19937430530017,3.8986374934456487,3.234130806133989,8.832380106414476,0.3,TSM+LLM-COT-RF-HDELTA
