horizon,mean_return,volatility,sharpe,hit_rate,trade_rate,n_trades,transaction_cost_bps,offset_count_non_overlap,n_periods,n_trades_non_overlap,trade_rate_non_overlap,mean_return_non_overlap,volatility_non_overlap,sharpe_non_overlap,hit_rate_non_overlap,total_return_non_overlap,annualized_return_non_overlap,max_drawdown_non_overlap,mean_return_non_overlap_cost_adj,volatility_non_overlap_cost_adj,sharpe_non_overlap_cost_adj,total_return_non_overlap_cost_adj,annualized_return_non_overlap_cost_adj,max_drawdown_non_overlap_cost_adj,mean_return_non_overlap_offset_avg,volatility_non_overlap_offset_avg,sharpe_non_overlap_offset_avg,hit_rate_non_overlap_offset_avg,trade_rate_non_overlap_offset_avg,n_trades_non_overlap_offset_avg,total_return_non_overlap_offset_avg,annualized_return_non_overlap_offset_avg,max_drawdown_non_overlap_offset_avg,mean_return_non_overlap_cost_adj_offset_avg,volatility_non_overlap_cost_adj_offset_avg,sharpe_non_overlap_cost_adj_offset_avg,total_return_non_overlap_cost_adj_offset_avg,annualized_return_non_overlap_cost_adj_offset_avg,max_drawdown_non_overlap_cost_adj_offset_avg,total_return_non_overlap_offset_min,total_return_non_overlap_offset_max,total_return_non_overlap_cost_adj_offset_min,total_return_non_overlap_cost_adj_offset_max,model
1,0.0,0.0,,,0.0,0,10.0,1,98,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,naive_persistence
5,0.0,0.0,,,0.0,0,10.0,5,20,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,naive_persistence
20,0.0,0.0,,,0.0,0,10.0,20,5,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,naive_persistence
30,0.0,0.0,,,0.0,0,10.0,30,4,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,naive_persistence
1,0.00023622392339403835,0.04525851883897163,0.005219435577079213,0.5204081632653061,1.0,98,10.0,1,98,98,1.0,0.0012517281638104603,0.044757156951945425,0.4439640481258113,0.5204081632653061,0.023419984233105984,0.06133593294650619,0.32598495973975394,-0.0007497740407889562,0.04466768739519849,-0.26646317735708175,-0.15881874655236772,-0.3589986650323491,0.3639841997183544,0.0012517281638104603,0.044757156951945425,0.4439640481258113,0.5204081632653061,1.0,98.0,0.023419984233105984,0.06133593294650619,0.32598495973975394,-0.0007497740407889562,0.04466768739519849,-0.26646317735708175,-0.15881874655236772,-0.3589986650323491,0.3639841997183544,0.023419984233105984,0.023419984233105984,-0.15881874655236772,-0.15881874655236772,seasonal_naive
5,0.00304246126978221,0.08693852351685981,0.03499554796547921,0.5102040816326531,1.0,98,10.0,5,20,20,1.0,0.0018608168314514727,0.08368925235555863,0.157851679063834,0.45,-0.03544317902971694,-0.08692574484938376,0.3095373244958759,-0.00014190294139456716,0.08352195754009988,-0.012061629982899435,-0.07328253984971622,-0.17451856425850076,0.320502257188348,0.007053670918796144,0.084937654685175,0.5713681140699073,0.5110526315789473,1.0,19.6,0.09227156283567048,0.4565984760082344,0.2809764156815172,0.005040570630629499,0.08476786431345934,0.4034279582077023,0.05048582998027944,0.3168644220242701,0.29150623208227183,-0.159358451080161,0.5995692309278557,-0.19233664189100652,0.5398967206296159,seasonal_naive
20,0.010600098266209267,0.15041984544909676,0.07047007816396422,0.5408163265306123,1.0,98,10.0,20,5,5,1.0,-0.02472848227913014,0.0937671741140991,-0.9361208256118374,0.6,-0.13805697942319972,-0.3122890100451492,0.1087082030333163,-0.026678050043054145,0.09357973353304505,-1.0119464966621181,-0.1466377254454131,-0.3294112428503231,0.11048989533545273,0.021296855652036713,0.13121545345545604,0.3911672969520451,0.5349999999999999,1.0,4.9,0.10976975970825682,0.6167948197435055,0.107716774253884,0.01925528323758831,0.13095315376399858,0.3320467925310928,0.09890444965053422,0.5765407919524632,0.11044258633503037,-0.3380168030907863,1.29681986123617,-0.34460692511515134,1.273954744380935,seasonal_naive
30,0.0059072676076724825,0.13441617201423484,0.043947595881892065,0.5408163265306123,1.0,98,10.0,30,4,4,1.0,-0.026322136580465685,0.1282708432281739,-0.5947477826643008,0.5,-0.13393374789769452,-0.2606376300837505,0.005139672301180176,-0.028268518629441325,0.1280144298125607,-0.6400055901756075,-0.14083807649858793,-0.27296127215772414,0.007128398096249988,0.015609460471812085,0.11228247000550969,0.6218686055955884,0.55,1.0,3.2666666666666666,0.039788798271725816,0.17097601525201694,0.08034884872724432,0.013579257160328952,0.11205801734796865,0.5527027727859792,0.03301199298079992,0.1514582660719926,0.08216049451470933,-0.39485921724314377,0.650981673962475,-0.39968343340883916,0.637819955718149,seasonal_naive
1,0.007842289413354,0.044574519918858684,0.17593659847890064,0.5408163265306123,1.0,98,10.0,1,98,98,1.0,0.008892276095213534,0.046198611282217084,3.055514070785351,0.5408163265306123,1.1566247040869193,6.215683581043292,0.18293982945218412,0.006875500435299238,0.04610626025826393,2.3672530613876006,0.7725980533391275,3.3579630770741433,0.19752256654383127,0.008892276095213534,0.046198611282217084,3.055514070785351,0.5408163265306123,1.0,98.0,1.1566247040869193,6.215683581043292,0.18293982945218412,0.006875500435299238,0.04610626025826393,2.3672530613876006,0.7725980533391275,3.3579630770741433,0.19752256654383127,1.1566247040869193,1.1566247040869193,0.7725980533391275,0.7725980533391275,linear_ridge
5,0.03470941063263738,0.07976728812868512,0.43513339173123433,0.6224489795918368,1.0,98,10.0,5,20,20,1.0,0.051584081927874524,0.07931815963974762,4.616983736526197,0.7,1.59082625026802,10.011956508060686,0.0605237465298436,0.04948196534810073,0.07915960263862776,4.437706785775385,1.4891886824498801,8.955560150031195,0.06240175956053051,0.03868106351322074,0.0842307622752285,3.2906863336551693,0.6221052631578947,1.0,19.6,1.0277827394900267,5.867393708608221,0.10750822771630353,0.03660474006725783,0.08406238498144031,3.1206603169943476,0.9497878614288254,5.208592550283815,0.1099671942505798,0.4620817367923966,1.59082625026802,0.4075382473274203,1.4891886824498801,linear_ridge
