horizon,mse,rmse,mae,mape,model,subset,n_samples
1,3.423198699951172,1.8501888513565063,1.404999852180481,3.338436409831047,naive_persistence,full,98
5,12.363195419311523,3.5161335468292236,2.713571310043335,6.350385397672653,naive_persistence,full,98
20,37.219093322753906,6.10074520111084,4.858163356781006,10.769101232290268,naive_persistence,full,98
30,31.162588119506836,5.582345962524414,4.442958831787109,9.650176018476486,naive_persistence,full,98
1,11.86884500212794,3.445119011315566,2.653571751652932,6.327722217709837,seasonal_naive,full,98
5,12.363196310894415,3.516133716298971,2.713571412222726,6.350384843651977,seasonal_naive,full,98
20,37.219093160764544,6.100745295516322,4.858163113496741,10.769101950901277,seasonal_naive,full,98
30,31.162584441722043,5.5823457830666525,4.442958929100815,9.650175310274346,seasonal_naive,full,98
1,3.257858991689856,1.80495401373272,1.3951177597045898,3.3327765509712406,linear_ridge,full,98
5,10.453514776595975,3.2331895670677855,2.581349703730369,6.113080101878034,linear_ridge,full,98
20,15.70783431409209,3.963311029189116,3.1254926019785354,6.806170632354504,linear_ridge,full,98
30,13.995034259208389,3.740993752896199,3.199616763056541,6.852358138336258,linear_ridge,full,98
1,4.115415818738924,2.028648766726001,1.694519276521644,4.196824126515768,linear_lasso,full,98
5,10.612338576308966,3.257658449915977,2.6908537806296837,6.559551670900385,linear_lasso,full,98
20,13.689829224443072,3.6999769221500656,2.8422471260537905,6.269671595747759,linear_lasso,full,98
30,10.3789915307912,3.221644227842547,2.6087570190429688,5.581663795925432,linear_lasso,full,98
1,3.349203109741211,1.8300827741622925,1.4045839309692383,3.338346630334854,tsm,full,98
5,10.886085510253906,3.2994067668914795,2.6017472743988037,6.114000082015991,tsm,full,98
20,22.52705192565918,4.746267318725586,3.8247764110565186,8.3309106528759,tsm,full,98
30,22.68503189086914,4.762880802154541,4.159939765930176,8.92416313290596,tsm,full,98
1,3.3492031617037243,1.8300828291920899,1.404583911506497,3.338346687440621,TSM+LLM-COT-RF-HDELTA,llm_subset,98
5,10.941019753564177,3.3077212327468253,2.601886651914947,6.1071148905068755,TSM+LLM-COT-RF-HDELTA,llm_subset,98
20,23.861998971997096,4.884874509339733,3.950256125547448,8.599203867255003,TSM+LLM-COT-RF-HDELTA,llm_subset,98
30,24.286076181292458,4.9280905208095005,4.332991043246522,9.298154416307689,TSM+LLM-COT-RF-HDELTA,llm_subset,98
1,3.423198699951172,1.8501888513565063,1.404999852180481,3.338436409831047,naive_persistence_llm_subset,llm_subset,98
5,12.363195419311523,3.5161335468292236,2.713571310043335,6.350385397672653,naive_persistence_llm_subset,llm_subset,98
20,37.219093322753906,6.10074520111084,4.858163356781006,10.769101232290268,naive_persistence_llm_subset,llm_subset,98
30,31.162588119506836,5.582345962524414,4.442958831787109,9.650176018476486,naive_persistence_llm_subset,llm_subset,98
1,11.86884500212794,3.445119011315566,2.653571751652932,6.327722217709837,seasonal_naive_llm_subset,llm_subset,98
5,12.363196310894415,3.516133716298971,2.713571412222726,6.350384843651977,seasonal_naive_llm_subset,llm_subset,98
20,37.219093160764544,6.100745295516322,4.858163113496741,10.769101950901277,seasonal_naive_llm_subset,llm_subset,98
30,31.162584441722043,5.5823457830666525,4.442958929100815,9.650175310274346,seasonal_naive_llm_subset,llm_subset,98
1,3.257858991689856,1.80495401373272,1.3951177597045898,3.3327765509712406,linear_ridge_llm_subset,llm_subset,98
5,10.453514776595975,3.2331895670677855,2.581349703730369,6.113080101878034,linear_ridge_llm_subset,llm_subset,98
20,15.70783431409209,3.963311029189116,3.1254926019785354,6.806170632354504,linear_ridge_llm_subset,llm_subset,98
30,13.995034259208389,3.740993752896199,3.199616763056541,6.852358138336258,linear_ridge_llm_subset,llm_subset,98
1,4.115415818738924,2.028648766726001,1.694519276521644,4.196824126515768,linear_lasso_llm_subset,llm_subset,98
5,10.612338576308966,3.257658449915977,2.6908537806296837,6.559551670900385,linear_lasso_llm_subset,llm_subset,98
20,13.689829224443072,3.6999769221500656,2.8422471260537905,6.269671595747759,linear_lasso_llm_subset,llm_subset,98
30,10.3789915307912,3.221644227842547,2.6087570190429688,5.581663795925432,linear_lasso_llm_subset,llm_subset,98
1,3.349203109741211,1.8300827741622925,1.4045839309692383,3.338346630334854,tsm_llm_subset,llm_subset,98
5,10.886085510253906,3.2994067668914795,2.6017472743988037,6.114000082015991,tsm_llm_subset,llm_subset,98
20,22.52705192565918,4.746267318725586,3.8247764110565186,8.3309106528759,tsm_llm_subset,llm_subset,98
30,22.68503189086914,4.762880802154541,4.159939765930176,8.92416313290596,tsm_llm_subset,llm_subset,98
