horizon,mse,rmse,mae,mape,model,subset,n_samples
1,1.0613927841186523,1.030239224433899,0.7848610281944275,1.3954262249171734,naive_persistence,full,144
5,5.211897373199463,2.2829580307006836,1.6699998378753662,2.9023488983511925,naive_persistence,full,144
20,44.27585220336914,6.65401029586792,4.407985687255859,7.949555665254593,naive_persistence,full,144
30,79.98809814453125,8.94360637664795,6.379860877990723,12.072685360908508,naive_persistence,full,144
1,5.168530688185658,2.2734402759222987,1.6513192653656006,2.9001240713645444,seasonal_naive,full,144
5,5.211897344572106,2.2829580251445942,1.6699998908572726,2.902348869597151,seasonal_naive,full,144
20,44.27585121827006,6.654010160667781,4.407985872692532,7.9495553689110485,seasonal_naive,full,144
30,79.98809566169751,8.94360641249924,6.379861010445489,12.072684485576755,seasonal_naive,full,144
1,1.0615366565260855,1.030309010212997,0.7812829547458224,1.3830408796760547,linear_ridge,full,144
5,4.59362996417369,2.14327552222613,1.566316631105211,2.7039762667940774,linear_ridge,full,144
20,30.154391664669575,5.491301454543319,3.3279347684648304,6.072468005883625,linear_ridge,full,144
30,56.90939283760084,7.543831442814774,4.78767810927497,9.189168640647804,linear_ridge,full,144
1,1.154097242417265,1.074289180070834,0.8306177457173666,1.484730775032686,linear_lasso,full,144
5,4.739419375089003,2.177020756696868,1.611880169974433,2.7985305776747476,linear_lasso,full,144
20,32.11311195830472,5.666843209257225,3.4354690180884466,6.166131434887028,linear_lasso,full,144
30,62.09737962251287,7.880189060074185,5.235035419464111,9.896493645860465,linear_lasso,full,144
1,1.2249579429626465,1.1067781448364258,0.8231818675994873,1.4497480355203152,tsm,full,144
5,4.587045192718506,2.1417388916015625,1.5280492305755615,2.624719962477684,tsm,full,144
20,29.865068435668945,5.4648942947387695,3.5835888385772705,6.4635321497917175,tsm,full,144
30,59.48053741455078,7.712362766265869,5.39683723449707,10.19681766629219,tsm,full,144
1,4.6251150395401055,2.1506080627441406,2.1506080627441406,4.664081618470712,TSM+LLM-COT-RF-HDELTA,llm_subset,1
5,0.7667167022485897,0.8756236076354895,0.8756236076354895,1.8523875590351857,TSM+LLM-COT-RF-HDELTA,llm_subset,1
20,0.42051999680752733,0.6484751319885191,0.6484751319885191,1.2897278196743573,TSM+LLM-COT-RF-HDELTA,llm_subset,1
30,2.4051656884343435,1.550859661102301,1.550859661102301,3.027839953419297,TSM+LLM-COT-RF-HDELTA,llm_subset,1
1,1.795600414276123,1.3400001525878906,1.3400001525878906,2.906094491481781,naive_persistence_llm_subset,llm_subset,1
5,0.03240010887384415,0.18000030517578125,0.18000030517578125,0.38079184014350176,naive_persistence_llm_subset,llm_subset,1
20,8.008889198303223,2.829998016357422,2.829998016357422,5.628476664423943,naive_persistence_llm_subset,llm_subset,1
30,14.212903022766113,3.770000457763672,3.770000457763672,7.360406965017319,naive_persistence_llm_subset,llm_subset,1
1,16.646383813480497,4.079998016357422,4.079998016357422,8.848401566582227,seasonal_naive_llm_subset,llm_subset,1
5,0.03240010986337438,0.18000030517578125,0.18000030517578125,0.3807918414060811,seasonal_naive_llm_subset,llm_subset,1
20,8.008888772586943,2.829998016357422,2.829998016357422,5.628476700605435,seasonal_naive_llm_subset,llm_subset,1
30,14.212903451538295,3.770000457763672,3.770000457763672,7.3604068096738695,seasonal_naive_llm_subset,llm_subset,1
1,2.8334090544376522,1.6832733154296875,1.6832733154296875,3.650560167313894,linear_ridge_llm_subset,llm_subset,1
5,0.2782765338779427,0.5275192260742188,0.5275192260742188,1.1159704272598086,linear_ridge_llm_subset,llm_subset,1
20,0.048207704807282425,0.21956253051757812,0.21956253051757812,0.436679665569094,linear_ridge_llm_subset,llm_subset,1
30,0.4886401659459807,0.6990280151367188,0.6990280151367188,1.364755951731941,linear_ridge_llm_subset,llm_subset,1
1,5.555585523849004,2.3570289611816406,2.3570289611816406,5.111752179531514,linear_lasso_llm_subset,llm_subset,1
5,1.685191108903382,1.2981491088867188,1.2981491088867188,2.746243063920913,linear_lasso_llm_subset,llm_subset,1
20,0.029843384923879057,0.17275238037109375,0.17275238037109375,0.34358071711454713,linear_lasso_llm_subset,llm_subset,1
30,0.5942938113585114,0.770904541015625,0.770904541015625,1.5050849719699448,linear_lasso_llm_subset,llm_subset,1
1,4.625114917755127,2.1506080627441406,2.1506080627441406,4.664081707596779,tsm_llm_subset,llm_subset,1
5,0.40461447834968567,0.6360931396484375,0.6360931396484375,1.3456592336297035,tsm_llm_subset,llm_subset,1
20,0.1561037302017212,0.3950996398925781,0.3950996398925781,0.7857988588511944,tsm_llm_subset,llm_subset,1
30,3.2326955795288086,1.7979698181152344,1.7979698181152344,3.5102885216474533,tsm_llm_subset,llm_subset,1
