horizon,mean_return,volatility,sharpe,hit_rate,trade_rate,n_trades,transaction_cost_bps,offset_count_non_overlap,n_periods,n_trades_non_overlap,trade_rate_non_overlap,mean_return_non_overlap,volatility_non_overlap,sharpe_non_overlap,hit_rate_non_overlap,total_return_non_overlap,annualized_return_non_overlap,max_drawdown_non_overlap,mean_return_non_overlap_cost_adj,volatility_non_overlap_cost_adj,sharpe_non_overlap_cost_adj,total_return_non_overlap_cost_adj,annualized_return_non_overlap_cost_adj,max_drawdown_non_overlap_cost_adj,mean_return_non_overlap_offset_avg,volatility_non_overlap_offset_avg,sharpe_non_overlap_offset_avg,hit_rate_non_overlap_offset_avg,trade_rate_non_overlap_offset_avg,n_trades_non_overlap_offset_avg,total_return_non_overlap_offset_avg,annualized_return_non_overlap_offset_avg,max_drawdown_non_overlap_offset_avg,mean_return_non_overlap_cost_adj_offset_avg,volatility_non_overlap_cost_adj_offset_avg,sharpe_non_overlap_cost_adj_offset_avg,total_return_non_overlap_cost_adj_offset_avg,annualized_return_non_overlap_cost_adj_offset_avg,max_drawdown_non_overlap_cost_adj_offset_avg,total_return_non_overlap_offset_min,total_return_non_overlap_offset_max,total_return_non_overlap_cost_adj_offset_min,total_return_non_overlap_cost_adj_offset_max,model
1,0.0,0.0,,,0.0,0,0.0,1,144,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,naive_persistence
5,0.0,0.0,,,0.0,0,0.0,5,29,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,naive_persistence
20,0.0,0.0,,,0.0,0,0.0,20,8,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,naive_persistence
30,0.0,0.0,,,0.0,0,0.0,30,5,0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,naive_persistence
1,0.0022377048145345827,0.017795852826929706,0.1257430501531435,0.5763888888888888,1.0,144,0.0,1,144,144,1.0,0.002398478272631809,0.01776591894169034,2.1431293439544787,0.5763888888888888,0.3802014865985057,0.757516289569742,0.16129934802827262,0.002398478272631809,0.01776591894169034,2.1431293439544787,0.3802014865985057,0.757516289569742,0.16129934802827262,0.002398478272631809,0.01776591894169034,2.1431293439544787,0.5763888888888888,1.0,144.0,0.3802014865985057,0.757516289569742,0.16129934802827262,0.002398478272631809,0.01776591894169034,2.1431293439544787,0.3802014865985057,0.757516289569742,0.16129934802827262,0.3802014865985057,0.3802014865985057,0.3802014865985057,0.3802014865985057,seasonal_naive
5,-0.0021369360337202023,0.03927413821229152,-0.054410768281388064,0.4930555555555556,1.0,144,0.0,5,29,29,1.0,-0.005179968915906611,0.03650050545218611,-1.0074964935690487,0.5517241379310345,-0.15688006096917384,-0.25663720862095385,0.17449299698991283,-0.005179968915906611,0.03650050545218611,-1.0074964935690487,-0.15688006096917384,-0.25663720862095385,0.17449299698991283,-0.0014024020196404241,0.03825333901621904,-0.33748875428395675,0.49285714285714277,1.0,28.8,-0.04375377197529595,-0.05399756735025747,0.21933181555561204,-0.0014024020196404241,0.03825333901621904,-0.33748875428395675,-0.04375377197529595,-0.05399756735025747,0.21933181555561204,-0.17615179228606903,0.32516658229423245,-0.17615179228606903,0.32516658229423245,seasonal_naive
20,0.005722938891267404,0.11586779523560935,0.04939197194207583,0.5486111111111112,1.0,144,0.0,20,8,8,1.0,-0.09209910012391123,0.11268927027459129,-2.9010692302313683,0.0,-0.5704776933945463,-0.7357880149136755,0.544860243235842,-0.09209910012391123,0.11268927027459129,-2.9010692302313683,-0.5704776933945463,-0.7357880149136755,0.544860243235842,0.01260767765400978,0.09832396363715909,0.7179731254881905,0.5526785714285714,1.0,7.2,0.10013703392588451,0.24510993768280823,0.15654177053070256,0.01260767765400978,0.09832396363715909,0.7179731254881905,0.10013703392588451,0.24510993768280823,0.15654177053070256,-0.5704776933945463,0.5006357738825857,-0.5704776933945463,0.5006357738825857,seasonal_naive
30,-0.00826314113025243,0.15950342357900552,-0.05180541548789714,0.4791666666666667,1.0,144,0.0,30,5,5,1.0,-0.03135326682031614,0.05022504686999839,-1.8092646200730835,0.4,-0.15293163700758083,-0.24333609815312107,0.09313011571512109,-0.03135326682031614,0.05022504686999839,-1.8092646200730835,-0.15293163700758083,-0.24333609815312107,0.09313011571512109,0.004106587451006228,0.13597804082226386,-0.4040141171247772,0.48000000000000004,1.0,4.8,0.009224981065124382,0.07477132328709377,0.18447955149530623,0.004106587451006228,0.13597804082226386,-0.4040141171247772,0.009224981065124382,0.07477132328709377,0.18447955149530623,-0.4233242162158114,0.7670847406957668,-0.4233242162158114,0.7670847406957668,seasonal_naive
1,0.0014886867870195096,0.017874101720782694,0.08328736236789869,0.5416666666666666,1.0,144,0.0,1,144,144,1.0,0.0016494281726301694,0.017845658266991252,1.4672398243717693,0.5416666666666666,0.23908214183598409,0.4552083268341298,0.15706527906528855,0.0016494281726301694,0.017845658266991252,1.4672398243717693,0.23908214183598409,0.4552083268341298,0.15706527906528855,0.0016494281726301694,0.017845658266991252,1.4672398243717693,0.5416666666666666,1.0,144.0,0.23908214183598409,0.4552083268341298,0.15706527906528855,0.0016494281726301694,0.017845658266991252,1.4672398243717693,0.23908214183598409,0.4552083268341298,0.15706527906528855,0.23908214183598409,0.23908214183598409,0.23908214183598409,0.23908214183598409,linear_ridge
5,0.012917384810053691,0.03715058004391564,0.3477034489040029,0.6041666666666666,1.0,144,0.0,5,29,29,1.0,0.01540890238532159,0.03628483601616421,3.01482291415443,0.5862068965517241,0.5303435036899034,1.0948378216476575,0.04736978965446703,0.01540890238532159,0.03628483601616421,3.01482291415443,0.5303435036899034,1.0948378216476575,0.04736978965446703,0.013701028560964858,0.03798878296527637,2.601238438507705,0.6039408866995073,1.0,28.8,0.45205471272316833,0.9220866960353803,0.07428476350919436,0.013701028560964858,0.03798878296527637,2.601238438507705,0.45205471272316833,0.9220866960353803,0.07428476350919436,0.3608165379842083,0.5303435036899034,0.3608165379842083,0.5303435036899034,linear_ridge
