horizon,mse,rmse,mae,mape,model,subset,n_samples
1,1.0613927841186523,1.030239224433899,0.7848610281944275,1.3954262249171734,naive_persistence,full,144
5,5.211897373199463,2.2829580307006836,1.6699998378753662,2.9023488983511925,naive_persistence,full,144
20,44.27585220336914,6.65401029586792,4.407985687255859,7.949555665254593,naive_persistence,full,144
30,79.98809814453125,8.94360637664795,6.379860877990723,12.072685360908508,naive_persistence,full,144
1,5.168530688185658,2.2734402759222987,1.6513192653656006,2.9001240713645444,seasonal_naive,full,144
5,5.211897344572106,2.2829580251445942,1.6699998908572726,2.902348869597151,seasonal_naive,full,144
20,44.27585121827006,6.654010160667781,4.407985872692532,7.9495553689110485,seasonal_naive,full,144
30,79.98809566169751,8.94360641249924,6.379861010445489,12.072684485576755,seasonal_naive,full,144
1,1.0615366565260855,1.030309010212997,0.7812829547458224,1.3830408796760547,linear_ridge,full,144
5,4.59362996417369,2.14327552222613,1.566316631105211,2.7039762667940774,linear_ridge,full,144
20,30.154391664669575,5.491301454543319,3.3279347684648304,6.072468005883625,linear_ridge,full,144
30,56.90939283760084,7.543831442814774,4.78767810927497,9.189168640647804,linear_ridge,full,144
1,1.154097242417265,1.074289180070834,0.8306177457173666,1.484730775032686,linear_lasso,full,144
5,4.739419375089003,2.177020756696868,1.611880169974433,2.7985305776747476,linear_lasso,full,144
20,32.11311195830472,5.666843209257225,3.4354690180884466,6.166131434887028,linear_lasso,full,144
30,62.09737962251287,7.880189060074185,5.235035419464111,9.896493645860465,linear_lasso,full,144
1,1.2249579429626465,1.1067781448364258,0.8231818675994873,1.4497480355203152,tsm,full,144
5,4.587045192718506,2.1417388916015625,1.5280492305755615,2.624719962477684,tsm,full,144
20,29.865068435668945,5.4648942947387695,3.5835888385772705,6.4635321497917175,tsm,full,144
30,59.48053741455078,7.712362766265869,5.39683723449707,10.19681766629219,tsm,full,144
1,13.782866269328224,3.7125282853236583,3.3785037994384766,5.373219241845541,TSM+LLM-COT-RF-HDELTA,llm_subset,2
5,7.309933681997616,2.7036889025917192,2.2515851688385027,3.4416120711892826,TSM+LLM-COT-RF-HDELTA,llm_subset,2
20,313.48949995411385,17.70563469503745,17.661128997802734,38.95128286451491,TSM+LLM-COT-RF-HDELTA,llm_subset,2
30,339.7037064696269,18.43105277702896,18.385225296020508,41.500773719391475,TSM+LLM-COT-RF-HDELTA,llm_subset,2
1,12.278511047363281,3.504070520401001,3.480001449584961,5.490024387836456,naive_persistence_llm_subset,llm_subset,2
5,7.993790626525879,2.827329158782959,2.6699981689453125,4.095692932605743,naive_persistence_llm_subset,llm_subset,2
20,352.9490661621094,18.78693962097168,18.645000457763672,41.13834202289581,naive_persistence_llm_subset,llm_subset,2
30,392.9193115234375,19.822193145751953,19.68000030517578,44.44463849067688,naive_persistence_llm_subset,llm_subset,2
1,32.81170839386323,5.728150521229625,5.690000534057617,8.976108759429854,seasonal_naive_llm_subset,llm_subset,2
5,7.993790789798368,2.8273292680192674,2.6699981689453125,4.095692997371633,seasonal_naive_llm_subset,llm_subset,2
20,352.949068476868,18.786938773436933,18.645000457763672,41.13834180264707,seasonal_naive_llm_subset,llm_subset,2
30,392.9193069488538,19.822192284125734,19.68000030517578,44.444638417831925,seasonal_naive_llm_subset,llm_subset,2
1,10.637450714144506,3.2615104957894134,3.1211509704589844,4.945877771688754,linear_ridge_llm_subset,llm_subset,2
5,6.499186181463301,2.5493501488542725,2.4453125,3.753282272537689,linear_ridge_llm_subset,llm_subset,2
20,408.27492159769463,20.20581405431849,20.149471282958984,44.44061266942679,linear_ridge_llm_subset,llm_subset,2
30,434.2584043719253,20.838867636508596,20.782974243164062,46.91441791072825,linear_ridge_llm_subset,llm_subset,2
1,10.153591112539289,3.1864700081028987,3.1359176635742188,4.954636913522487,linear_lasso_llm_subset,llm_subset,2
5,7.536161853262456,2.7452070692868427,2.4020118713378906,3.676144939274827,linear_lasso_llm_subset,llm_subset,2
20,365.08231817559135,19.107127418206833,19.060426712036133,42.03707638203829,linear_lasso_llm_subset,llm_subset,2
30,386.5346701841481,19.660484993614684,19.6085205078125,44.263037984251106,linear_lasso_llm_subset,llm_subset,2
1,13.782865524291992,3.7125282287597656,3.3785037994384766,5.373219400644302,tsm_llm_subset,llm_subset,2
5,8.811890602111816,2.9684829711914062,2.5688724517822266,3.9303790777921677,tsm_llm_subset,llm_subset,2
20,313.489501953125,17.70563507080078,17.661128997802734,38.9512836933136,tsm_llm_subset,llm_subset,2
30,339.7037048339844,18.431053161621094,18.385225296020508,41.500771045684814,tsm_llm_subset,llm_subset,2
