horizon,accuracy,accuracy_up,accuracy_down,accuracy_flat,n_up,n_down,n_flat,alpha,history_window,model,subset,n_samples
10,0.5277777777777778,0.5357142857142857,0.47368421052631576,0.5365853658536586,84,19,41,0.02,18,naive_persistence,full,144
20,0.3958333333333333,0.41836734693877553,0.21428571428571427,0.40625,98,14,32,0.02,18,naive_persistence,full,144
30,0.3402777777777778,0.37755102040816324,0.05,0.4230769230769231,98,20,26,0.02,18,naive_persistence,full,144
10,0.5277777777777778,0.5357142857142857,0.47368421052631576,0.5365853658536586,84,19,41,0.02,18,seasonal_naive,full,144
20,0.3958333333333333,0.41836734693877553,0.21428571428571427,0.40625,98,14,32,0.02,18,seasonal_naive,full,144
30,0.3402777777777778,0.37755102040816324,0.05,0.4230769230769231,98,20,26,0.02,18,seasonal_naive,full,144
10,0.5972222222222222,0.75,0.2631578947368421,0.43902439024390244,84,19,41,0.02,18,linear_ridge,full,144
20,0.7083333333333334,0.9591836734693877,0.07142857142857142,0.21875,98,14,32,0.02,18,linear_ridge,full,144
30,0.7222222222222222,0.9693877551020408,0.05,0.3076923076923077,98,20,26,0.02,18,linear_ridge,full,144
10,0.5972222222222222,0.6547619047619048,0.3684210526315789,0.5853658536585366,84,19,41,0.02,18,linear_lasso,full,144
20,0.6458333333333334,0.7959183673469388,0.07142857142857142,0.4375,98,14,32,0.02,18,linear_lasso,full,144
30,0.5277777777777778,0.5816326530612245,0.15,0.6153846153846154,98,20,26,0.02,18,linear_lasso,full,144
10,0.6319444444444444,0.6428571428571429,0.3684210526315789,0.7317073170731707,84,19,41,0.02,18,tsm,full,144
20,0.5555555555555556,0.5918367346938775,0.21428571428571427,0.59375,98,14,32,0.02,18,tsm,full,144
30,0.5138888888888888,0.5918367346938775,0.2,0.46153846153846156,98,20,26,0.02,18,tsm,full,144
10,0.5,,0.5,,0,4,0,0.02,18,TSM+LLM-COT-RF-HDELTA,llm_subset,4
20,0.5,,0.5,,0,4,0,0.02,18,TSM+LLM-COT-RF-HDELTA,llm_subset,4
30,0.75,,0.75,,0,4,0,0.02,18,TSM+LLM-COT-RF-HDELTA,llm_subset,4
10,0.25,,0.25,,0,4,0,0.02,18,naive_persistence_llm_subset,llm_subset,4
20,0.25,,0.25,,0,4,0,0.02,18,naive_persistence_llm_subset,llm_subset,4
30,0.25,,0.25,,0,4,0,0.02,18,naive_persistence_llm_subset,llm_subset,4
10,0.25,,0.25,,0,4,0,0.02,18,seasonal_naive_llm_subset,llm_subset,4
20,0.25,,0.25,,0,4,0,0.02,18,seasonal_naive_llm_subset,llm_subset,4
30,0.25,,0.25,,0,4,0,0.02,18,seasonal_naive_llm_subset,llm_subset,4
10,0.25,,0.25,,0,4,0,0.02,18,linear_ridge_llm_subset,llm_subset,4
20,0.25,,0.25,,0,4,0,0.02,18,linear_ridge_llm_subset,llm_subset,4
30,0.25,,0.25,,0,4,0,0.02,18,linear_ridge_llm_subset,llm_subset,4
10,0.5,,0.5,,0,4,0,0.02,18,linear_lasso_llm_subset,llm_subset,4
20,0.25,,0.25,,0,4,0,0.02,18,linear_lasso_llm_subset,llm_subset,4
30,0.5,,0.5,,0,4,0,0.02,18,linear_lasso_llm_subset,llm_subset,4
10,0.5,,0.5,,0,4,0,0.02,18,tsm_llm_subset,llm_subset,4
20,0.5,,0.5,,0,4,0,0.02,18,tsm_llm_subset,llm_subset,4
30,0.75,,0.75,,0,4,0,0.02,18,tsm_llm_subset,llm_subset,4
