horizon,mse,rmse,mae,mape,noise_level,model
1,1.2148894262428496,1.1022202258364022,0.820331122965411,1.4458291213482184,0.05,tsm
5,4.5981058480765595,2.1443194370421024,1.5267141592122278,2.62331092846695,0.05,tsm
20,29.85606044933375,5.464069952822141,3.5863470090989864,6.4680059438070385,0.05,tsm
30,59.44966033617139,7.710360584056454,5.391904798563341,10.187864211584559,0.05,tsm
1,1.2067877904912274,1.0985389344448504,0.8175769378558707,1.442078865135522,0.1,tsm
5,4.612018251468463,2.1475610006396706,1.5266479351126823,2.624180930234253,0.1,tsm
20,29.849312569735876,5.46345244051194,3.5891053120754686,6.47247947261952,0.1,tsm
30,59.42055232685339,7.708472762282642,5.386972389120566,10.17891132098321,0.1,tsm
1,1.1964850340048254,1.093839583304986,0.8127030910672014,1.4358964452183036,0.2,tsm
5,4.648398000042034,2.1560143784404673,1.5277300012070574,2.6283549277296645,0.2,tsm
20,29.84260023912727,5.462838112110523,3.5946219180284325,6.481426530244481,0.2,tsm
30,59.36763477271248,7.70503956983431,5.377107570235015,10.161005539780506,0.2,tsm
1,1.1940496330735373,1.0927257812797946,0.8105921262178999,1.4345882848462304,0.3,tsm
5,4.696184342122501,2.167068144319071,1.5320295909451878,2.6380646739747977,0.3,tsm
20,29.844932471222453,5.463051571349336,3.600962332831175,6.4920073705751316,0.3,tsm
30,59.32178182886129,7.702063478630989,5.367677625899703,10.143880222468075,0.3,tsm
1,1.213931385933799,1.1017855444385714,0.82008585951996,1.4454827219027657,0.05,TSM+LLM-COT-RF-HDELTA
5,4.662108818987629,2.1591917050108425,1.5285188613353609,2.6231681913504348,0.05,TSM+LLM-COT-RF-HDELTA
20,28.291839656367625,5.319007393900447,3.4803803070516315,6.274995343215687,0.05,TSM+LLM-COT-RF-HDELTA
30,56.85208246850185,7.540031993864605,5.244431092255189,9.905784316385564,0.05,TSM+LLM-COT-RF-HDELTA
1,1.2052051327020832,1.0978183514143327,0.8171100652833823,1.4414333087422355,0.1,TSM+LLM-COT-RF-HDELTA
5,4.677650745180137,2.1627877254090695,1.5268543987217198,2.6213864787757295,0.1,TSM+LLM-COT-RF-HDELTA
20,28.283084473944243,5.318184321170548,3.483050660667999,6.279276244727139,0.1,TSM+LLM-COT-RF-HDELTA
30,56.82318299668654,7.538115347796593,5.239125768453956,9.896126311233107,0.1,TSM+LLM-COT-RF-HDELTA
1,1.1946534097423518,1.0930020172636241,0.8119044286216084,1.434893129301178,0.2,TSM+LLM-COT-RF-HDELTA
5,4.71837697188195,2.1721825365014675,1.5269417284379772,2.62419532059773,0.2,TSM+LLM-COT-RF-HDELTA
20,28.273314333423148,5.317265682042148,3.4886101162703644,6.288224187870904,0.2,TSM+LLM-COT-RF-HDELTA
30,56.77133060588981,7.534675215687124,5.22851512085149,9.87681030092819,0.2,TSM+LLM-COT-RF-HDELTA
1,1.1933027314542246,1.0923839670437427,0.8115416049933821,1.4365394415407413,0.3,TSM+LLM-COT-RF-HDELTA
5,4.771959697672825,2.184481562676331,1.5290837911937225,2.6304806989358753,0.3,TSM+LLM-COT-RF-HDELTA
20,28.273864492002936,5.317317415013226,3.4949425752433956,6.298535452215459,0.3,TSM+LLM-COT-RF-HDELTA
30,56.727406952204916,7.531759884130993,5.221736414127495,9.864984004041082,0.3,TSM+LLM-COT-RF-HDELTA
