horizon,mse,rmse,mae,mape,noise_level,model
1,1.2148894262428496,1.1022202258364022,0.820331122965411,1.4458291213482184,0.05,tsm
5,4.5981058480765595,2.1443194370421024,1.5267141592122278,2.62331092846695,0.05,tsm
20,29.85606044933375,5.464069952822141,3.5863470090989864,6.4680059438070385,0.05,tsm
30,59.44966033617139,7.710360584056454,5.391904798563341,10.187864211584559,0.05,tsm
1,1.2067877904912274,1.0985389344448504,0.8175769378558707,1.442078865135522,0.1,tsm
5,4.612018251468463,2.1475610006396706,1.5266479351126823,2.624180930234253,0.1,tsm
20,29.849312569735876,5.46345244051194,3.5891053120754686,6.47247947261952,0.1,tsm
30,59.42055232685339,7.708472762282642,5.386972389120566,10.17891132098321,0.1,tsm
1,1.1964850340048254,1.093839583304986,0.8127030910672014,1.4358964452183036,0.2,tsm
5,4.648398000042034,2.1560143784404673,1.5277300012070574,2.6283549277296645,0.2,tsm
20,29.84260023912727,5.462838112110523,3.5946219180284325,6.481426530244481,0.2,tsm
30,59.36763477271248,7.70503956983431,5.377107570235015,10.161005539780506,0.2,tsm
1,1.1940496330735373,1.0927257812797946,0.8105921262178999,1.4345882848462304,0.3,tsm
5,4.696184342122501,2.167068144319071,1.5320295909451878,2.6380646739747977,0.3,tsm
20,29.844932471222453,5.463051571349336,3.600962332831175,6.4920073705751316,0.3,tsm
30,59.32178182886129,7.702063478630989,5.367677625899703,10.143880222468075,0.3,tsm
1,1.2139841156822,1.1018094734037278,0.8200617435665252,1.445437724058831,0.05,TSM+LLM-COT-RF-HDELTA
5,4.624240916884627,2.150404826279142,1.5283577871380076,2.6228645717046812,0.05,TSM+LLM-COT-RF-HDELTA
20,28.128524689349888,5.3036331593870525,3.4564120721672333,6.2346029377641035,0.05,TSM+LLM-COT-RF-HDELTA
30,56.762960413488486,7.534119750408038,5.217886955152533,9.862594568976245,0.05,TSM+LLM-COT-RF-HDELTA
1,1.2053481210425323,1.0978834733442946,0.8170852315493105,1.4413900439769554,0.1,TSM+LLM-COT-RF-HDELTA
5,4.639254845666898,2.153892951301642,1.5270290703713203,2.62178476110272,0.1,TSM+LLM-COT-RF-HDELTA
20,28.1204797021631,5.302874664006599,3.459219303790931,6.239153752287211,0.1,TSM+LLM-COT-RF-HDELTA
30,56.73442275169221,7.532225617418281,5.2119283852522535,9.851746536937517,0.1,TSM+LLM-COT-RF-HDELTA
1,1.1950895017978447,1.0932014918567596,0.811851538487645,1.4348001992424801,0.2,TSM+LLM-COT-RF-HDELTA
5,4.679173869649954,2.163139817406622,1.526966325951606,2.624342820469092,0.2,TSM+LLM-COT-RF-HDELTA
20,28.112345537346286,5.302107650486388,3.465052515407957,6.248641521454287,0.2,TSM+LLM-COT-RF-HDELTA
30,56.683501769543945,7.52884465037923,5.200813630240202,9.831491241251342,0.2,TSM+LLM-COT-RF-HDELTA
1,1.1941820425993552,1.0927863664044108,0.8118614337058513,1.437235402066265,0.3,TSM+LLM-COT-RF-HDELTA
5,4.732281115524362,2.1753806828976767,1.5312950828431446,2.6343359135405127,0.3,TSM+LLM-COT-RF-HDELTA
20,28.114819118605155,5.302340909315918,3.4716461530200706,6.25947049192162,0.3,TSM+LLM-COT-RF-HDELTA
30,56.6407865759881,7.526007346261901,5.197955440925012,9.826701150183494,0.3,TSM+LLM-COT-RF-HDELTA
