horizon,mse,rmse,mae,mape,noise_level,model
1,1.2148894262428496,1.1022202258364022,0.820331122965411,1.4458291213482184,0.05,tsm
5,4.5981058480765595,2.1443194370421024,1.5267141592122278,2.62331092846695,0.05,tsm
20,29.85606044933375,5.464069952822141,3.5863470090989864,6.4680059438070385,0.05,tsm
30,59.44966033617139,7.710360584056454,5.391904798563341,10.187864211584559,0.05,tsm
1,1.2067877904912274,1.0985389344448504,0.8175769378558707,1.442078865135522,0.1,tsm
5,4.612018251468463,2.1475610006396706,1.5266479351126823,2.624180930234253,0.1,tsm
20,29.849312569735876,5.46345244051194,3.5891053120754686,6.47247947261952,0.1,tsm
30,59.42055232685339,7.708472762282642,5.386972389120566,10.17891132098321,0.1,tsm
1,1.1964850340048254,1.093839583304986,0.8127030910672014,1.4358964452183036,0.2,tsm
5,4.648398000042034,2.1560143784404673,1.5277300012070574,2.6283549277296645,0.2,tsm
20,29.84260023912727,5.462838112110523,3.5946219180284325,6.481426530244481,0.2,tsm
30,59.36763477271248,7.70503956983431,5.377107570235015,10.161005539780506,0.2,tsm
1,1.1940496330735373,1.0927257812797946,0.8105921262178999,1.4345882848462304,0.3,tsm
5,4.696184342122501,2.167068144319071,1.5320295909451878,2.6380646739747977,0.3,tsm
20,29.844932471222453,5.463051571349336,3.600962332831175,6.4920073705751316,0.3,tsm
30,59.32178182886129,7.702063478630989,5.367677625899703,10.143880222468075,0.3,tsm
1,1.2165456918686606,1.1029713014710132,0.8209536585920508,1.4468802285613944,0.05,TSM+LLM-COT-RF-HDELTA
5,4.718079228161453,2.172113999807895,1.5391082633957553,2.6381933401251016,0.05,TSM+LLM-COT-RF-HDELTA
20,28.79695285453824,5.366279237473414,3.4234450347326466,6.195415021817653,0.05,TSM+LLM-COT-RF-HDELTA
30,57.81024574084987,7.603304922259127,5.243599242447933,9.928394252068951,0.05,TSM+LLM-COT-RF-HDELTA
1,1.2102546276533857,1.100115733754129,0.8188802794368217,1.44429745728911,0.1,TSM+LLM-COT-RF-HDELTA
5,4.7324650937919195,2.175422968940045,1.5397211113369753,2.6404593096830804,0.1,TSM+LLM-COT-RF-HDELTA
20,28.78896632491885,5.365535045540086,3.4265393127936,6.200540567076437,0.1,TSM+LLM-COT-RF-HDELTA
30,57.78215877359062,7.601457674261603,5.237664218297479,9.917644195997639,0.1,TSM+LLM-COT-RF-HDELTA
1,1.2040359319712866,1.0972857111852348,0.8155029258930144,1.4407459035591041,0.2,TSM+LLM-COT-RF-HDELTA
5,4.770658545207657,2.184183725149434,1.541237125574804,2.6455084559713895,0.2,TSM+LLM-COT-RF-HDELTA
20,28.780330418808163,5.3647302279619025,3.4327278689155065,6.2107916575940045,0.2,TSM+LLM-COT-RF-HDELTA
30,57.73184737947705,7.598147628170767,5.228969565441258,9.90157584128343,0.2,TSM+LLM-COT-RF-HDELTA
1,1.206301813287122,1.098317719645423,0.8148553171965204,1.4420412773841833,0.3,TSM+LLM-COT-RF-HDELTA
5,4.821414290163138,2.1957719121445964,1.54631464396173,2.6563217648137445,0.3,TSM+LLM-COT-RF-HDELTA
20,28.781477383534934,5.364837125536519,3.4390685956981506,6.221310371500779,0.3,TSM+LLM-COT-RF-HDELTA
30,57.68935270590345,7.595350729617656,5.227825958951887,9.900444224594777,0.3,TSM+LLM-COT-RF-HDELTA
